Date,TWI_stock_Open_average,TWI_stock_Open_max,TWI_stock_Open_min,TWI_stock_Open_volatility,TWI_stock_Open_change,TWI_stock_High_average,TWI_stock_High_max,TWI_stock_High_min,TWI_stock_High_volatility,TWI_stock_High_change,TWI_stock_Low_average,TWI_stock_Low_max,TWI_stock_Low_min,TWI_stock_Low_volatility,TWI_stock_Low_change,TWI_stock_Close_average,TWI_stock_Close_max,TWI_stock_Close_min,TWI_stock_Close_volatility,TWI_stock_Close_change,TWI_stock_Volume_average,TWI_stock_Volume_max,TWI_stock_Volume_min,TWI_stock_Volume_volatility,TWI_stock_Volume_change
2016-01-03,3.704,3.92,3.42,0.5,-0.4700000000000002,3.7399999999999998,3.93,3.5,0.43000000000000016,-0.43000000000000016,3.498,3.7,3.21,0.4900000000000002,-0.4900000000000002,3.58,3.9,3.21,0.69,-0.69,470355,583964,355397,228567,-66298
2016-01-10,2.96,3.34,2.76,0.5800000000000001,-0.46999999999999975,3.054,3.34,2.96,0.3799999999999999,-0.34999999999999964,2.758,2.86,2.71,0.1499999999999999,-0.10999999999999988,2.896,2.97,2.8,0.17000000000000037,0.04999999999999982,651305,854587,448026,406561,194386
2016-01-17,2.8525,2.99,2.64,0.3500000000000001,-0.010000000000000231,3.02,3.17,2.87,0.2999999999999998,0.17999999999999972,2.7225,2.86,2.5,0.3599999999999999,0.10000000000000009,2.9225,3.13,2.78,0.3500000000000001,0.3500000000000001,710328,910709,595645,315064,315064
2016-01-24,2.864,3.09,2.71,0.3799999999999999,-0.22999999999999998,2.986,3.1,2.86,0.2400000000000002,0.010000000000000231,2.7279999999999998,2.8,2.62,0.17999999999999972,0.10999999999999988,2.844,3.0,2.7,0.2999999999999998,0.2999999999999998,464469,655721,262185,393536,35896
2016-01-31,2.904,2.99,2.75,0.2400000000000002,0.0,3.068,3.3,2.87,0.4299999999999997,0.29000000000000004,2.812,2.98,2.65,0.33000000000000007,0.10000000000000009,2.972,3.24,2.75,0.4900000000000002,0.2400000000000002,529523,899405,193834,705571,321576
2016-02-07,3.05,3.21,2.98,0.22999999999999998,-0.22999999999999998,3.144,3.23,3.1,0.1299999999999999,-0.06999999999999984,2.906,2.93,2.86,0.07000000000000028,0.020000000000000018,3.03,3.06,2.97,0.08999999999999986,-0.010000000000000231,371052,443192,302908,140284,-74752
2016-02-14,3.7675,4.3,3.11,1.19,0.9899999999999998,4.109999999999999,4.47,3.57,0.8999999999999999,0.5299999999999998,3.5775,3.94,3.1,0.8399999999999999,0.6099999999999999,3.95,4.31,3.54,0.7699999999999996,0.29000000000000004,710852,1352317,460681,891636,-18867
2016-02-21,3.826,4.15,3.42,0.7300000000000004,0.30000000000000027,4.104,4.63,3.83,0.7999999999999998,0.6499999999999999,3.646,4.02,3.29,0.7299999999999995,0.2899999999999996,3.934,4.61,3.47,1.1400000000000001,0.8400000000000003,430918,743042,249866,493176,493176
2016-02-28,5.218,5.81,4.63,1.1799999999999997,1.1799999999999997,5.55,6.2,5.1,1.1000000000000005,1.1000000000000005,5.116,5.68,4.62,1.0599999999999996,1.0599999999999996,5.424,5.84,5.07,0.7699999999999996,0.7699999999999996,760590,1100387,441763,658624,-287777
2016-03-06,6.014,6.09,5.9,0.1899999999999995,-0.08000000000000007,6.1339999999999995,6.2,6.02,0.1800000000000006,-0.08999999999999986,5.788,5.9,5.6,0.3000000000000007,-0.1200000000000001,5.974,6.1,5.77,0.33000000000000007,-0.14999999999999947,585859,748862,385986,362876,-213194
2016-03-13,5.744,5.95,5.48,0.46999999999999975,0.03000000000000025,5.926,6.25,5.7,0.5499999999999998,0.21999999999999975,5.576,5.81,5.36,0.4499999999999993,0.08999999999999986,5.726,5.87,5.47,0.40000000000000036,0.0600000000000005,537705,1258511,331762,926749,860891
2016-03-20,5.715,6.05,5.01,1.04,-0.8600000000000003,5.9525,6.32,5.47,0.8500000000000005,-0.6200000000000001,5.38,5.81,4.87,0.9399999999999995,-0.9100000000000001,5.62,6.01,5.07,0.9399999999999995,-0.5600000000000005,521642,653152,364616,288536,65380
2016-03-27,5.388,5.52,5.27,0.25,-0.15000000000000036,5.522,5.62,5.41,0.20999999999999996,-0.08000000000000007,5.194,5.35,5.06,0.29000000000000004,-0.040000000000000036,5.414,5.47,5.37,0.09999999999999964,0.03000000000000025,380989,496308,270015,226293,-226293
