Date,Guggenheim Invest China TechnologyEtf_Open_average,Guggenheim Invest China TechnologyEtf_Open_max,Guggenheim Invest China TechnologyEtf_Open_min,Guggenheim Invest China TechnologyEtf_Open_volatility,Guggenheim Invest China TechnologyEtf_Open_change,Guggenheim Invest China TechnologyEtf_High_average,Guggenheim Invest China TechnologyEtf_High_max,Guggenheim Invest China TechnologyEtf_High_min,Guggenheim Invest China TechnologyEtf_High_volatility,Guggenheim Invest China TechnologyEtf_High_change,Guggenheim Invest China TechnologyEtf_Low_average,Guggenheim Invest China TechnologyEtf_Low_max,Guggenheim Invest China TechnologyEtf_Low_min,Guggenheim Invest China TechnologyEtf_Low_volatility,Guggenheim Invest China TechnologyEtf_Low_change,Guggenheim Invest China TechnologyEtf_Close_average,Guggenheim Invest China TechnologyEtf_Close_max,Guggenheim Invest China TechnologyEtf_Close_min,Guggenheim Invest China TechnologyEtf_Close_volatility,Guggenheim Invest China TechnologyEtf_Close_change
2016-01-03,33.34,33.34,33.34,0.0,0.0,33.55,33.55,33.55,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2016-01-10,30.76,30.76,30.76,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2016-01-17,32.06,32.06,32.06,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2016-01-24,31.24,31.24,31.24,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2016-01-31,30.58,30.58,30.58,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2016-02-07,29.25,29.25,29.25,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2016-02-14,31.4,31.4,31.4,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2016-02-21,31.61,31.61,31.61,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2016-02-28,32.48,32.48,32.48,0.0,0.0,33.27,33.27,33.27,0.0,0.0,32.48,32.48,32.48,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2016-03-06,32.77,32.77,32.77,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.77,32.77,32.77,0.0,0.0,33.07,33.07,33.07,0.0,0.0
