Date,ProShares Ultra Oil & Gas_etf_Open_average,ProShares Ultra Oil & Gas_etf_Open_max,ProShares Ultra Oil & Gas_etf_Open_min,ProShares Ultra Oil & Gas_etf_Open_volatility,ProShares Ultra Oil & Gas_etf_Open_change,ProShares Ultra Oil & Gas_etf_High_average,ProShares Ultra Oil & Gas_etf_High_max,ProShares Ultra Oil & Gas_etf_High_min,ProShares Ultra Oil & Gas_etf_High_volatility,ProShares Ultra Oil & Gas_etf_High_change,ProShares Ultra Oil & Gas_etf_Low_average,ProShares Ultra Oil & Gas_etf_Low_max,ProShares Ultra Oil & Gas_etf_Low_min,ProShares Ultra Oil & Gas_etf_Low_volatility,ProShares Ultra Oil & Gas_etf_Low_change,ProShares Ultra Oil & Gas_etf_Close_average,ProShares Ultra Oil & Gas_etf_Close_max,ProShares Ultra Oil & Gas_etf_Close_min,ProShares Ultra Oil & Gas_etf_Close_volatility,ProShares Ultra Oil & Gas_etf_Close_change
2016-01-03,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2016-01-10,24.0,24.0,24.0,0.0,0.0,24.85,24.85,24.85,0.0,0.0,23.47,23.47,23.47,0.0,0.0,24.4,24.4,24.4,0.0,0.0
2016-01-17,24.91,24.91,24.91,0.0,0.0,25.65,25.65,25.65,0.0,0.0,24.13,24.13,24.13,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2016-01-24,26.0,26.0,26.0,0.0,0.0,27.4,27.4,27.4,0.0,0.0,25.81,25.81,25.81,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2016-01-31,25.8,25.8,25.8,0.0,0.0,25.95,25.95,25.95,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2016-02-07,24.39,24.39,24.39,0.0,0.0,25.05,25.05,25.05,0.0,0.0,23.87,23.87,23.87,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2016-02-14,25.76,25.76,25.76,0.0,0.0,26.16,26.16,26.16,0.0,0.0,25.19,25.19,25.19,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2016-02-21,27.06,27.06,27.06,0.0,0.0,27.19,27.19,27.19,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2016-02-28,29.51,29.51,29.51,0.0,0.0,30.75,30.75,30.75,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2016-03-06,30.38,30.38,30.38,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2016-03-13,32.87,32.87,32.87,0.0,0.0,33.21,33.21,33.21,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2016-03-20,29.48,29.48,29.48,0.0,0.0,30.72,30.72,30.72,0.0,0.0,29.34,29.34,29.34,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2016-03-27,29.95,29.95,29.95,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.63,29.63,29.63,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2016-04-03,31.0,31.0,31.0,0.0,0.0,31.54,31.54,31.54,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2016-04-10,32.9,32.9,32.9,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2016-04-17,35.18,35.18,35.18,0.0,0.0,36.38,36.38,36.38,0.0,0.0,35.18,35.18,35.18,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2016-04-24,36.74,36.74,36.74,0.0,0.0,37.58,37.58,37.58,0.0,0.0,35.5,35.5,35.5,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2016-05-01,33.81,33.81,33.81,0.0,0.0,34.79,34.79,34.79,0.0,0.0,33.57,33.57,33.57,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2016-05-08,33.99,33.99,33.99,0.0,0.0,34.84,34.84,34.84,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2016-05-15,34.81,34.81,34.81,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2016-05-22,35.62,35.62,35.62,0.0,0.0,35.98,35.98,35.98,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2016-05-29,35.63,35.63,35.63,0.0,0.0,35.86,35.86,35.86,0.0,0.0,34.82,34.82,34.82,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2016-06-05,37.18,37.18,37.18,0.0,0.0,37.41,37.41,37.41,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.28,36.28,36.28,0.0,0.0
