Date,ESGR_stock_Open_average,ESGR_stock_Open_max,ESGR_stock_Open_min,ESGR_stock_Open_volatility,ESGR_stock_Open_change,ESGR_stock_High_average,ESGR_stock_High_max,ESGR_stock_High_min,ESGR_stock_High_volatility,ESGR_stock_High_change,ESGR_stock_Low_average,ESGR_stock_Low_max,ESGR_stock_Low_min,ESGR_stock_Low_volatility,ESGR_stock_Low_change,ESGR_stock_Close_average,ESGR_stock_Close_max,ESGR_stock_Close_min,ESGR_stock_Close_volatility,ESGR_stock_Close_change,ESGR_stock_Volume_average,ESGR_stock_Volume_max,ESGR_stock_Volume_min,ESGR_stock_Volume_volatility,ESGR_stock_Volume_change
2016-06-19,155.0,156.76,153.25,3.509999999999991,-1.5800000000000125,156.918,158.86,155.7,3.160000000000025,-0.29000000000002046,153.122,154.36,150.02,4.340000000000003,-4.109999999999985,155.324,156.96,152.47,4.490000000000009,-2.430000000000007,83146,281921,28711,253210,250370
2016-06-26,155.746,161.7,151.3,10.399999999999977,10.399999999999977,158.28400000000002,162.93,152.24,10.689999999999998,10.689999999999998,153.892,157.7,148.91,8.789999999999992,8.789999999999992,156.824,161.99,151.31,10.680000000000007,7.889999999999986,37630,45534,31585,13949,-13949
2016-07-03,159.39,160.69,158.83,1.8599999999999852,1.6899999999999977,160.6975,162.0,159.95,2.0500000000000114,1.9399999999999977,157.82999999999998,158.21,157.32,0.8900000000000148,-0.8900000000000148,160.03,161.73,159.21,2.519999999999982,1.9499999999999886,33308,54310,25975,28335,27989
2016-07-10,165.77,169.89,161.9,7.989999999999981,7.989999999999981,168.074,170.94,164.48,6.460000000000008,6.460000000000008,164.832,168.48,161.07,7.409999999999997,7.409999999999997,166.514,170.7,162.86,7.839999999999975,7.839999999999975,33487,41654,21477,20177,5521
2016-07-17,167.59,170.55,164.46,6.090000000000003,-6.090000000000003,169.138,171.66,167.78,3.8799999999999955,-2.799999999999983,165.992,168.93,162.89,6.0400000000000205,-6.0400000000000205,167.394,169.02,166.05,2.969999999999999,-1.210000000000008,25005,37223,16399,20824,-8016
2016-07-24,167.492,168.57,166.59,1.9799999999999898,0.07999999999998408,169.338,170.0,168.3,1.6999999999999886,-0.4399999999999977,166.35,167.1,165.86,1.2399999999999807,-0.36000000000001364,168.156,169.44,166.59,2.8499999999999943,-1.4099999999999966,18743,32000,12116,19884,19884
2016-07-31,167.04,167.44,166.3,1.1399999999999864,-0.3499999999999943,168.864,169.92,167.88,2.039999999999992,0.8799999999999955,165.83599999999998,166.56,165.42,1.1400000000000148,-0.30000000000001137,167.354,168.63,166.01,2.6200000000000045,1.3199999999999932,19154,23102,14908,8194,6794
2016-08-07,167.214,168.7,165.38,3.319999999999993,-2.390000000000015,167.982,168.97,166.49,2.4799999999999898,-2.4799999999999898,165.356,166.98,163.46,3.519999999999982,-3.519999999999982,166.68,168.51,164.88,3.6299999999999955,-3.6299999999999955,25455,41672,14764,26908,-23495
2016-08-14,163.536,164.52,161.71,2.8100000000000023,-1.5600000000000023,164.384,166.39,162.64,3.75,-3.4599999999999795,161.966,163.82,160.08,3.7399999999999807,-3.519999999999982,163.268,165.01,161.86,3.1499999999999773,-3.1499999999999773,19912,32058,11079,20979,12747
2016-08-21,163.37800000000001,165.68,160.75,4.930000000000007,4.930000000000007,164.542,165.72,162.44,3.280000000000001,3.240000000000009,162.128,163.13,160.16,2.969999999999999,2.969999999999999,163.41,164.06,162.44,1.6200000000000045,1.6200000000000045,13898,20870,8531,12339,374
2016-08-28,165.742,166.91,164.23,2.680000000000007,2.680000000000007,167.608,168.92,165.76,3.1599999999999966,1.7199999999999989,164.696,165.78,163.86,1.9199999999999875,0.799999999999983,165.89000000000001,166.59,164.52,2.069999999999993,1.6099999999999852,17540,22274,13348,8926,450
2016-09-04,164.775,165.86,163.12,2.740000000000009,-2.740000000000009,165.54,167.14,163.12,4.019999999999982,-2.799999999999983,163.0075,164.19,160.22,3.969999999999999,-3.5,163.87,165.78,160.44,5.340000000000003,-4.3700000000000045,19406,24799,13932,10867,-4624
2016-09-11,160.392,162.02,159.55,2.469999999999999,1.1799999999999784,161.75799999999998,163.94,160.45,3.490000000000009,-3.210000000000008,159.262,159.56,159.0,0.5600000000000023,-0.5400000000000205,160.548,163.08,159.56,3.5200000000000102,-3.130000000000024,28665,65996,11946,54050,44588
2016-09-18,162.252,165.61,160.12,5.490000000000009,5.490000000000009,164.048,166.77,160.7,6.070000000000022,2.8300000000000125,161.23000000000002,164.11,159.52,4.590000000000003,2.9399999999999977,162.494,166.59,159.7,6.890000000000015,3.1500000000000057,22951,41598,7349,34249,683
2016-09-25,162.148,163.76,160.78,2.9799999999999898,0.700000000000017,163.994,165.69,161.47,4.219999999999999,3.5800000000000125,161.006,162.14,160.19,1.9499999999999886,1.2800000000000011,162.91,164.47,160.92,3.5500000000000114,3.5500000000000114,15351,18769,11538,7231,676
2016-10-02,163.618,165.13,162.99,2.1399999999999864,1.7800000000000011,165.626,167.15,164.7,2.450000000000017,2.450000000000017,162.238,164.9,161.01,3.890000000000015,3.890000000000015,164.362,166.15,163.0,3.1500000000000057,3.1500000000000057,28189,51769,15097,36672,36672
2016-10-09,167.102,168.22,165.99,2.2299999999999898,-1.3100000000000023,168.504,170.75,167.2,3.5500000000000114,-3.539999999999992,165.842,166.96,165.0,1.960000000000008,-1.8300000000000125,167.068,168.69,165.29,3.4000000000000057,-1.6800000000000068,31952,45447,14875,30572,-24454
2016-10-16,165.92,167.2,163.25,3.9499999999999886,-3.9499999999999886,166.23,167.2,164.8,2.3999999999999773,-2.3999999999999773,164.53,165.6,163.0,2.5999999999999943,-2.5999999999999943,165.24,165.95,164.3,1.6499999999999773,-1.6499999999999773,20420,26240,8754,17486,-7409
