Date,Vanguard FTSE All-World ex-US Small-CapEtf_Open_average,Vanguard FTSE All-World ex-US Small-CapEtf_Open_max,Vanguard FTSE All-World ex-US Small-CapEtf_Open_min,Vanguard FTSE All-World ex-US Small-CapEtf_Open_volatility,Vanguard FTSE All-World ex-US Small-CapEtf_Open_change,Vanguard FTSE All-World ex-US Small-CapEtf_High_average,Vanguard FTSE All-World ex-US Small-CapEtf_High_max,Vanguard FTSE All-World ex-US Small-CapEtf_High_min,Vanguard FTSE All-World ex-US Small-CapEtf_High_volatility,Vanguard FTSE All-World ex-US Small-CapEtf_High_change,Vanguard FTSE All-World ex-US Small-CapEtf_Low_average,Vanguard FTSE All-World ex-US Small-CapEtf_Low_max,Vanguard FTSE All-World ex-US Small-CapEtf_Low_min,Vanguard FTSE All-World ex-US Small-CapEtf_Low_volatility,Vanguard FTSE All-World ex-US Small-CapEtf_Low_change,Vanguard FTSE All-World ex-US Small-CapEtf_Close_average,Vanguard FTSE All-World ex-US Small-CapEtf_Close_max,Vanguard FTSE All-World ex-US Small-CapEtf_Close_min,Vanguard FTSE All-World ex-US Small-CapEtf_Close_volatility,Vanguard FTSE All-World ex-US Small-CapEtf_Close_change
2016-01-03,88.77,88.77,88.77,0.0,0.0,88.84,88.84,88.84,0.0,0.0,87.33,87.33,87.33,0.0,0.0,87.5,87.5,87.5,0.0,0.0
2016-01-10,83.97,83.97,83.97,0.0,0.0,84.2,84.2,84.2,0.0,0.0,83.0,83.0,83.0,0.0,0.0,83.7,83.7,83.7,0.0,0.0
2016-01-17,84.37,84.37,84.37,0.0,0.0,84.76,84.76,84.76,0.0,0.0,84.0,84.0,84.0,0.0,0.0,84.56,84.56,84.56,0.0,0.0
2016-01-24,85.67,85.67,85.67,0.0,0.0,86.72,86.72,86.72,0.0,0.0,85.67,85.67,85.67,0.0,0.0,86.65,86.65,86.65,0.0,0.0
2016-01-31,85.97,85.97,85.97,0.0,0.0,85.97,85.97,85.97,0.0,0.0,84.76,84.76,84.76,0.0,0.0,84.97,84.97,84.97,0.0,0.0
2016-02-07,81.61,81.61,81.61,0.0,0.0,82.4,82.4,82.4,0.0,0.0,81.23,81.23,81.23,0.0,0.0,82.31,82.31,82.31,0.0,0.0
2016-02-14,84.89,84.89,84.89,0.0,0.0,85.46,85.46,85.46,0.0,0.0,84.76,84.76,84.76,0.0,0.0,85.27,85.27,85.27,0.0,0.0
2016-02-21,87.47,87.47,87.47,0.0,0.0,87.7,87.7,87.7,0.0,0.0,86.63,86.63,86.63,0.0,0.0,86.82,86.82,86.82,0.0,0.0
2016-02-28,90.8,90.8,90.8,0.0,0.0,91.68,91.68,91.68,0.0,0.0,90.8,90.8,90.8,0.0,0.0,91.27,91.27,91.27,0.0,0.0
2016-03-06,91.74,91.74,91.74,0.0,0.0,92.3,92.3,92.3,0.0,0.0,91.6,91.6,91.6,0.0,0.0,92.24,92.24,92.24,0.0,0.0
2016-03-13,93.84,93.84,93.84,0.0,0.0,94.18,94.18,94.18,0.0,0.0,93.45,93.45,93.45,0.0,0.0,93.52,93.52,93.52,0.0,0.0
