Date,iShares Global Healthcare_etf_Open_average,iShares Global Healthcare_etf_Open_max,iShares Global Healthcare_etf_Open_min,iShares Global Healthcare_etf_Open_volatility,iShares Global Healthcare_etf_Open_change,iShares Global Healthcare_etf_High_average,iShares Global Healthcare_etf_High_max,iShares Global Healthcare_etf_High_min,iShares Global Healthcare_etf_High_volatility,iShares Global Healthcare_etf_High_change,iShares Global Healthcare_etf_Low_average,iShares Global Healthcare_etf_Low_max,iShares Global Healthcare_etf_Low_min,iShares Global Healthcare_etf_Low_volatility,iShares Global Healthcare_etf_Low_change,iShares Global Healthcare_etf_Close_average,iShares Global Healthcare_etf_Close_max,iShares Global Healthcare_etf_Close_min,iShares Global Healthcare_etf_Close_volatility,iShares Global Healthcare_etf_Close_change
2016-01-03,49.59,49.59,49.59,0.0,0.0,49.63,49.63,49.63,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2016-01-10,47.06,47.06,47.06,0.0,0.0,47.64,47.64,47.64,0.0,0.0,46.89,46.89,46.89,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2016-01-17,48.25,48.25,48.25,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.45,48.45,48.45,0.0,0.0
2016-01-24,47.03,47.03,47.03,0.0,0.0,47.76,47.76,47.76,0.0,0.0,46.94,46.94,46.94,0.0,0.0,47.64,47.64,47.64,0.0,0.0
2016-01-31,46.78,46.78,46.78,0.0,0.0,46.82,46.82,46.82,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.14,46.14,46.14,0.0,0.0
2016-02-07,45.49,45.49,45.49,0.0,0.0,45.84,45.84,45.84,0.0,0.0,45.18,45.18,45.18,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2016-02-14,46.79,46.79,46.79,0.0,0.0,47.04,47.04,47.04,0.0,0.0,46.59,46.59,46.59,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2016-02-21,48.0,48.0,48.0,0.0,0.0,48.13,48.13,48.13,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2016-02-28,47.87,47.87,47.87,0.0,0.0,48.06,48.06,48.06,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2016-03-06,48.08,48.08,48.08,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2016-03-13,47.12,47.12,47.12,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2016-03-20,47.66,47.66,47.66,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2016-03-27,47.64,47.64,47.64,0.0,0.0,48.55,48.55,48.55,0.0,0.0,47.58,47.58,47.58,0.0,0.0,48.45,48.45,48.45,0.0,0.0
2016-04-03,49.67,49.67,49.67,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2016-04-10,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2016-04-17,50.95,50.95,50.95,0.0,0.0,51.17,51.17,51.17,0.0,0.0,50.8,50.8,50.8,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2016-04-24,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2016-05-01,50.44,50.44,50.44,0.0,0.0,50.44,50.44,50.44,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2016-05-08,49.16,49.16,49.16,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2016-05-15,49.11,49.11,49.11,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2016-05-22,50.32,50.32,50.32,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2016-05-29,51.2,51.2,51.2,0.0,0.0,51.32,51.32,51.32,0.0,0.0,50.76,50.76,50.76,0.0,0.0,51.18,51.18,51.18,0.0,0.0
2016-06-05,50.56,50.56,50.56,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2016-06-12,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2016-06-19,48.56,48.56,48.56,0.0,0.0,49.28,49.28,49.28,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.45,48.45,48.45,0.0,0.0
2016-06-26,50.59,50.59,50.59,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2016-07-03,51.16,51.16,51.16,0.0,0.0,51.52,51.52,51.52,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2016-07-10,51.94,51.94,51.94,0.0,0.0,51.99,51.99,51.99,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.7,51.7,51.7,0.0,0.0
2016-07-17,52.15,52.15,52.15,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2016-07-24,52.37,52.37,52.37,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.36,52.36,52.36,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2016-07-31,52.41,52.41,52.41,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2016-08-07,52.23,52.23,52.23,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.11,52.11,52.11,0.0,0.0
