Date,Direxion Daily Energy Bear 3X Shares_etf_Open_average,Direxion Daily Energy Bear 3X Shares_etf_Open_max,Direxion Daily Energy Bear 3X Shares_etf_Open_min,Direxion Daily Energy Bear 3X Shares_etf_Open_volatility,Direxion Daily Energy Bear 3X Shares_etf_Open_change,Direxion Daily Energy Bear 3X Shares_etf_High_average,Direxion Daily Energy Bear 3X Shares_etf_High_max,Direxion Daily Energy Bear 3X Shares_etf_High_min,Direxion Daily Energy Bear 3X Shares_etf_High_volatility,Direxion Daily Energy Bear 3X Shares_etf_High_change,Direxion Daily Energy Bear 3X Shares_etf_Low_average,Direxion Daily Energy Bear 3X Shares_etf_Low_max,Direxion Daily Energy Bear 3X Shares_etf_Low_min,Direxion Daily Energy Bear 3X Shares_etf_Low_volatility,Direxion Daily Energy Bear 3X Shares_etf_Low_change,Direxion Daily Energy Bear 3X Shares_etf_Close_average,Direxion Daily Energy Bear 3X Shares_etf_Close_max,Direxion Daily Energy Bear 3X Shares_etf_Close_min,Direxion Daily Energy Bear 3X Shares_etf_Close_volatility,Direxion Daily Energy Bear 3X Shares_etf_Close_change
2016-01-03,167.75,167.75,167.75,0.0,0.0,182.3,182.3,182.3,0.0,0.0,167.75,167.75,167.75,0.0,0.0,180.6,180.6,180.6,0.0,0.0
2016-01-10,200.05,200.05,200.05,0.0,0.0,203.1,203.1,203.1,0.0,0.0,188.65,188.65,188.65,0.0,0.0,193.45,193.45,193.45,0.0,0.0
2016-01-17,178.35,178.35,178.35,0.0,0.0,189.25,189.25,189.25,0.0,0.0,170.15,170.15,170.15,0.0,0.0,174.8,174.8,174.8,0.0,0.0
2016-01-24,162.6,162.6,162.6,0.0,0.0,163.1,163.1,163.1,0.0,0.0,147.75,147.75,147.75,0.0,0.0,148.45,148.45,148.45,0.0,0.0
2016-01-31,158.65,158.65,158.65,0.0,0.0,167.5,167.5,167.5,0.0,0.0,157.35,157.35,157.35,0.0,0.0,163.7,163.7,163.7,0.0,0.0
2016-02-07,173.15,173.15,173.15,0.0,0.0,180.1,180.1,180.1,0.0,0.0,165.85,165.85,165.85,0.0,0.0,168.25,168.25,168.25,0.0,0.0
2016-02-14,158.7,158.7,158.7,0.0,0.0,162.6,162.6,162.6,0.0,0.0,153.55,153.55,153.55,0.0,0.0,153.55,153.55,153.55,0.0,0.0
2016-02-21,144.75,144.75,144.75,0.0,0.0,149.85,149.85,149.85,0.0,0.0,142.23,142.23,142.23,0.0,0.0,148.5,148.5,148.5,0.0,0.0
2016-02-28,123.3,123.3,123.3,0.0,0.0,126.95,126.95,126.95,0.0,0.0,116.05,116.05,116.05,0.0,0.0,121.5,121.5,121.5,0.0,0.0
2016-03-06,115.55,115.55,115.55,0.0,0.0,116.5,116.5,116.5,0.0,0.0,109.8,109.8,109.8,0.0,0.0,110.9,110.9,110.9,0.0,0.0
2016-03-13,101.35,101.35,101.35,0.0,0.0,105.5,105.5,105.5,0.0,0.0,100.85,100.85,100.85,0.0,0.0,102.65,102.65,102.65,0.0,0.0
2016-03-20,117.0,117.0,117.0,0.0,0.0,118.5,118.5,118.5,0.0,0.0,110.65,110.65,110.65,0.0,0.0,110.85,110.85,110.85,0.0,0.0
2016-03-27,116.05,116.05,116.05,0.0,0.0,117.1,117.1,117.1,0.0,0.0,113.85,113.85,113.85,0.0,0.0,114.95,114.95,114.95,0.0,0.0
2016-04-03,108.1,108.1,108.1,0.0,0.0,108.75,108.75,108.75,0.0,0.0,105.1,105.1,105.1,0.0,0.0,106.6,106.6,106.6,0.0,0.0
2016-04-10,98.7,98.7,98.7,0.0,0.0,100.8,100.8,100.8,0.0,0.0,97.75,97.75,97.75,0.0,0.0,100.4,100.4,100.4,0.0,0.0
2016-04-17,87.95,87.95,87.95,0.0,0.0,88.05,88.05,88.05,0.0,0.0,83.95,83.95,83.95,0.0,0.0,84.9,84.9,84.9,0.0,0.0
2016-04-24,81.1,81.1,81.1,0.0,0.0,86.45,86.45,86.45,0.0,0.0,79.4,79.4,79.4,0.0,0.0,82.7,82.7,82.7,0.0,0.0
2016-05-01,92.35,92.35,92.35,0.0,0.0,92.7,92.7,92.7,0.0,0.0,87.7,87.7,87.7,0.0,0.0,91.15,91.15,91.15,0.0,0.0
2016-05-08,89.7,89.7,89.7,0.0,0.0,92.3,92.3,92.3,0.0,0.0,87.6,87.6,87.6,0.0,0.0,91.75,91.75,91.75,0.0,0.0
2016-05-15,89.3,89.3,89.3,0.0,0.0,89.3,89.3,89.3,0.0,0.0,86.2,86.2,86.2,0.0,0.0,86.65,86.65,86.65,0.0,0.0
