Date,WATStock_Open_average,WATStock_Open_max,WATStock_Open_min,WATStock_Open_volatility,WATStock_Open_change,WATStock_High_average,WATStock_High_max,WATStock_High_min,WATStock_High_volatility,WATStock_High_change,WATStock_Low_average,WATStock_Low_max,WATStock_Low_min,WATStock_Low_volatility,WATStock_Low_change,WATStock_Close_average,WATStock_Close_max,WATStock_Close_min,WATStock_Close_volatility,WATStock_Close_change,WATStock_Volume_average,WATStock_Volume_max,WATStock_Volume_min,WATStock_Volume_volatility,WATStock_Volume_change
2016-01-03,129.79,132.56,127.87,4.689999999999998,-2.969999999999999,131.318,133.02,129.77,3.25,-2.6000000000000227,128.156,129.54,126.45,3.089999999999989,-2.6799999999999926,129.082,130.35,126.72,3.6299999999999955,-3.6299999999999955,499698,763581,369759,393822,-127487
2016-01-10,126.29,127.78,124.14,3.6400000000000006,-2.950000000000003,127.744,128.36,126.61,1.7500000000000142,-1.3200000000000074,124.32,125.28,123.59,1.6899999999999977,-1.2800000000000011,126.018,127.03,123.92,3.1099999999999994,0.1599999999999966,550922,743032,328511,414521,-197168
2016-01-17,125.715,127.47,124.33,3.1400000000000006,-1.8100000000000023,126.7975,127.73,125.85,1.8800000000000097,-0.4900000000000091,123.505,124.7,121.92,2.780000000000001,0.4300000000000068,125.66,127.21,124.56,2.6499999999999915,1.3599999999999994,636658,741170,496131,245039,-122071
2016-01-24,122.416,127.03,117.89,9.14,-9.14,124.286,129.98,121.0,8.97999999999999,-8.649999999999991,120.41799999999999,126.75,115.71,11.040000000000006,-8.86,122.016,127.62,117.45,10.170000000000002,-6.410000000000011,1117613,2041580,599453,1442127,-396768
2016-01-31,118.996,121.68,117.33,4.3500000000000085,-4.3500000000000085,119.604,121.99,117.33,4.659999999999997,-4.659999999999997,116.798,118.95,115.0,3.950000000000003,-3.950000000000003,118.118,120.36,115.47,4.890000000000001,-4.890000000000001,612353,826952,485499,341453,-339062
2016-02-07,115.328,117.85,112.53,5.319999999999993,3.509999999999991,117.87,120.18,115.17,5.010000000000005,3.9399999999999977,114.456,116.58,112.0,4.579999999999998,4.079999999999998,116.4,118.41,113.62,4.789999999999992,4.789999999999992,517393,596264,430810,165454,-68992
2016-02-14,120.735,121.89,119.47,2.4200000000000017,1.6899999999999977,121.7325,122.69,120.13,2.5600000000000023,1.7199999999999989,119.795,120.94,118.75,2.1899999999999977,1.2099999999999937,121.18,122.13,120.02,2.1099999999999994,1.3500000000000085,371190,456094,319666,136428,-136428
2016-02-21,121.59,122.59,120.25,2.3400000000000034,-0.4900000000000091,122.376,123.27,120.91,2.3599999999999994,-0.45000000000000284,120.29,121.45,118.93,2.519999999999996,-0.960000000000008,121.634,122.69,120.76,1.9299999999999926,-0.8499999999999943,353816,444324,278315,166009,21798
2016-02-28,123.62,126.45,121.09,5.359999999999999,4.609999999999999,125.564,127.98,123.0,4.980000000000004,4.980000000000004,122.952,125.97,120.28,5.689999999999998,5.689999999999998,124.66799999999999,127.1,120.31,6.789999999999992,6.789999999999992,510751,679604,428810,250794,25911
2016-03-06,127.618,128.38,126.2,2.1799999999999926,2.1400000000000006,128.798,129.5,128.14,1.3600000000000136,0.710000000000008,126.626,127.85,125.18,2.6699999999999875,2.6699999999999875,128.064,129.15,127.49,1.6600000000000108,1.1400000000000148,550400,655426,430351,225075,63330
2016-03-13,128.67000000000002,130.05,128.05,2.0,-0.3400000000000034,130.132,130.73,129.4,1.329999999999984,1.0900000000000034,127.712,128.48,127.12,1.3599999999999852,-0.45999999999999375,129.156,129.95,127.76,2.1899999999999835,0.9899999999999807,640373,1028905,469535,559370,550028
2016-03-20,129.8775,130.08,129.42,0.660000000000025,0.009999999999990905,130.8625,131.55,130.45,1.1000000000000227,0.410000000000025,129.27,129.42,129.05,0.3699999999999761,0.2599999999999909,130.1525,130.65,129.83,0.8199999999999932,-0.3199999999999932,346585,406204,313010,93194,-9912
2016-03-27,131.142,132.52,130.02,2.5,0.8899999999999864,132.318,133.6,130.52,3.079999999999984,3.079999999999984,130.302,131.3,128.75,2.5500000000000114,2.1599999999999966,131.822,133.41,129.94,3.469999999999999,3.469999999999999,498298,929795,224291,705504,705504
2016-04-03,132.096,133.47,130.94,2.530000000000001,-2.1200000000000045,133.23399999999998,134.32,131.79,2.530000000000001,-2.469999999999999,130.832,132.56,129.6,2.960000000000008,-1.9699999999999989,131.914,134.19,130.15,4.039999999999992,-1.5599999999999739,781413,1378187,282060,1096127,-269244
2016-04-10,133.02,135.0,130.99,4.009999999999991,3.5200000000000102,134.186,135.92,132.35,3.569999999999993,3.569999999999993,132.276,134.16,130.12,4.039999999999992,3.8400000000000034,133.658,135.81,130.66,5.150000000000006,5.150000000000006,405677,458347,339039,119308,4952
2016-04-17,136.87199999999999,137.92,135.65,2.269999999999982,2.269999999999982,138.306,138.91,137.67,1.240000000000009,0.17000000000001592,135.934,137.03,135.1,1.9300000000000068,1.9300000000000068,137.432,138.31,136.41,1.9000000000000057,-0.17000000000001592,493767,722101,349038,373063,-234190
2016-04-24,134.652,138.45,130.94,7.509999999999991,-6.52000000000001,134.892,138.45,131.01,7.439999999999998,-6.850000000000023,132.1,136.05,128.9,7.150000000000006,-7.150000000000006,133.192,137.57,130.16,7.409999999999997,-7.409999999999997,836686,1230610,513587,717023,-605423
