Date,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_average,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_max,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_min,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_volatility,PowerShares DWA Healthcare Momentum Portfolio_etf_Open_change,PowerShares DWA Healthcare Momentum Portfolio_etf_High_average,PowerShares DWA Healthcare Momentum Portfolio_etf_High_max,PowerShares DWA Healthcare Momentum Portfolio_etf_High_min,PowerShares DWA Healthcare Momentum Portfolio_etf_High_volatility,PowerShares DWA Healthcare Momentum Portfolio_etf_High_change,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_average,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_max,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_min,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_volatility,PowerShares DWA Healthcare Momentum Portfolio_etf_Low_change,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_average,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_max,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_min,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_volatility,PowerShares DWA Healthcare Momentum Portfolio_etf_Close_change
2016-01-03,50.57,50.57,50.57,0.0,0.0,50.92,50.92,50.92,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2016-01-10,45.77,45.77,45.77,0.0,0.0,46.79,46.79,46.79,0.0,0.0,45.44,45.44,45.44,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2016-01-17,46.3,46.3,46.3,0.0,0.0,46.76,46.76,46.76,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2016-01-24,42.58,42.58,42.58,0.0,0.0,43.78,43.78,43.78,0.0,0.0,42.58,42.58,42.58,0.0,0.0,43.78,43.78,43.78,0.0,0.0
2016-01-31,42.27,42.27,42.27,0.0,0.0,42.27,42.27,42.27,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2016-02-07,39.26,39.26,39.26,0.0,0.0,39.45,39.45,39.45,0.0,0.0,38.5,38.5,38.5,0.0,0.0,39.44,39.44,39.44,0.0,0.0
2016-02-14,40.56,40.56,40.56,0.0,0.0,41.43,41.43,41.43,0.0,0.0,40.18,40.18,40.18,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2016-02-21,41.65,41.65,41.65,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.79,41.79,41.79,0.0,0.0
2016-02-28,42.13,42.13,42.13,0.0,0.0,42.54,42.54,42.54,0.0,0.0,41.78,41.78,41.78,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2016-03-06,41.46,41.46,41.46,0.0,0.0,42.28,42.28,42.28,0.0,0.0,41.31,41.31,41.31,0.0,0.0,42.25,42.25,42.25,0.0,0.0
2016-03-13,40.69,40.69,40.69,0.0,0.0,41.4,41.4,41.4,0.0,0.0,40.08,40.08,40.08,0.0,0.0,41.28,41.28,41.28,0.0,0.0
2016-03-20,40.96,40.96,40.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0,40.96,40.96,40.96,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2016-03-27,43.03,43.03,43.03,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.03,43.03,43.03,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2016-04-03,44.95,44.95,44.95,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2016-04-10,45.1,45.1,45.1,0.0,0.0,45.37,45.37,45.37,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2016-04-17,45.3,45.3,45.3,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2016-04-24,44.5,44.5,44.5,0.0,0.0,44.5,44.5,44.5,0.0,0.0,43.98,43.98,43.98,0.0,0.0,44.26,44.26,44.26,0.0,0.0
2016-05-01,43.84,43.84,43.84,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2016-05-08,43.51,43.51,43.51,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.45,43.45,43.45,0.0,0.0
2016-05-15,44.11,44.11,44.11,0.0,0.0,44.36,44.36,44.36,0.0,0.0,43.99,43.99,43.99,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2016-05-22,45.04,45.04,45.04,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.89,44.89,44.89,0.0,0.0,45.13,45.13,45.13,0.0,0.0
2016-05-29,45.74,45.74,45.74,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2016-06-05,45.64,45.64,45.64,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.11,45.11,45.11,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2016-06-12,44.82,44.82,44.82,0.0,0.0,44.82,44.82,44.82,0.0,0.0,43.96,43.96,43.96,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2016-06-19,43.46,43.46,43.46,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.01,43.01,43.01,0.0,0.0,43.36,43.36,43.36,0.0,0.0
2016-06-26,44.69,44.69,44.69,0.0,0.0,45.13,45.13,45.13,0.0,0.0,44.69,44.69,44.69,0.0,0.0,45.12,45.12,45.12,0.0,0.0
2016-07-03,45.78,45.78,45.78,0.0,0.0,46.48,46.48,46.48,0.0,0.0,45.72,45.72,45.72,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2016-07-10,46.17,46.17,46.17,0.0,0.0,46.26,46.26,46.26,0.0,0.0,45.73,45.73,45.73,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2016-07-17,46.89,46.89,46.89,0.0,0.0,47.22,47.22,47.22,0.0,0.0,46.89,46.89,46.89,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2016-07-24,48.03,48.03,48.03,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2016-07-31,49.03,49.03,49.03,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.79,48.79,48.79,0.0,0.0
2016-08-07,48.46,48.46,48.46,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2016-08-14,47.97,47.97,47.97,0.0,0.0,48.27,48.27,48.27,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2016-08-21,47.57,47.57,47.57,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.33,47.33,47.33,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2016-08-28,48.37,48.37,48.37,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2016-09-04,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2016-09-11,50.55,50.55,50.55,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2016-09-18,54.16,54.16,54.16,0.0,0.0,54.16,54.16,54.16,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.61,53.61,53.61,0.0,0.0
2016-09-25,52.17,52.17,52.17,0.0,0.0,52.75,52.75,52.75,0.0,0.0,51.82,51.82,51.82,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2016-10-02,51.44,51.44,51.44,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.58,51.58,51.58,0.0,0.0
2016-10-09,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2016-10-16,48.66,48.66,48.66,0.0,0.0,49.11,49.11,49.11,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2016-10-23,44.52,44.52,44.52,0.0,0.0,45.31,45.31,45.31,0.0,0.0,44.22,44.22,44.22,0.0,0.0,45.05,45.05,45.05,0.0,0.0
2016-10-30,42.72,42.72,42.72,0.0,0.0,44.3,44.3,44.3,0.0,0.0,42.72,42.72,42.72,0.0,0.0,44.1,44.1,44.1,0.0,0.0
2016-11-06,48.9,48.9,48.9,0.0,0.0,49.71,49.71,49.71,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2016-11-13,50.66,50.66,50.66,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2016-11-20,50.5,50.5,50.5,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2016-11-27,48.19,48.19,48.19,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2016-12-04,49.56,49.56,49.56,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2016-12-11,49.26,49.26,49.26,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2016-12-18,47.71,47.71,47.71,0.0,0.0,49.29,49.29,49.29,0.0,0.0,47.71,47.71,47.71,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2016-12-25,48.18,48.18,48.18,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.92,47.92,47.92,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2017-01-01,48.33,48.33,48.33,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2017-01-08,49.48,49.48,49.48,0.0,0.0,50.62,50.62,50.62,0.0,0.0,49.48,49.48,49.48,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2017-01-15,49.27,49.27,49.27,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2017-01-22,49.66,49.66,49.66,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2017-01-29,50.53,50.53,50.53,0.0,0.0,51.3,51.3,51.3,0.0,0.0,50.53,50.53,50.53,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2017-02-05,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.27,52.27,52.27,0.0,0.0
2017-02-12,53.35,53.35,53.35,0.0,0.0,53.9,53.9,53.9,0.0,0.0,52.76,52.76,52.76,0.0,0.0,53.72,53.72,53.72,0.0,0.0
2017-02-19,52.78,52.78,52.78,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.76,52.76,52.76,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2017-02-26,54.73,54.73,54.73,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2017-03-05,54.07,54.07,54.07,0.0,0.0,54.07,54.07,54.07,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2017-03-12,54.41,54.41,54.41,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2017-03-19,53.43,53.43,53.43,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2017-03-26,53.35,53.35,53.35,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.68,53.68,53.68,0.0,0.0
