Date,ProShares Ultra Dow30Etf_Open_average,ProShares Ultra Dow30Etf_Open_max,ProShares Ultra Dow30Etf_Open_min,ProShares Ultra Dow30Etf_Open_volatility,ProShares Ultra Dow30Etf_Open_change,ProShares Ultra Dow30Etf_High_average,ProShares Ultra Dow30Etf_High_max,ProShares Ultra Dow30Etf_High_min,ProShares Ultra Dow30Etf_High_volatility,ProShares Ultra Dow30Etf_High_change,ProShares Ultra Dow30Etf_Low_average,ProShares Ultra Dow30Etf_Low_max,ProShares Ultra Dow30Etf_Low_min,ProShares Ultra Dow30Etf_Low_volatility,ProShares Ultra Dow30Etf_Low_change,ProShares Ultra Dow30Etf_Close_average,ProShares Ultra Dow30Etf_Close_max,ProShares Ultra Dow30Etf_Close_min,ProShares Ultra Dow30Etf_Close_volatility,ProShares Ultra Dow30Etf_Close_change
2016-01-03,19.5,19.5,19.5,0.0,0.0,19.57,19.57,19.57,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2016-01-10,17.96,17.96,17.96,0.0,0.0,18.23,18.23,18.23,0.0,0.0,17.69,17.69,17.69,0.0,0.0,18.03,18.03,18.03,0.0,0.0
2016-01-17,18.29,18.29,18.29,0.0,0.0,18.34,18.34,18.34,0.0,0.0,17.99,17.99,17.99,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2016-01-24,18.43,18.43,18.43,0.0,0.0,19.05,19.05,19.05,0.0,0.0,18.36,18.36,18.36,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2016-01-31,18.93,18.93,18.93,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.48,18.48,18.48,0.0,0.0
2016-02-07,17.62,17.62,17.62,0.0,0.0,18.0,18.0,18.0,0.0,0.0,17.49,17.49,17.49,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2016-02-14,18.84,18.84,18.84,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2016-02-21,19.96,19.96,19.96,0.0,0.0,19.97,19.97,19.97,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2016-02-28,20.35,20.35,20.35,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.19,20.19,20.19,0.0,0.0,20.44,20.44,20.44,0.0,0.0
2016-03-06,20.82,20.82,20.82,0.0,0.0,21.0,21.0,21.0,0.0,0.0,20.78,20.78,20.78,0.0,0.0,20.97,20.97,20.97,0.0,0.0
