Date,VanEck Vectors Brazil Small-Cap_etf_Open_average,VanEck Vectors Brazil Small-Cap_etf_Open_max,VanEck Vectors Brazil Small-Cap_etf_Open_min,VanEck Vectors Brazil Small-Cap_etf_Open_volatility,VanEck Vectors Brazil Small-Cap_etf_Open_change,VanEck Vectors Brazil Small-Cap_etf_High_average,VanEck Vectors Brazil Small-Cap_etf_High_max,VanEck Vectors Brazil Small-Cap_etf_High_min,VanEck Vectors Brazil Small-Cap_etf_High_volatility,VanEck Vectors Brazil Small-Cap_etf_High_change,VanEck Vectors Brazil Small-Cap_etf_Low_average,VanEck Vectors Brazil Small-Cap_etf_Low_max,VanEck Vectors Brazil Small-Cap_etf_Low_min,VanEck Vectors Brazil Small-Cap_etf_Low_volatility,VanEck Vectors Brazil Small-Cap_etf_Low_change,VanEck Vectors Brazil Small-Cap_etf_Close_average,VanEck Vectors Brazil Small-Cap_etf_Close_max,VanEck Vectors Brazil Small-Cap_etf_Close_min,VanEck Vectors Brazil Small-Cap_etf_Close_volatility,VanEck Vectors Brazil Small-Cap_etf_Close_change
2016-01-03,9.6,9.6,9.6,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.52,9.52,9.52,0.0,0.0,9.52,9.52,9.52,0.0,0.0
2016-01-10,9.15,9.15,9.15,0.0,0.0,9.19,9.19,9.19,0.0,0.0,9.09,9.09,9.09,0.0,0.0,9.15,9.15,9.15,0.0,0.0
2016-01-17,8.79,8.79,8.79,0.0,0.0,8.79,8.79,8.79,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.76,8.76,8.76,0.0,0.0
2016-01-24,9.19,9.19,9.19,0.0,0.0,9.59,9.59,9.59,0.0,0.0,9.19,9.19,9.19,0.0,0.0,9.54,9.54,9.54,0.0,0.0
2016-01-31,10.04,10.04,10.04,0.0,0.0,10.06,10.06,10.06,0.0,0.0,9.98,9.98,9.98,0.0,0.0,10.0,10.0,10.0,0.0,0.0
2016-02-07,9.44,9.44,9.44,0.0,0.0,9.46,9.46,9.46,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.44,9.44,9.44,0.0,0.0
2016-02-14,9.66,9.66,9.66,0.0,0.0,9.81,9.81,9.81,0.0,0.0,9.64,9.64,9.64,0.0,0.0,9.8,9.8,9.8,0.0,0.0
2016-02-21,10.06,10.06,10.06,0.0,0.0,10.06,10.06,10.06,0.0,0.0,9.85,9.85,9.85,0.0,0.0,9.93,9.93,9.93,0.0,0.0
2016-02-28,11.85,11.85,11.85,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.47,11.47,11.47,0.0,0.0,11.59,11.59,11.59,0.0,0.0
2016-03-06,12.19,12.19,12.19,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.33,12.33,12.33,0.0,0.0
2016-03-13,12.35,12.35,12.35,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2016-03-20,11.97,11.97,11.97,0.0,0.0,11.99,11.99,11.99,0.0,0.0,11.84,11.84,11.84,0.0,0.0,11.95,11.95,11.95,0.0,0.0
2016-03-27,12.31,12.31,12.31,0.0,0.0,12.66,12.66,12.66,0.0,0.0,12.1,12.1,12.1,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2016-04-03,12.13,12.13,12.13,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.13,12.13,12.13,0.0,0.0,12.39,12.39,12.39,0.0,0.0
2016-04-10,13.24,13.24,13.24,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.24,13.24,13.24,0.0,0.0
2016-04-17,12.97,12.97,12.97,0.0,0.0,13.04,13.04,13.04,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.93,12.93,12.93,0.0,0.0
2016-04-24,13.61,13.61,13.61,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.41,13.41,13.41,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2016-05-01,12.79,12.79,12.79,0.0,0.0,13.02,13.02,13.02,0.0,0.0,12.77,12.77,12.77,0.0,0.0,13.02,13.02,13.02,0.0,0.0
2016-05-08,13.52,13.52,13.52,0.0,0.0,13.52,13.52,13.52,0.0,0.0,13.26,13.26,13.26,0.0,0.0,13.33,13.33,13.33,0.0,0.0
