Date,Vanguard Small-Cap ValueEtf_Open_average,Vanguard Small-Cap ValueEtf_Open_max,Vanguard Small-Cap ValueEtf_Open_min,Vanguard Small-Cap ValueEtf_Open_volatility,Vanguard Small-Cap ValueEtf_Open_change,Vanguard Small-Cap ValueEtf_High_average,Vanguard Small-Cap ValueEtf_High_max,Vanguard Small-Cap ValueEtf_High_min,Vanguard Small-Cap ValueEtf_High_volatility,Vanguard Small-Cap ValueEtf_High_change,Vanguard Small-Cap ValueEtf_Low_average,Vanguard Small-Cap ValueEtf_Low_max,Vanguard Small-Cap ValueEtf_Low_min,Vanguard Small-Cap ValueEtf_Low_volatility,Vanguard Small-Cap ValueEtf_Low_change,Vanguard Small-Cap ValueEtf_Close_average,Vanguard Small-Cap ValueEtf_Close_max,Vanguard Small-Cap ValueEtf_Close_min,Vanguard Small-Cap ValueEtf_Close_volatility,Vanguard Small-Cap ValueEtf_Close_change
2016-01-03,93.94,93.94,93.94,0.0,0.0,94.2,94.2,94.2,0.0,0.0,92.16,92.16,92.16,0.0,0.0,92.27,92.27,92.27,0.0,0.0
2016-01-10,88.46,88.46,88.46,0.0,0.0,89.39,89.39,89.39,0.0,0.0,87.44,87.44,87.44,0.0,0.0,89.19,89.19,89.19,0.0,0.0
2016-01-17,89.46,89.46,89.46,0.0,0.0,90.22,90.22,90.22,0.0,0.0,89.05,89.05,89.05,0.0,0.0,90.01,90.01,90.01,0.0,0.0
2016-01-24,90.07,90.07,90.07,0.0,0.0,92.48,92.48,92.48,0.0,0.0,90.0,90.0,90.0,0.0,0.0,92.48,92.48,92.48,0.0,0.0
2016-01-31,91.37,91.37,91.37,0.0,0.0,91.62,91.62,91.62,0.0,0.0,90.03,90.03,90.03,0.0,0.0,90.09,90.09,90.09,0.0,0.0
2016-02-07,87.84,87.84,87.84,0.0,0.0,88.79,88.79,88.79,0.0,0.0,87.53,87.53,87.53,0.0,0.0,88.67,88.67,88.67,0.0,0.0
2016-02-14,91.14,91.14,91.14,0.0,0.0,91.56,91.56,91.56,0.0,0.0,90.63,90.63,90.63,0.0,0.0,91.5,91.5,91.5,0.0,0.0
2016-02-21,94.04,94.04,94.04,0.0,0.0,94.42,94.42,94.42,0.0,0.0,93.68,93.68,93.68,0.0,0.0,93.99,93.99,93.99,0.0,0.0
2016-02-28,98.23,98.23,98.23,0.0,0.0,99.27,99.27,99.27,0.0,0.0,97.92,97.92,97.92,0.0,0.0,98.78,98.78,98.78,0.0,0.0
2016-03-06,98.62,98.62,98.62,0.0,0.0,99.73,99.73,99.73,0.0,0.0,98.62,98.62,98.62,0.0,0.0,99.63,99.63,99.63,0.0,0.0
2016-03-13,100.72,100.72,100.72,0.0,0.0,101.52,101.52,101.52,0.0,0.0,100.64,100.64,100.64,0.0,0.0,101.12,101.12,101.12,0.0,0.0
2016-03-20,98.77,98.77,98.77,0.0,0.0,99.66,99.66,99.66,0.0,0.0,98.44,98.44,98.44,0.0,0.0,99.66,99.66,99.66,0.0,0.0
2016-03-27,100.99,100.99,100.99,0.0,0.0,102.09,102.09,102.09,0.0,0.0,100.71,100.71,100.71,0.0,0.0,102.01,102.01,102.01,0.0,0.0
2016-04-03,100.26,100.26,100.26,0.0,0.0,100.84,100.84,100.84,0.0,0.0,99.78,99.78,99.78,0.0,0.0,100.1,100.1,100.1,0.0,0.0
2016-04-10,102.71,102.71,102.71,0.0,0.0,103.34,103.34,103.34,0.0,0.0,102.65,102.65,102.65,0.0,0.0,103.25,103.25,103.25,0.0,0.0
2016-04-17,103.43,103.43,103.43,0.0,0.0,104.57,104.57,104.57,0.0,0.0,103.38,103.38,103.38,0.0,0.0,104.47,104.47,104.47,0.0,0.0
2016-04-24,104.28,104.28,104.28,0.0,0.0,104.59,104.59,104.59,0.0,0.0,103.19,103.19,103.19,0.0,0.0,104.02,104.02,104.02,0.0,0.0
2016-05-01,102.16,102.16,102.16,0.0,0.0,103.17,103.17,103.17,0.0,0.0,102.09,102.09,102.09,0.0,0.0,103.17,103.17,103.17,0.0,0.0
2016-05-08,102.64,102.64,102.64,0.0,0.0,102.94,102.94,102.94,0.0,0.0,101.55,101.55,101.55,0.0,0.0,101.82,101.82,101.82,0.0,0.0
2016-05-15,101.59,101.59,101.59,0.0,0.0,102.49,102.49,102.49,0.0,0.0,101.59,101.59,101.59,0.0,0.0,102.41,102.41,102.41,0.0,0.0
2016-05-22,104.46,104.46,104.46,0.0,0.0,105.22,105.22,105.22,0.0,0.0,104.46,104.46,104.46,0.0,0.0,105.22,105.22,105.22,0.0,0.0
2016-05-29,106.52,106.52,106.52,0.0,0.0,106.58,106.58,106.58,0.0,0.0,105.42,105.42,105.42,0.0,0.0,106.14,106.14,106.14,0.0,0.0
