Date,First Trust Taiwan AlphaDEX_etf_Open_average,First Trust Taiwan AlphaDEX_etf_Open_max,First Trust Taiwan AlphaDEX_etf_Open_min,First Trust Taiwan AlphaDEX_etf_Open_volatility,First Trust Taiwan AlphaDEX_etf_Open_change,First Trust Taiwan AlphaDEX_etf_High_average,First Trust Taiwan AlphaDEX_etf_High_max,First Trust Taiwan AlphaDEX_etf_High_min,First Trust Taiwan AlphaDEX_etf_High_volatility,First Trust Taiwan AlphaDEX_etf_High_change,First Trust Taiwan AlphaDEX_etf_Low_average,First Trust Taiwan AlphaDEX_etf_Low_max,First Trust Taiwan AlphaDEX_etf_Low_min,First Trust Taiwan AlphaDEX_etf_Low_volatility,First Trust Taiwan AlphaDEX_etf_Low_change,First Trust Taiwan AlphaDEX_etf_Close_average,First Trust Taiwan AlphaDEX_etf_Close_max,First Trust Taiwan AlphaDEX_etf_Close_min,First Trust Taiwan AlphaDEX_etf_Close_volatility,First Trust Taiwan AlphaDEX_etf_Close_change
2016-01-03,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2016-01-10,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2016-01-17,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2016-01-24,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0
2016-01-31,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2016-02-07,26.3,26.3,26.3,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2016-02-14,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2016-02-21,28.31,28.31,28.31,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2016-02-28,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2016-03-06,30.12,30.12,30.12,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.13,30.13,30.13,0.0,0.0
