Date,CVGI_stock_Open_average,CVGI_stock_Open_max,CVGI_stock_Open_min,CVGI_stock_Open_volatility,CVGI_stock_Open_change,CVGI_stock_High_average,CVGI_stock_High_max,CVGI_stock_High_min,CVGI_stock_High_volatility,CVGI_stock_High_change,CVGI_stock_Low_average,CVGI_stock_Low_max,CVGI_stock_Low_min,CVGI_stock_Low_volatility,CVGI_stock_Low_change,CVGI_stock_Close_average,CVGI_stock_Close_max,CVGI_stock_Close_min,CVGI_stock_Close_volatility,CVGI_stock_Close_change,CVGI_stock_Volume_average,CVGI_stock_Volume_max,CVGI_stock_Volume_min,CVGI_stock_Volume_volatility,CVGI_stock_Volume_change
2016-01-03,2.612,2.68,2.51,0.17000000000000037,-0.16000000000000014,2.682,2.81,2.56,0.25,-0.17999999999999972,2.446,2.51,2.4,0.10999999999999988,-0.040000000000000036,2.57,2.7,2.42,0.28000000000000025,-0.25,280951,538141,150843,387298,-59077
2016-01-10,2.35,2.43,2.25,0.18000000000000016,-0.18000000000000016,2.424,2.49,2.36,0.13000000000000034,-0.0900000000000003,2.232,2.35,2.02,0.33000000000000007,-0.33000000000000007,2.342,2.36,2.32,0.040000000000000036,-0.040000000000000036,308537,769498,158158,611340,19564
2016-01-17,2.5125,2.75,2.36,0.3900000000000001,0.3900000000000001,2.6825,2.96,2.44,0.52,0.52,2.4625,2.75,2.29,0.45999999999999996,0.45999999999999996,2.6574999999999998,2.95,2.42,0.5300000000000002,0.5300000000000002,292579,554326,153346,400980,-384910
2016-01-24,2.916,3.08,2.79,0.29000000000000004,0.20000000000000018,3.0260000000000002,3.17,2.93,0.23999999999999977,0.16999999999999993,2.854,3.01,2.75,0.2599999999999998,0.2599999999999998,2.9539999999999997,3.1,2.76,0.3400000000000003,0.3400000000000003,141777,183067,109589,73478,-38632
2016-01-31,2.95,3.06,2.8,0.26000000000000023,-0.1499999999999999,3.0300000000000002,3.16,2.91,0.25,-0.18999999999999995,2.734,2.91,2.59,0.3200000000000003,-0.30000000000000027,2.872,3.08,2.62,0.45999999999999996,-0.45999999999999996,106059,139196,73888,65308,22689
2016-02-07,2.462,2.57,2.29,0.2799999999999998,-0.2799999999999998,2.536,2.66,2.42,0.2400000000000002,-0.1299999999999999,2.358,2.5,2.18,0.31999999999999984,-0.31999999999999984,2.408,2.56,2.25,0.31000000000000005,-0.28000000000000025,93670,112406,67154,45252,-9993
2016-02-14,2.3275,2.39,2.27,0.1200000000000001,0.050000000000000266,2.36,2.41,2.3,0.11000000000000032,0.07000000000000028,2.2,2.27,2.1,0.16999999999999993,-0.10000000000000009,2.2725,2.36,2.12,0.23999999999999977,-0.1299999999999999,163793,366547,71940,294607,71099
2016-02-21,2.2733333333333334,2.42,2.18,0.23999999999999977,0.23999999999999977,2.348333333333333,2.46,2.25,0.20999999999999996,0.16999999999999993,2.243333333333333,2.42,2.17,0.25,0.25,2.328333333333333,2.44,2.24,0.19999999999999973,0.17999999999999972,110910,141507,45688,95819,-27422
2016-02-28,2.622,2.9,2.44,0.45999999999999996,0.45999999999999996,2.81,3.25,2.55,0.7000000000000002,0.7000000000000002,2.572,2.84,2.34,0.5,0.5,2.772,3.18,2.51,0.6700000000000004,0.6700000000000004,151472,355141,71828,283313,242747
2016-03-06,3.1279999999999997,3.26,3.01,0.25,-0.22999999999999998,3.204,3.33,3.11,0.2200000000000002,-0.18000000000000016,2.926,3.07,2.66,0.4099999999999997,-0.4099999999999997,3.026,3.26,2.78,0.48,-0.48,131008,167817,71215,96602,-13741
