Date,BECN_stock_Open_average,BECN_stock_Open_max,BECN_stock_Open_min,BECN_stock_Open_volatility,BECN_stock_Open_change,BECN_stock_High_average,BECN_stock_High_max,BECN_stock_High_min,BECN_stock_High_volatility,BECN_stock_High_change,BECN_stock_Low_average,BECN_stock_Low_max,BECN_stock_Low_min,BECN_stock_Low_volatility,BECN_stock_Low_change,BECN_stock_Close_average,BECN_stock_Close_max,BECN_stock_Close_min,BECN_stock_Close_volatility,BECN_stock_Close_change,BECN_stock_Volume_average,BECN_stock_Volume_max,BECN_stock_Volume_min,BECN_stock_Volume_volatility,BECN_stock_Volume_change
2016-01-03,39.964,40.91,38.98,1.9299999999999997,-1.5300000000000011,40.39,41.07,39.33,1.740000000000002,-1.740000000000002,39.410000000000004,40.13,38.35,1.7800000000000011,-1.7800000000000011,39.768,40.61,38.48,2.1300000000000026,-2.1300000000000026,509900,576740,326870,249870,20803
2016-01-10,37.711999999999996,38.41,36.19,2.219999999999999,-1.9699999999999989,38.098,38.72,36.87,1.8500000000000014,-1.8000000000000043,36.9,37.49,35.83,1.6600000000000037,-1.6600000000000037,37.452,38.13,36.72,1.4100000000000037,-1.2100000000000009,642786,836309,335345,500964,-254274
2016-01-17,37.9125,38.68,36.82,1.8599999999999994,0.030000000000001137,38.635000000000005,39.38,38.2,1.1799999999999997,1.1000000000000014,37.2325,38.01,36.33,1.6799999999999997,0.9199999999999946,37.9425,39.32,37.36,1.9600000000000009,1.9600000000000009,629370,668777,552692,116085,33804
2016-01-24,39.46,39.85,39.13,0.7199999999999989,0.3399999999999963,40.094,40.56,39.2,1.3599999999999994,1.3599999999999994,39.056,39.36,38.62,0.740000000000002,0.5600000000000023,39.664,40.5,38.95,1.5499999999999972,1.5499999999999972,449535,553237,302817,250420,-51679
2016-01-31,40.454,42.5,39.46,3.039999999999999,2.3599999999999994,41.108000000000004,43.25,40.31,2.9399999999999977,2.509999999999998,38.836,40.02,36.57,3.450000000000003,-3.450000000000003,39.58,40.68,37.75,2.9299999999999997,-2.6199999999999974,742764,1829836,386907,1442929,1288282
2016-02-07,34.802,37.67,33.31,4.359999999999999,-4.359999999999999,35.34,38.25,33.73,4.520000000000003,-4.520000000000003,33.406,35.33,32.24,3.0899999999999963,-2.6700000000000017,33.896,35.74,32.8,2.940000000000005,-2.940000000000005,931396,1319094,651525,667569,-233919
2016-02-14,33.587500000000006,34.35,33.1,1.25,0.14000000000000057,34.1225,34.64,33.38,1.259999999999998,0.5,33.105000000000004,33.59,32.7,0.8900000000000006,0.4099999999999966,33.6625,34.35,33.07,1.2800000000000011,0.45000000000000284,651730,866330,541610,324720,42637
2016-02-21,34.681666666666665,36.56,33.36,3.200000000000003,2.760000000000005,35.401666666666664,36.98,34.11,2.8699999999999974,2.200000000000003,34.36333333333334,36.56,32.75,3.8100000000000023,3.0,35.166666666666664,36.56,33.78,2.780000000000001,2.530000000000001,559932,709236,397075,312161,6488
2016-02-28,37.58,38.88,36.29,2.5900000000000034,2.3000000000000043,38.444,39.67,36.58,3.0900000000000034,3.0900000000000034,37.17,38.55,35.99,2.559999999999995,2.1099999999999994,38.08,39.07,36.1,2.969999999999999,2.969999999999999,584327,732277,488918,243359,2642
2016-03-06,38.906,39.31,38.7,0.6099999999999994,-0.1699999999999946,39.36,39.51,39.24,0.269999999999996,0.269999999999996,38.328,38.59,38.02,0.5700000000000003,-0.3300000000000054,38.938,39.5,38.38,1.1199999999999974,0.4799999999999969,443395,546127,349691,196436,-82615
