Date,PowerShares DWA Basic Materials Momentum Portfolio_etf_Open_average,PowerShares DWA Basic Materials Momentum Portfolio_etf_Open_max,PowerShares DWA Basic Materials Momentum Portfolio_etf_Open_min,PowerShares DWA Basic Materials Momentum Portfolio_etf_Open_volatility,PowerShares DWA Basic Materials Momentum Portfolio_etf_Open_change,PowerShares DWA Basic Materials Momentum Portfolio_etf_High_average,PowerShares DWA Basic Materials Momentum Portfolio_etf_High_max,PowerShares DWA Basic Materials Momentum Portfolio_etf_High_min,PowerShares DWA Basic Materials Momentum Portfolio_etf_High_volatility,PowerShares DWA Basic Materials Momentum Portfolio_etf_High_change,PowerShares DWA Basic Materials Momentum Portfolio_etf_Low_average,PowerShares DWA Basic Materials Momentum Portfolio_etf_Low_max,PowerShares DWA Basic Materials Momentum Portfolio_etf_Low_min,PowerShares DWA Basic Materials Momentum Portfolio_etf_Low_volatility,PowerShares DWA Basic Materials Momentum Portfolio_etf_Low_change,PowerShares DWA Basic Materials Momentum Portfolio_etf_Close_average,PowerShares DWA Basic Materials Momentum Portfolio_etf_Close_max,PowerShares DWA Basic Materials Momentum Portfolio_etf_Close_min,PowerShares DWA Basic Materials Momentum Portfolio_etf_Close_volatility,PowerShares DWA Basic Materials Momentum Portfolio_etf_Close_change
2016-01-03,45.5,45.5,45.5,0.0,0.0,45.5,45.5,45.5,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.76,44.76,44.76,0.0,0.0
2016-01-10,43.27,43.27,43.27,0.0,0.0,43.49,43.49,43.49,0.0,0.0,42.96,42.96,42.96,0.0,0.0,43.44,43.44,43.44,0.0,0.0
2016-01-17,43.98,43.98,43.98,0.0,0.0,43.98,43.98,43.98,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2016-01-24,43.21,43.21,43.21,0.0,0.0,44.2,44.2,44.2,0.0,0.0,43.21,43.21,43.21,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2016-01-31,44.89,44.89,44.89,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.06,44.06,44.06,0.0,0.0
2016-02-07,42.29,42.29,42.29,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.17,42.17,42.17,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2016-02-14,44.05,44.05,44.05,0.0,0.0,44.05,44.05,44.05,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2016-02-21,45.25,45.25,45.25,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2016-02-28,47.03,47.03,47.03,0.0,0.0,47.52,47.52,47.52,0.0,0.0,46.64,46.64,46.64,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2016-03-06,48.17,48.17,48.17,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.17,48.17,48.17,0.0,0.0
2016-03-13,49.8,49.8,49.8,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2016-03-20,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2016-03-27,49.61,49.61,49.61,0.0,0.0,50.34,50.34,50.34,0.0,0.0,49.61,49.61,49.61,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2016-04-03,50.03,50.03,50.03,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2016-04-10,52.18,52.18,52.18,0.0,0.0,52.73,52.73,52.73,0.0,0.0,51.98,51.98,51.98,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2016-04-17,53.95,53.95,53.95,0.0,0.0,54.49,54.49,54.49,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2016-04-24,54.49,54.49,54.49,0.0,0.0,54.58,54.58,54.58,0.0,0.0,53.99,53.99,53.99,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2016-05-01,52.94,52.94,52.94,0.0,0.0,53.44,53.44,53.44,0.0,0.0,52.67,52.67,52.67,0.0,0.0,53.27,53.27,53.27,0.0,0.0
2016-05-08,52.58,52.58,52.58,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2016-05-15,51.92,51.92,51.92,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.79,51.79,51.79,0.0,0.0
2016-05-22,52.93,52.93,52.93,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2016-05-29,53.68,53.68,53.68,0.0,0.0,54.07,54.07,54.07,0.0,0.0,53.65,53.65,53.65,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2016-06-05,54.94,54.94,54.94,0.0,0.0,55.02,55.02,55.02,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.77,54.77,54.77,0.0,0.0
2016-06-12,54.08,54.08,54.08,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2016-06-19,53.86,53.86,53.86,0.0,0.0,53.99,53.99,53.99,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2016-06-26,54.47,54.47,54.47,0.0,0.0,54.98,54.98,54.98,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.87,54.87,54.87,0.0,0.0
