Date,TAC_stock_Open_average,TAC_stock_Open_max,TAC_stock_Open_min,TAC_stock_Open_volatility,TAC_stock_Open_change,TAC_stock_High_average,TAC_stock_High_max,TAC_stock_High_min,TAC_stock_High_volatility,TAC_stock_High_change,TAC_stock_Low_average,TAC_stock_Low_max,TAC_stock_Low_min,TAC_stock_Low_volatility,TAC_stock_Low_change,TAC_stock_Close_average,TAC_stock_Close_max,TAC_stock_Close_min,TAC_stock_Close_volatility,TAC_stock_Close_change,TAC_stock_Volume_average,TAC_stock_Volume_max,TAC_stock_Volume_min,TAC_stock_Volume_volatility,TAC_stock_Volume_change
2016-01-03,3.332,3.54,3.04,0.5,-0.5,3.3979999999999997,3.55,3.17,0.3799999999999999,-0.3799999999999999,3.206,3.41,2.99,0.41999999999999993,-0.41999999999999993,3.258,3.5,3.01,0.4900000000000002,-0.3700000000000001,201564,218516,187723,30793,-10381
2016-01-10,3.104,3.29,2.82,0.4700000000000002,-0.33000000000000007,3.134,3.29,2.82,0.4700000000000002,-0.3700000000000001,2.934,3.11,2.58,0.5299999999999998,-0.5,3.016,3.21,2.6,0.6099999999999999,-0.5800000000000001,218681,427453,104493,322960,246857
2016-01-17,2.7350000000000003,2.98,2.6,0.3799999999999999,0.3799999999999999,2.88,3.13,2.72,0.4099999999999997,0.4099999999999997,2.6875,2.96,2.54,0.41999999999999993,0.3799999999999999,2.85,3.09,2.69,0.3999999999999999,0.36999999999999966,224823,269640,186280,83360,-34091
2016-01-24,3.136,3.4,2.94,0.45999999999999996,0.33999999999999986,3.238,3.53,3.02,0.5099999999999998,0.46999999999999975,3.088,3.39,2.88,0.5100000000000002,0.5100000000000002,3.19,3.49,2.89,0.6000000000000001,0.6000000000000001,183021,254953,127800,127153,21778
2016-01-31,3.616,3.81,3.44,0.3700000000000001,0.33000000000000007,3.7319999999999998,3.9,3.54,0.3599999999999999,0.3500000000000001,3.566,3.78,3.32,0.45999999999999996,0.36999999999999966,3.704,3.87,3.52,0.3500000000000001,0.3500000000000001,155692,196938,101266,95672,-81947
2016-02-07,3.682,3.89,3.45,0.43999999999999995,-0.3999999999999999,3.756,3.98,3.54,0.43999999999999995,-0.41000000000000014,3.568,3.72,3.38,0.3400000000000003,-0.28000000000000025,3.636,3.92,3.43,0.48999999999999977,-0.3999999999999999,153216,241046,110318,130728,-130728
2016-02-14,3.8925,4.1,3.59,0.5099999999999998,0.5,4.0875,4.25,3.63,0.6200000000000001,0.6200000000000001,3.8175,4.02,3.49,0.5299999999999994,0.5299999999999994,4.04,4.24,3.58,0.6600000000000001,0.6600000000000001,237003,403690,119032,284658,55280
2016-02-21,4.318,4.4,4.24,0.16000000000000014,0.10000000000000053,4.41,4.46,4.33,0.1299999999999999,0.03000000000000025,4.264,4.34,4.19,0.14999999999999947,0.040000000000000036,4.364,4.4,4.33,0.07000000000000028,0.03000000000000025,138530,170306,103444,66862,-28262
2016-02-28,4.432,4.47,4.37,0.09999999999999964,0.09999999999999964,4.524,4.63,4.42,0.20999999999999996,0.11000000000000032,4.408,4.47,4.34,0.1299999999999999,0.1299999999999999,4.45,4.49,4.36,0.1299999999999999,0.1299999999999999,128011,180991,98116,82875,-3271
2016-03-06,4.49,4.56,4.43,0.1299999999999999,0.08999999999999986,4.58,4.66,4.49,0.16999999999999993,0.0600000000000005,4.444,4.51,4.37,0.13999999999999968,0.05999999999999961,4.5,4.58,4.42,0.16000000000000014,0.009999999999999787,123450,195375,92243,103132,-27027
2016-03-13,4.478,4.53,4.4,0.1299999999999999,-0.09999999999999964,4.514,4.6,4.45,0.14999999999999947,-0.14999999999999947,4.364,4.47,4.25,0.21999999999999975,-0.21999999999999975,4.434,4.59,4.25,0.33999999999999986,-0.33999999999999986,159150,368136,79853,288283,261897
2016-03-20,4.395,4.53,4.3,0.23000000000000043,0.009999999999999787,4.505,4.61,4.36,0.25,-0.14999999999999947,4.3375,4.44,4.27,0.17000000000000082,-0.03000000000000025,4.4399999999999995,4.59,4.33,0.2599999999999998,-0.16999999999999993,112917,121609,109277,12332,979
2016-03-27,4.4559999999999995,4.58,4.29,0.29000000000000004,0.27000000000000046,4.576,4.71,4.36,0.34999999999999964,0.23999999999999932,4.43,4.58,4.25,0.33000000000000007,0.2599999999999998,4.5360000000000005,4.65,4.32,0.33000000000000007,0.27999999999999936,78006,101669,42265,59404,-59404
2016-04-03,4.51,4.56,4.42,0.13999999999999968,0.009999999999999787,4.574,4.63,4.5,0.1299999999999999,0.019999999999999574,4.468,4.52,4.42,0.09999999999999964,0.0,4.506,4.54,4.45,0.08999999999999986,0.010000000000000675,63606,74710,52292,22418,6523
2016-04-10,4.7379999999999995,4.89,4.58,0.3099999999999996,0.09999999999999964,4.832,4.91,4.75,0.16000000000000014,0.0,4.694,4.81,4.58,0.22999999999999954,0.04999999999999982,4.776,4.88,4.71,0.16999999999999993,-0.040000000000000036,71840,135786,40412,95374,-13558
2016-04-17,4.932,5.16,4.67,0.4900000000000002,0.4900000000000002,5.132,5.37,4.89,0.4800000000000004,0.47000000000000064,4.876,5.03,4.67,0.3600000000000003,0.2400000000000002,5.0040000000000004,5.19,4.83,0.3600000000000003,0.13999999999999968,148264,276173,66163,210010,210010
2016-04-24,5.172000000000001,5.41,4.9,0.5099999999999998,0.41999999999999993,5.308,5.47,5.01,0.45999999999999996,0.40000000000000036,5.0680000000000005,5.31,4.82,0.4899999999999993,0.3700000000000001,5.192,5.35,4.91,0.4399999999999995,0.3099999999999996,138523,230258,67368,162890,-51685
2016-05-01,5.078,5.2,4.88,0.3200000000000003,-0.07000000000000028,5.228,5.35,5.02,0.33000000000000007,0.05999999999999961,5.0,5.13,4.83,0.2999999999999998,0.019999999999999574,5.172000000000001,5.32,4.94,0.3799999999999999,0.040000000000000036,187158,285297,126181,159116,77606
2016-05-08,5.346,5.49,5.21,0.28000000000000025,0.0600000000000005,5.468,5.62,5.31,0.3100000000000005,0.09000000000000075,5.28,5.41,5.18,0.23000000000000043,0.08999999999999986,5.358,5.43,5.24,0.1899999999999995,0.05999999999999961,189058,289721,132379,157342,-13236
2016-05-15,5.042,5.32,4.92,0.40000000000000036,-0.3700000000000001,5.15,5.34,5.01,0.33000000000000007,-0.2599999999999998,4.902,4.98,4.83,0.15000000000000036,-0.03000000000000025,5.02,5.14,4.95,0.1899999999999995,-0.08000000000000007,166439,323438,89703,233735,-86692
2016-05-22,4.976,5.06,4.88,0.17999999999999972,-0.16000000000000014,5.05,5.1,4.98,0.11999999999999922,-0.11999999999999922,4.912,5.02,4.81,0.20999999999999996,-0.20999999999999996,4.962,5.06,4.91,0.14999999999999947,-0.14999999999999947,63105,124076,18471,105605,17679
2016-05-29,4.8475,4.9,4.81,0.09000000000000075,0.07000000000000028,4.9725,5.13,4.89,0.2400000000000002,0.20999999999999996,4.8100000000000005,4.9,4.72,0.1800000000000006,0.10000000000000053,4.9175,5.1,4.8,0.2999999999999998,0.2999999999999998,73535,168071,29835,138236,103915
2016-06-05,5.41,5.53,5.11,0.41999999999999993,0.35999999999999943,5.52,5.62,5.42,0.20000000000000018,0.08999999999999986,5.354,5.47,5.11,0.35999999999999943,0.1999999999999993,5.456,5.55,5.37,0.17999999999999972,0.0,69253,116607,33496,83111,-67371
2016-06-12,5.302,5.43,5.2,0.22999999999999954,-0.07999999999999918,5.390000000000001,5.46,5.23,0.22999999999999954,-0.08999999999999986,5.202,5.33,5.05,0.28000000000000025,-0.1900000000000004,5.2780000000000005,5.44,5.1,0.34000000000000075,-0.34000000000000075,57973,80953,41812,39141,39141
2016-06-19,5.168,5.23,4.99,0.2400000000000002,-0.17999999999999972,5.228,5.31,5.1,0.20999999999999996,-0.20999999999999996,5.098,5.17,4.95,0.21999999999999975,-0.21999999999999975,5.168,5.23,5.05,0.1800000000000006,-0.1800000000000006,66537,94317,44755,49562,-10994
2016-06-26,5.042,5.22,4.84,0.3799999999999999,0.21999999999999975,5.15,5.29,5.01,0.28000000000000025,0.28000000000000025,4.976,5.22,4.75,0.46999999999999975,0.46999999999999975,5.074,5.25,4.76,0.4900000000000002,0.4900000000000002,47585,85981,16463,69518,-69518
2016-07-03,5.2225,5.27,5.16,0.10999999999999943,-0.05999999999999961,5.2775,5.35,5.16,0.1899999999999995,-0.1299999999999999,5.115,5.18,5.01,0.16999999999999993,-0.15000000000000036,5.1875,5.28,5.07,0.20999999999999996,-0.20999999999999996,46510,65445,34612,30833,-19864
2016-07-10,5.0280000000000005,5.06,4.98,0.07999999999999918,-0.05999999999999961,5.1,5.18,5.02,0.16000000000000014,-0.07000000000000028,4.968,5.0,4.91,0.08999999999999986,-0.04999999999999982,5.006,5.05,4.96,0.08999999999999986,-0.040000000000000036,68199,90713,35778,54935,49788
2016-07-17,4.8,4.92,4.68,0.2400000000000002,-0.16999999999999993,4.85,4.98,4.76,0.22000000000000064,-0.22000000000000064,4.722,4.88,4.65,0.22999999999999954,-0.22999999999999954,4.758,4.94,4.66,0.28000000000000025,-0.27000000000000046,70328,102091,49841,52250,-27221
2016-07-24,4.75,4.89,4.66,0.22999999999999954,0.040000000000000036,4.856,4.93,4.76,0.16999999999999993,-0.10000000000000053,4.704,4.78,4.66,0.1200000000000001,0.040000000000000036,4.784,4.9,4.72,0.1800000000000006,-0.1200000000000001,44263,72720,22410,50310,-46348
2016-07-31,4.694,4.75,4.65,0.09999999999999964,-0.05999999999999961,4.774,4.83,4.72,0.11000000000000032,-0.04999999999999982,4.626,4.67,4.58,0.08999999999999986,0.010000000000000675,4.688,4.73,4.63,0.10000000000000053,0.08000000000000007,49254,74565,30918,43647,25962
2016-08-07,4.722,4.81,4.59,0.21999999999999975,-0.14000000000000057,4.76,4.89,4.61,0.27999999999999936,-0.15999999999999925,4.61,4.76,4.47,0.29000000000000004,-0.23000000000000043,4.654,4.78,4.5,0.28000000000000025,-0.23000000000000043,68320,126676,41480,85196,-72478
