Date,AMAG_stock_Open_average,AMAG_stock_Open_max,AMAG_stock_Open_min,AMAG_stock_Open_volatility,AMAG_stock_Open_change,AMAG_stock_High_average,AMAG_stock_High_max,AMAG_stock_High_min,AMAG_stock_High_volatility,AMAG_stock_High_change,AMAG_stock_Low_average,AMAG_stock_Low_max,AMAG_stock_Low_min,AMAG_stock_Low_volatility,AMAG_stock_Low_change,AMAG_stock_Close_average,AMAG_stock_Close_max,AMAG_stock_Close_min,AMAG_stock_Close_volatility,AMAG_stock_Close_change,AMAG_stock_Volume_average,AMAG_stock_Volume_max,AMAG_stock_Volume_min,AMAG_stock_Volume_volatility,AMAG_stock_Volume_change
2016-01-03,27.368,29.65,24.64,5.009999999999998,-5.009999999999998,27.658,29.65,25.01,4.639999999999997,-4.639999999999997,25.844,28.01,23.01,5.0,-5.0,26.163999999999998,28.58,23.13,5.449999999999999,-5.449999999999999,1154513,1422868,1005695,417173,417173
2016-01-10,23.168,23.66,22.57,1.0899999999999999,-0.6000000000000014,24.274,25.49,23.3,2.1899999999999977,-2.1899999999999977,22.16,22.62,21.72,0.9000000000000021,-0.8300000000000018,23.172,23.39,22.66,0.7300000000000004,-0.26000000000000156,1477789,2072434,1058170,1014264,-1014264
2016-01-17,23.255000000000003,23.88,21.94,1.9399999999999977,0.35999999999999943,24.4,25.12,23.77,1.3500000000000014,0.490000000000002,22.45,23.18,21.68,1.5,1.2100000000000009,23.4575,24.12,22.4,1.7200000000000024,1.7200000000000024,908800,1244043,677580,566463,-187922
2016-01-24,23.396,24.64,21.5,3.1400000000000006,-2.3999999999999986,23.998,25.13,22.79,2.34,-2.169999999999998,22.278,23.9,20.85,3.049999999999997,-2.6099999999999994,23.11,24.61,21.53,3.0799999999999983,-1.6999999999999993,1062260,1711213,665713,1045500,-44103
2016-01-31,23.07,23.91,22.79,1.120000000000001,1.1099999999999994,23.768,24.79,22.97,1.8200000000000003,1.0899999999999999,22.286,23.15,21.64,1.509999999999998,1.2799999999999976,23.346,24.08,22.72,1.3599999999999994,0.6499999999999986,893956,1166890,639126,527764,276895
2016-02-07,22.464,23.52,21.55,1.9699999999999989,-1.6999999999999993,22.982,24.0,21.74,2.2600000000000016,-1.8500000000000014,21.36,22.21,20.48,1.7300000000000004,-1.4299999999999997,22.142,23.13,21.4,1.7300000000000004,-1.370000000000001,1000274,1257606,844388,413218,388387
2016-02-14,23.735,25.0,21.69,3.3099999999999987,2.2699999999999996,24.5875,25.5,22.82,2.6799999999999997,2.3200000000000003,22.9775,23.89,21.27,2.620000000000001,2.620000000000001,23.9675,25.1,22.44,2.66,2.66,1320932,1870303,775052,1095251,-584909
2016-02-21,26.295,27.09,25.14,1.9499999999999993,1.5400000000000027,26.875,27.6,25.98,1.620000000000001,1.0500000000000007,25.835,27.03,24.51,2.5199999999999996,2.080000000000002,26.385,27.03,25.28,1.75,1.75,1276359,2558021,0,2558021,-636504
2016-02-28,25.788,27.12,24.96,2.16,-2.16,26.25,27.33,25.39,1.9399999999999977,-1.9399999999999977,24.946,25.87,24.31,1.5600000000000023,-1.5600000000000023,25.286,26.28,24.62,1.6600000000000001,-1.6600000000000001,2091420,4989545,1042169,3947376,-3900130
2016-03-06,24.86,25.92,24.11,1.8100000000000023,-0.6099999999999994,25.451999999999998,26.15,24.68,1.4699999999999989,-1.4699999999999989,23.894,24.63,23.25,1.379999999999999,-0.3299999999999983,24.802,25.92,24.11,1.8100000000000023,-1.3100000000000023,1030107,1446691,762928,683763,349290
