Date,ProShares UltraShort S&P500Etf_Open_average,ProShares UltraShort S&P500Etf_Open_max,ProShares UltraShort S&P500Etf_Open_min,ProShares UltraShort S&P500Etf_Open_volatility,ProShares UltraShort S&P500Etf_Open_change,ProShares UltraShort S&P500Etf_High_average,ProShares UltraShort S&P500Etf_High_max,ProShares UltraShort S&P500Etf_High_min,ProShares UltraShort S&P500Etf_High_volatility,ProShares UltraShort S&P500Etf_High_change,ProShares UltraShort S&P500Etf_Low_average,ProShares UltraShort S&P500Etf_Low_max,ProShares UltraShort S&P500Etf_Low_min,ProShares UltraShort S&P500Etf_Low_volatility,ProShares UltraShort S&P500Etf_Low_change,ProShares UltraShort S&P500Etf_Close_average,ProShares UltraShort S&P500Etf_Close_max,ProShares UltraShort S&P500Etf_Close_min,ProShares UltraShort S&P500Etf_Close_volatility,ProShares UltraShort S&P500Etf_Close_change
2016-01-03,86.92,86.92,86.92,0.0,0.0,90.08,90.08,90.08,0.0,0.0,86.22,86.22,86.22,0.0,0.0,89.84,89.84,89.84,0.0,0.0
2016-01-10,94.36,94.36,94.36,0.0,0.0,95.48,95.48,95.48,0.0,0.0,92.44,92.44,92.44,0.0,0.0,93.32,93.32,93.32,0.0,0.0
2016-01-17,91.36,91.36,91.36,0.0,0.0,92.24,92.24,92.24,0.0,0.0,90.32,90.32,90.32,0.0,0.0,90.64,90.64,90.64,0.0,0.0
2016-01-24,90.84,90.84,90.84,0.0,0.0,91.0,91.0,91.0,0.0,0.0,87.2,87.2,87.2,0.0,0.0,87.44,87.44,87.44,0.0,0.0
2016-01-31,89.72,89.72,89.72,0.0,0.0,93.24,93.24,93.24,0.0,0.0,89.64,89.64,89.64,0.0,0.0,92.6,92.6,92.6,0.0,0.0
2016-02-07,95.44,95.44,95.44,0.0,0.0,96.52,96.52,96.52,0.0,0.0,93.6,93.6,93.6,0.0,0.0,93.64,93.64,93.64,0.0,0.0
2016-02-14,89.16,89.16,89.16,0.0,0.0,89.76,89.76,89.76,0.0,0.0,88.16,88.16,88.16,0.0,0.0,88.32,88.32,88.32,0.0,0.0
2016-02-21,84.0,84.0,84.0,0.0,0.0,85.56,85.56,85.56,0.0,0.0,84.0,84.0,84.0,0.0,0.0,85.32,85.32,85.32,0.0,0.0
2016-02-28,81.16,81.16,81.16,0.0,0.0,81.88,81.88,81.88,0.0,0.0,80.0,80.0,80.0,0.0,0.0,80.84,80.84,80.84,0.0,0.0
2016-03-06,80.0,80.0,80.0,0.0,0.0,80.1,80.1,80.1,0.0,0.0,78.72,78.72,78.72,0.0,0.0,78.76,78.76,78.76,0.0,0.0
2016-03-13,76.84,76.84,76.84,0.0,0.0,77.16,77.16,77.16,0.0,0.0,76.4,76.4,76.4,0.0,0.0,76.68,76.68,76.68,0.0,0.0
2016-03-20,78.52,78.52,78.52,0.0,0.0,78.72,78.72,78.72,0.0,0.0,77.6,77.6,77.6,0.0,0.0,77.64,77.64,77.64,0.0,0.0
2016-03-27,76.68,76.68,76.68,0.0,0.0,76.93,76.93,76.93,0.0,0.0,74.64,74.64,74.64,0.0,0.0,74.72,74.72,74.72,0.0,0.0
2016-04-03,75.8,75.8,75.8,0.0,0.0,76.96,76.96,76.96,0.0,0.0,75.44,75.44,75.44,0.0,0.0,76.44,76.44,76.44,0.0,0.0
2016-04-10,73.88,73.88,73.88,0.0,0.0,74.32,74.32,74.32,0.0,0.0,73.76,73.76,73.76,0.0,0.0,74.04,74.04,74.04,0.0,0.0
2016-04-17,73.48,73.48,73.48,0.0,0.0,73.92,73.92,73.92,0.0,0.0,72.92,72.92,72.92,0.0,0.0,73.12,73.12,73.12,0.0,0.0
2016-04-24,74.76,74.76,74.76,0.0,0.0,75.96,75.96,75.96,0.0,0.0,74.44,74.44,74.44,0.0,0.0,74.88,74.88,74.88,0.0,0.0
2016-05-01,76.68,76.68,76.68,0.0,0.0,76.8,76.8,76.8,0.0,0.0,75.4,75.4,75.4,0.0,0.0,75.44,75.44,75.44,0.0,0.0
2016-05-08,75.04,75.04,75.04,0.0,0.0,76.32,76.32,76.32,0.0,0.0,74.56,74.56,74.56,0.0,0.0,76.08,76.08,76.08,0.0,0.0
2016-05-15,75.92,75.92,75.92,0.0,0.0,75.96,75.96,75.96,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.48,75.48,75.48,0.0,0.0
2016-05-22,72.52,72.52,72.52,0.0,0.0,72.56,72.56,72.56,0.0,0.0,72.04,72.04,72.04,0.0,0.0,72.04,72.04,72.04,0.0,0.0
2016-05-29,72.04,72.04,72.04,0.0,0.0,72.96,72.96,72.96,0.0,0.0,71.72,71.72,71.72,0.0,0.0,72.0,72.0,72.0,0.0,0.0
2016-06-05,71.84,71.84,71.84,0.0,0.0,72.56,72.56,72.56,0.0,0.0,71.56,71.56,71.56,0.0,0.0,72.08,72.08,72.08,0.0,0.0
2016-06-12,73.36,73.36,73.36,0.0,0.0,74.36,74.36,74.36,0.0,0.0,73.32,73.32,73.32,0.0,0.0,73.8,73.8,73.8,0.0,0.0
2016-06-19,75.52,75.52,75.52,0.0,0.0,76.2,76.2,76.2,0.0,0.0,73.4,73.4,73.4,0.0,0.0,75.8,75.8,75.8,0.0,0.0
2016-06-26,71.28,71.28,71.28,0.0,0.0,71.32,71.32,71.32,0.0,0.0,70.52,70.52,70.52,0.0,0.0,70.92,70.92,70.92,0.0,0.0
2016-07-03,70.12,70.12,70.12,0.0,0.0,70.28,70.28,70.28,0.0,0.0,68.84,68.84,68.84,0.0,0.0,69.08,69.08,69.08,0.0,0.0
