Date,IHT_stock_Open_average,IHT_stock_Open_max,IHT_stock_Open_min,IHT_stock_Open_volatility,IHT_stock_Open_change,IHT_stock_High_average,IHT_stock_High_max,IHT_stock_High_min,IHT_stock_High_volatility,IHT_stock_High_change,IHT_stock_Low_average,IHT_stock_Low_max,IHT_stock_Low_min,IHT_stock_Low_volatility,IHT_stock_Low_change,IHT_stock_Close_average,IHT_stock_Close_max,IHT_stock_Close_min,IHT_stock_Close_volatility,IHT_stock_Close_change,IHT_stock_Volume_average,IHT_stock_Volume_max,IHT_stock_Volume_min,IHT_stock_Volume_volatility,IHT_stock_Volume_change
2016-01-03,2.283333333333333,2.45,2.15,0.30000000000000027,0.30000000000000027,2.336666666666667,2.45,2.25,0.20000000000000018,0.14000000000000012,2.2666666666666666,2.4,2.15,0.25,0.25,2.32,2.4,2.25,0.1499999999999999,0.08999999999999986,2242,5682,300,5382,4937
2016-01-10,2.466666666666667,2.55,2.4,0.1499999999999999,0.1499999999999999,2.56,2.65,2.48,0.16999999999999993,0.06999999999999984,2.4366666666666665,2.46,2.4,0.06000000000000005,0.06000000000000005,2.5266666666666664,2.57,2.46,0.10999999999999988,0.08999999999999986,1423,2085,400,1685,1384
2016-01-17,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,139,139,139,0,0
2016-01-24,2.41,2.41,2.41,0.0,0.0,2.41,2.41,2.41,0.0,0.0,2.13,2.13,2.13,0.0,0.0,2.22,2.22,2.22,0.0,0.0,1251,1251,1251,0,0
2016-01-31,2.175,2.19,2.16,0.029999999999999805,0.029999999999999805,2.18,2.2,2.16,0.040000000000000036,0.040000000000000036,2.175,2.19,2.16,0.029999999999999805,0.029999999999999805,2.18,2.2,2.16,0.040000000000000036,0.040000000000000036,164,209,120,89,89
2016-02-07,2.26,2.26,2.26,0.0,0.0,2.37,2.37,2.37,0.0,0.0,2.26,2.26,2.26,0.0,0.0,2.37,2.37,2.37,0.0,0.0,200,200,200,0,0
2016-02-14,2.42,2.42,2.42,0.0,0.0,2.42,2.42,2.42,0.0,0.0,2.34,2.34,2.34,0.0,0.0,2.34,2.34,2.34,0.0,0.0,203,203,203,0,0
2016-02-21,2.44,2.44,2.44,0.0,0.0,2.44,2.44,2.44,0.0,0.0,2.44,2.44,2.44,0.0,0.0,2.44,2.44,2.44,0.0,0.0,103,103,103,0,0
2016-02-28,2.45,2.45,2.45,0.0,0.0,2.45,2.45,2.45,0.0,0.0,2.45,2.45,2.45,0.0,0.0,2.45,2.45,2.45,0.0,0.0,283,283,283,0,0
2016-03-06,2.25,2.25,2.25,0.0,0.0,2.25,2.25,2.25,0.0,0.0,2.25,2.25,2.25,0.0,0.0,2.25,2.25,2.25,0.0,0.0,1000,1000,1000,0,0
2016-03-13,2.16,2.16,2.16,0.0,0.0,2.16,2.16,2.16,0.0,0.0,2.15,2.15,2.15,0.0,0.0,2.15,2.15,2.15,0.0,0.0,200,200,200,0,0
2016-03-20,2.12,2.12,2.12,0.0,0.0,2.15,2.15,2.15,0.0,0.0,2.12,2.12,2.12,0.0,0.0,2.12,2.12,2.12,0.0,0.0,1374,1374,1374,0,0
