Date,Vanguard Mid-Cap Value_etf_Open_average,Vanguard Mid-Cap Value_etf_Open_max,Vanguard Mid-Cap Value_etf_Open_min,Vanguard Mid-Cap Value_etf_Open_volatility,Vanguard Mid-Cap Value_etf_Open_change,Vanguard Mid-Cap Value_etf_High_average,Vanguard Mid-Cap Value_etf_High_max,Vanguard Mid-Cap Value_etf_High_min,Vanguard Mid-Cap Value_etf_High_volatility,Vanguard Mid-Cap Value_etf_High_change,Vanguard Mid-Cap Value_etf_Low_average,Vanguard Mid-Cap Value_etf_Low_max,Vanguard Mid-Cap Value_etf_Low_min,Vanguard Mid-Cap Value_etf_Low_volatility,Vanguard Mid-Cap Value_etf_Low_change,Vanguard Mid-Cap Value_etf_Close_average,Vanguard Mid-Cap Value_etf_Close_max,Vanguard Mid-Cap Value_etf_Close_min,Vanguard Mid-Cap Value_etf_Close_volatility,Vanguard Mid-Cap Value_etf_Close_change
2016-01-03,82.16,82.16,82.16,0.0,0.0,82.16,82.16,82.16,0.0,0.0,80.36,80.36,80.36,0.0,0.0,80.43,80.43,80.43,0.0,0.0
2016-01-10,76.89,76.89,76.89,0.0,0.0,77.98,77.98,77.98,0.0,0.0,76.5,76.5,76.5,0.0,0.0,77.73,77.73,77.73,0.0,0.0
2016-01-17,78.05,78.05,78.05,0.0,0.0,78.55,78.55,78.55,0.0,0.0,77.6,77.6,77.6,0.0,0.0,78.23,78.23,78.23,0.0,0.0
2016-01-24,78.27,78.27,78.27,0.0,0.0,80.05,80.05,80.05,0.0,0.0,78.25,78.25,78.25,0.0,0.0,80.05,80.05,80.05,0.0,0.0
2016-01-31,79.38,79.38,79.38,0.0,0.0,79.64,79.64,79.64,0.0,0.0,78.33,78.33,78.33,0.0,0.0,78.44,78.44,78.44,0.0,0.0
2016-02-07,75.97,75.97,75.97,0.0,0.0,77.09,77.09,77.09,0.0,0.0,75.73,75.73,75.73,0.0,0.0,77.07,77.07,77.07,0.0,0.0
2016-02-14,79.44,79.44,79.44,0.0,0.0,79.79,79.79,79.79,0.0,0.0,78.92,78.92,78.92,0.0,0.0,79.72,79.72,79.72,0.0,0.0
2016-02-21,82.07,82.07,82.07,0.0,0.0,82.22,82.22,82.22,0.0,0.0,81.55,81.55,81.55,0.0,0.0,81.71,81.71,81.71,0.0,0.0
2016-02-28,84.48,84.48,84.48,0.0,0.0,85.12,85.12,85.12,0.0,0.0,84.11,84.11,84.11,0.0,0.0,84.73,84.73,84.73,0.0,0.0
2016-03-06,85.13,85.13,85.13,0.0,0.0,86.03,86.03,86.03,0.0,0.0,85.13,85.13,85.13,0.0,0.0,86.01,86.01,86.01,0.0,0.0
2016-03-13,86.9,86.9,86.9,0.0,0.0,87.22,87.22,87.22,0.0,0.0,86.61,86.61,86.61,0.0,0.0,86.82,86.82,86.82,0.0,0.0
2016-03-20,85.25,85.25,85.25,0.0,0.0,85.74,85.74,85.74,0.0,0.0,85.04,85.04,85.04,0.0,0.0,85.74,85.74,85.74,0.0,0.0
2016-03-27,86.5,86.5,86.5,0.0,0.0,87.45,87.45,87.45,0.0,0.0,86.16,86.16,86.16,0.0,0.0,87.38,87.38,87.38,0.0,0.0
2016-04-03,86.11,86.11,86.11,0.0,0.0,86.37,86.37,86.37,0.0,0.0,85.47,85.47,85.47,0.0,0.0,85.69,85.69,85.69,0.0,0.0
2016-04-10,87.2,87.2,87.2,0.0,0.0,87.46,87.46,87.46,0.0,0.0,87.11,87.11,87.11,0.0,0.0,87.43,87.43,87.43,0.0,0.0
2016-04-17,88.08,88.08,88.08,0.0,0.0,88.63,88.63,88.63,0.0,0.0,88.03,88.03,88.03,0.0,0.0,88.47,88.47,88.47,0.0,0.0
2016-04-24,88.17,88.17,88.17,0.0,0.0,88.28,88.28,88.28,0.0,0.0,87.27,87.27,87.27,0.0,0.0,87.98,87.98,87.98,0.0,0.0
2016-05-01,86.26,86.26,86.26,0.0,0.0,86.91,86.91,86.91,0.0,0.0,86.18,86.18,86.18,0.0,0.0,86.91,86.91,86.91,0.0,0.0
2016-05-08,86.89,86.89,86.89,0.0,0.0,87.29,87.29,87.29,0.0,0.0,86.29,86.29,86.29,0.0,0.0,86.51,86.51,86.51,0.0,0.0
2016-05-15,86.7,86.7,86.7,0.0,0.0,87.13,87.13,87.13,0.0,0.0,86.7,86.7,86.7,0.0,0.0,87.08,87.08,87.08,0.0,0.0
2016-05-22,88.68,88.68,88.68,0.0,0.0,89.09,89.09,89.09,0.0,0.0,88.68,88.68,88.68,0.0,0.0,89.06,89.06,89.06,0.0,0.0
