Date,ProShares UltraPro QQQ_etf_Open_average,ProShares UltraPro QQQ_etf_Open_max,ProShares UltraPro QQQ_etf_Open_min,ProShares UltraPro QQQ_etf_Open_volatility,ProShares UltraPro QQQ_etf_Open_change,ProShares UltraPro QQQ_etf_High_average,ProShares UltraPro QQQ_etf_High_max,ProShares UltraPro QQQ_etf_High_min,ProShares UltraPro QQQ_etf_High_volatility,ProShares UltraPro QQQ_etf_High_change,ProShares UltraPro QQQ_etf_Low_average,ProShares UltraPro QQQ_etf_Low_max,ProShares UltraPro QQQ_etf_Low_min,ProShares UltraPro QQQ_etf_Low_volatility,ProShares UltraPro QQQ_etf_Low_change,ProShares UltraPro QQQ_etf_Close_average,ProShares UltraPro QQQ_etf_Close_max,ProShares UltraPro QQQ_etf_Close_min,ProShares UltraPro QQQ_etf_Close_volatility,ProShares UltraPro QQQ_etf_Close_change
2016-01-03,15.94,15.94,15.94,0.0,0.0,16.23,16.23,16.23,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.23,15.23,15.23,0.0,0.0
2016-01-10,13.63,13.63,13.63,0.0,0.0,14.22,14.22,14.22,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.75,13.75,13.75,0.0,0.0
2016-01-17,14.54,14.54,14.54,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.92,14.92,14.92,0.0,0.0
2016-01-24,14.13,14.13,14.13,0.0,0.0,15.01,15.01,15.01,0.0,0.0,14.09,14.09,14.09,0.0,0.0,15.01,15.01,15.01,0.0,0.0
2016-01-31,13.78,13.78,13.78,0.0,0.0,13.8,13.8,13.8,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.48,12.48,12.48,0.0,0.0
2016-02-07,12.26,12.26,12.26,0.0,0.0,12.45,12.45,12.45,0.0,0.0,11.94,11.94,11.94,0.0,0.0,12.39,12.39,12.39,0.0,0.0
2016-02-14,13.5,13.5,13.5,0.0,0.0,13.91,13.91,13.91,0.0,0.0,13.37,13.37,13.37,0.0,0.0,13.79,13.79,13.79,0.0,0.0
2016-02-21,86.96,86.96,86.96,0.0,0.0,86.98,86.98,86.98,0.0,0.0,86.96,86.96,86.96,0.0,0.0,86.98,86.98,86.98,0.0,0.0
2016-02-28,15.45,15.45,15.45,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2016-03-06,15.44,15.44,15.44,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.73,15.73,15.73,0.0,0.0
2016-03-13,16.3,16.3,16.3,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.02,16.02,16.02,0.0,0.0,16.26,16.26,16.26,0.0,0.0
2016-03-20,15.94,15.94,15.94,0.0,0.0,16.23,16.23,16.23,0.0,0.0,15.88,15.88,15.88,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2016-03-27,16.81,16.81,16.81,0.0,0.0,17.65,17.65,17.65,0.0,0.0,16.71,16.71,16.71,0.0,0.0,17.63,17.63,17.63,0.0,0.0
2016-04-03,17.3,17.3,17.3,0.0,0.0,17.42,17.42,17.42,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2016-04-10,17.79,17.79,17.79,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.71,17.71,17.71,0.0,0.0
2016-04-17,17.03,17.03,17.03,0.0,0.0,17.26,17.26,17.26,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.91,16.91,16.91,0.0,0.0
2016-04-24,15.63,15.63,15.63,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2016-05-01,14.87,14.87,14.87,0.0,0.0,15.34,15.34,15.34,0.0,0.0,14.82,14.82,14.82,0.0,0.0,15.33,15.33,15.33,0.0,0.0
2016-05-08,15.44,15.44,15.44,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.26,15.26,15.26,0.0,0.0
2016-05-15,15.36,15.36,15.36,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.68,15.68,15.68,0.0,0.0
2016-05-22,17.08,17.08,17.08,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.31,17.31,17.31,0.0,0.0
2016-05-29,17.42,17.42,17.42,0.0,0.0,17.45,17.45,17.45,0.0,0.0,16.94,16.94,16.94,0.0,0.0,17.28,17.28,17.28,0.0,0.0
2016-06-05,16.88,16.88,16.88,0.0,0.0,16.96,16.96,16.96,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.76,16.76,16.76,0.0,0.0
2016-06-12,16.24,16.24,16.24,0.0,0.0,16.24,16.24,16.24,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.75,15.75,15.75,0.0,0.0
2016-06-19,15.0,15.0,15.0,0.0,0.0,15.72,15.72,15.72,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.71,14.71,14.71,0.0,0.0
2016-06-26,16.02,16.02,16.02,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.01,16.01,16.01,0.0,0.0,16.27,16.27,16.27,0.0,0.0
2016-07-03,16.76,16.76,16.76,0.0,0.0,17.32,17.32,17.32,0.0,0.0,16.72,16.72,16.72,0.0,0.0,17.28,17.28,17.28,0.0,0.0
2016-07-10,18.2,18.2,18.2,0.0,0.0,18.23,18.23,18.23,0.0,0.0,17.87,17.87,17.87,0.0,0.0,17.98,17.98,17.98,0.0,0.0
2016-07-17,18.71,18.71,18.71,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2016-07-24,19.68,19.68,19.68,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.67,19.67,19.67,0.0,0.0
2016-07-31,20.21,20.21,20.21,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.46,20.46,20.46,0.0,0.0
2016-08-07,20.52,20.52,20.52,0.0,0.0,20.68,20.68,20.68,0.0,0.0,20.46,20.46,20.46,0.0,0.0,20.68,20.68,20.68,0.0,0.0
2016-08-14,20.61,20.61,20.61,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.69,20.69,20.69,0.0,0.0
2016-08-21,20.37,20.37,20.37,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.07,20.07,20.07,0.0,0.0,20.44,20.44,20.44,0.0,0.0
2016-08-28,20.71,20.71,20.71,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.37,20.37,20.37,0.0,0.0,20.58,20.58,20.58,0.0,0.0
2016-09-04,20.14,20.14,20.14,0.0,0.0,20.27,20.27,20.27,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2016-09-11,20.7,20.7,20.7,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.73,20.73,20.73,0.0,0.0
2016-09-18,21.6,21.6,21.6,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.18,21.18,21.18,0.0,0.0,21.28,21.28,21.28,0.0,0.0
2016-09-25,21.19,21.19,21.19,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2016-10-02,21.52,21.52,21.52,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.31,21.31,21.31,0.0,0.0
2016-10-09,20.78,20.78,20.78,0.0,0.0,21.05,21.05,21.05,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.55,20.55,20.55,0.0,0.0
