Date,iShares Emerging Markets Local Currency BondEtf_Open_average,iShares Emerging Markets Local Currency BondEtf_Open_max,iShares Emerging Markets Local Currency BondEtf_Open_min,iShares Emerging Markets Local Currency BondEtf_Open_volatility,iShares Emerging Markets Local Currency BondEtf_Open_change,iShares Emerging Markets Local Currency BondEtf_High_average,iShares Emerging Markets Local Currency BondEtf_High_max,iShares Emerging Markets Local Currency BondEtf_High_min,iShares Emerging Markets Local Currency BondEtf_High_volatility,iShares Emerging Markets Local Currency BondEtf_High_change,iShares Emerging Markets Local Currency BondEtf_Low_average,iShares Emerging Markets Local Currency BondEtf_Low_max,iShares Emerging Markets Local Currency BondEtf_Low_min,iShares Emerging Markets Local Currency BondEtf_Low_volatility,iShares Emerging Markets Local Currency BondEtf_Low_change,iShares Emerging Markets Local Currency BondEtf_Close_average,iShares Emerging Markets Local Currency BondEtf_Close_max,iShares Emerging Markets Local Currency BondEtf_Close_min,iShares Emerging Markets Local Currency BondEtf_Close_volatility,iShares Emerging Markets Local Currency BondEtf_Close_change
2016-01-03,39.46,39.46,39.46,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2016-01-10,38.91,38.91,38.91,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2016-01-17,38.95,38.95,38.95,0.0,0.0,39.24,39.24,39.24,0.0,0.0,38.9,38.9,38.9,0.0,0.0,39.13,39.13,39.13,0.0,0.0
2016-01-24,39.59,39.59,39.59,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.74,39.74,39.74,0.0,0.0
2016-01-31,40.11,40.11,40.11,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2016-02-07,39.9,39.9,39.9,0.0,0.0,40.18,40.18,40.18,0.0,0.0,39.88,39.88,39.88,0.0,0.0,40.16,40.16,40.16,0.0,0.0
2016-02-14,39.77,39.77,39.77,0.0,0.0,40.06,40.06,40.06,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2016-02-21,40.1,40.1,40.1,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2016-02-28,41.04,41.04,41.04,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2016-03-06,41.8,41.8,41.8,0.0,0.0,42.07,42.07,42.07,0.0,0.0,41.8,41.8,41.8,0.0,0.0,42.01,42.01,42.01,0.0,0.0
2016-03-13,43.09,43.09,43.09,0.0,0.0,43.11,43.11,43.11,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2016-03-20,42.32,42.32,42.32,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2016-03-27,43.25,43.25,43.25,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.48,43.48,43.48,0.0,0.0
