Date,Guggenheim Solar_etf_Open_average,Guggenheim Solar_etf_Open_max,Guggenheim Solar_etf_Open_min,Guggenheim Solar_etf_Open_volatility,Guggenheim Solar_etf_Open_change,Guggenheim Solar_etf_High_average,Guggenheim Solar_etf_High_max,Guggenheim Solar_etf_High_min,Guggenheim Solar_etf_High_volatility,Guggenheim Solar_etf_High_change,Guggenheim Solar_etf_Low_average,Guggenheim Solar_etf_Low_max,Guggenheim Solar_etf_Low_min,Guggenheim Solar_etf_Low_volatility,Guggenheim Solar_etf_Low_change,Guggenheim Solar_etf_Close_average,Guggenheim Solar_etf_Close_max,Guggenheim Solar_etf_Close_min,Guggenheim Solar_etf_Close_volatility,Guggenheim Solar_etf_Close_change
2016-01-03,27.98,27.98,27.98,0.0,0.0,28.06,28.06,28.06,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2016-01-10,23.68,23.68,23.68,0.0,0.0,23.96,23.96,23.96,0.0,0.0,22.78,22.78,22.78,0.0,0.0,23.52,23.52,23.52,0.0,0.0
2016-01-17,24.17,24.17,24.17,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2016-01-24,24.77,24.77,24.77,0.0,0.0,25.33,25.33,25.33,0.0,0.0,24.76,24.76,24.76,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2016-01-31,24.51,24.51,24.51,0.0,0.0,24.51,24.51,24.51,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2016-02-07,20.72,20.72,20.72,0.0,0.0,21.0,21.0,21.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.43,20.43,20.43,0.0,0.0
2016-02-14,22.15,22.15,22.15,0.0,0.0,22.15,22.15,22.15,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.87,21.87,21.87,0.0,0.0
2016-02-21,23.27,23.27,23.27,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2016-02-28,24.12,24.12,24.12,0.0,0.0,24.5,24.5,24.5,0.0,0.0,23.91,23.91,23.91,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2016-03-06,24.41,24.41,24.41,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.55,24.55,24.55,0.0,0.0
2016-03-13,24.86,24.86,24.86,0.0,0.0,25.2,25.2,25.2,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.4,24.4,24.4,0.0,0.0
