Date,ProShares Short FTSE China 50_etf_Open_average,ProShares Short FTSE China 50_etf_Open_max,ProShares Short FTSE China 50_etf_Open_min,ProShares Short FTSE China 50_etf_Open_volatility,ProShares Short FTSE China 50_etf_Open_change,ProShares Short FTSE China 50_etf_High_average,ProShares Short FTSE China 50_etf_High_max,ProShares Short FTSE China 50_etf_High_min,ProShares Short FTSE China 50_etf_High_volatility,ProShares Short FTSE China 50_etf_High_change,ProShares Short FTSE China 50_etf_Low_average,ProShares Short FTSE China 50_etf_Low_max,ProShares Short FTSE China 50_etf_Low_min,ProShares Short FTSE China 50_etf_Low_volatility,ProShares Short FTSE China 50_etf_Low_change,ProShares Short FTSE China 50_etf_Close_average,ProShares Short FTSE China 50_etf_Close_max,ProShares Short FTSE China 50_etf_Close_min,ProShares Short FTSE China 50_etf_Close_volatility,ProShares Short FTSE China 50_etf_Close_change
2016-01-03,31.76,31.76,31.76,0.0,0.0,32.49,32.49,32.49,0.0,0.0,31.76,31.76,31.76,0.0,0.0,32.47,32.47,32.47,0.0,0.0
2016-01-10,34.39,34.39,34.39,0.0,0.0,34.74,34.74,34.74,0.0,0.0,32.6,32.6,32.6,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2016-01-17,33.25,33.25,33.25,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2016-01-24,33.0,33.0,33.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2016-01-31,33.65,33.65,33.65,0.0,0.0,34.25,34.25,34.25,0.0,0.0,33.57,33.57,33.57,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2016-02-07,35.35,35.35,35.35,0.0,0.0,35.55,35.55,35.55,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2016-02-14,33.25,33.25,33.25,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2016-02-21,32.76,32.76,32.76,0.0,0.0,33.18,33.18,33.18,0.0,0.0,32.76,32.76,32.76,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2016-02-28,31.16,31.16,31.16,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2016-03-06,30.91,30.91,30.91,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2016-03-13,29.75,29.75,29.75,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2016-03-20,30.91,30.91,30.91,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2016-03-27,30.26,30.26,30.26,0.0,0.0,30.37,30.37,30.37,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0
2016-04-03,30.38,30.38,30.38,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2016-04-10,28.76,28.76,28.76,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2016-04-17,29.02,29.02,29.02,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.76,28.76,28.76,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2016-04-24,29.65,29.65,29.65,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2016-05-01,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2016-05-08,31.61,31.61,31.61,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2016-05-15,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2016-05-22,30.19,30.19,30.19,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2016-05-29,29.47,29.47,29.47,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2016-06-05,29.37,29.37,29.37,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.39,29.39,29.39,0.0,0.0
2016-06-12,30.07,30.07,30.07,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2016-06-19,29.77,29.77,29.77,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2016-06-26,28.24,28.24,28.24,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2016-07-03,28.91,28.91,28.91,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2016-07-10,27.37,27.37,27.37,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2016-07-17,27.3,27.3,27.3,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2016-07-24,27.57,27.57,27.57,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.36,27.36,27.36,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2016-07-31,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,26.96,26.96,26.96,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2016-08-07,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2016-08-14,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2016-08-21,25.81,25.81,25.81,0.0,0.0,26.44,26.44,26.44,0.0,0.0,25.81,25.81,25.81,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2016-08-28,25.4,25.4,25.4,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2016-09-04,24.81,24.81,24.81,0.0,0.0,25.26,25.26,25.26,0.0,0.0,24.81,24.81,24.81,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2016-09-11,25.58,25.58,25.58,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2016-09-18,25.07,25.07,25.07,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2016-09-25,25.44,25.44,25.44,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2016-10-02,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2016-10-09,25.45,25.45,25.45,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2016-10-16,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2016-10-23,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2016-10-30,26.48,26.48,26.48,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2016-11-06,26.83,26.83,26.83,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2016-11-13,26.64,26.64,26.64,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.63,26.63,26.63,0.0,0.0
2016-11-20,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2016-11-27,25.58,25.58,25.58,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2016-12-04,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2016-12-11,26.73,26.73,26.73,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2016-12-18,27.54,27.54,27.54,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2016-12-25,26.87,26.87,26.87,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2017-01-01,26.2,26.2,26.2,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2017-01-08,25.54,25.54,25.54,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2017-01-15,25.79,25.79,25.79,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2017-01-22,25.32,25.32,25.32,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2017-01-29,25.49,25.49,25.49,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2017-02-05,24.56,24.56,24.56,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2017-02-12,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2017-02-19,24.15,24.15,24.15,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2017-02-26,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2017-03-05,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.74,24.74,24.74,0.0,0.0
2017-03-12,23.58,23.58,23.58,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2017-03-19,23.69,23.69,23.69,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.59,23.59,23.59,0.0,0.0
2017-03-26,24.11,24.11,24.11,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.09,24.09,24.09,0.0,0.0
