Date,iShares Global FinancialsEtf_Open_average,iShares Global FinancialsEtf_Open_max,iShares Global FinancialsEtf_Open_min,iShares Global FinancialsEtf_Open_volatility,iShares Global FinancialsEtf_Open_change,iShares Global FinancialsEtf_High_average,iShares Global FinancialsEtf_High_max,iShares Global FinancialsEtf_High_min,iShares Global FinancialsEtf_High_volatility,iShares Global FinancialsEtf_High_change,iShares Global FinancialsEtf_Low_average,iShares Global FinancialsEtf_Low_max,iShares Global FinancialsEtf_Low_min,iShares Global FinancialsEtf_Low_volatility,iShares Global FinancialsEtf_Low_change,iShares Global FinancialsEtf_Close_average,iShares Global FinancialsEtf_Close_max,iShares Global FinancialsEtf_Close_min,iShares Global FinancialsEtf_Close_volatility,iShares Global FinancialsEtf_Close_change
2016-01-03,49.72,49.72,49.72,0.0,0.0,49.75,49.75,49.75,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2016-01-10,46.89,46.89,46.89,0.0,0.0,47.22,47.22,47.22,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2016-01-17,46.64,46.64,46.64,0.0,0.0,46.97,46.97,46.97,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.93,46.93,46.93,0.0,0.0
2016-01-24,46.8,46.8,46.8,0.0,0.0,47.68,47.68,47.68,0.0,0.0,46.77,46.77,46.77,0.0,0.0,47.64,47.64,47.64,0.0,0.0
2016-01-31,46.32,46.32,46.32,0.0,0.0,46.32,46.32,46.32,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.65,45.65,45.65,0.0,0.0
2016-02-07,43.34,43.34,43.34,0.0,0.0,44.23,44.23,44.23,0.0,0.0,43.27,43.27,43.27,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2016-02-14,45.2,45.2,45.2,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.08,45.08,45.08,0.0,0.0,45.52,45.52,45.52,0.0,0.0
2016-02-21,46.03,46.03,46.03,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.84,45.84,45.84,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2016-02-28,48.59,48.59,48.59,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2016-03-06,49.15,49.15,49.15,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2016-03-13,50.15,50.15,50.15,0.0,0.0,50.36,50.36,50.36,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2016-03-20,48.62,48.62,48.62,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2016-03-27,48.57,48.57,48.57,0.0,0.0,49.25,49.25,49.25,0.0,0.0,48.49,48.49,48.49,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2016-04-03,47.99,47.99,47.99,0.0,0.0,48.3,48.3,48.3,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2016-04-10,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2016-04-17,51.52,51.52,51.52,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2016-04-24,51.17,51.17,51.17,0.0,0.0,51.17,51.17,51.17,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2016-05-01,49.38,49.38,49.38,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2016-05-08,49.65,49.65,49.65,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2016-05-15,50.19,50.19,50.19,0.0,0.0,50.22,50.22,50.22,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2016-05-22,51.48,51.48,51.48,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2016-05-29,51.21,51.21,51.21,0.0,0.0,51.21,51.21,51.21,0.0,0.0,50.56,50.56,50.56,0.0,0.0,51.14,51.14,51.14,0.0,0.0
2016-06-05,50.27,50.27,50.27,0.0,0.0,50.27,50.27,50.27,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2016-06-12,48.92,48.92,48.92,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.77,48.77,48.77,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2016-06-19,46.98,46.98,46.98,0.0,0.0,47.86,47.86,47.86,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.65,46.65,46.65,0.0,0.0
2016-06-26,47.81,47.81,47.81,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.81,47.81,47.81,0.0,0.0
2016-07-03,47.01,47.01,47.01,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2016-07-10,49.51,49.51,49.51,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2016-07-17,49.4,49.4,49.4,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2016-07-24,49.76,49.76,49.76,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2016-07-31,49.59,49.59,49.59,0.0,0.0,50.17,50.17,50.17,0.0,0.0,49.59,49.59,49.59,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2016-08-07,50.77,50.77,50.77,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2016-08-14,50.53,50.53,50.53,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2016-08-21,51.18,51.18,51.18,0.0,0.0,51.5,51.5,51.5,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2016-08-28,52.24,52.24,52.24,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.44,52.44,52.44,0.0,0.0
2016-09-04,52.23,52.23,52.23,0.0,0.0,52.28,52.28,52.28,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2016-09-11,50.63,50.63,50.63,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2016-09-18,51.64,51.64,51.64,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2016-09-25,50.57,50.57,50.57,0.0,0.0,51.34,51.34,51.34,0.0,0.0,50.57,50.57,50.57,0.0,0.0,51.08,51.08,51.08,0.0,0.0
2016-10-02,52.03,52.03,52.03,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.93,51.93,51.93,0.0,0.0
2016-10-09,51.41,51.41,51.41,0.0,0.0,51.68,51.68,51.68,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2016-10-16,51.75,51.75,51.75,0.0,0.0,52.12,52.12,52.12,0.0,0.0,51.69,51.69,51.69,0.0,0.0,52.12,52.12,52.12,0.0,0.0
2016-10-23,52.73,52.73,52.73,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2016-10-30,51.44,51.44,51.44,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.28,51.28,51.28,0.0,0.0
2016-11-06,54.81,54.81,54.81,0.0,0.0,55.16,55.16,55.16,0.0,0.0,54.54,54.54,54.54,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2016-11-13,55.72,55.72,55.72,0.0,0.0,55.72,55.72,55.72,0.0,0.0,55.49,55.49,55.49,0.0,0.0,55.59,55.59,55.59,0.0,0.0
2016-11-20,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0,56.05,56.05,56.05,0.0,0.0,56.22,56.22,56.22,0.0,0.0
2016-11-27,56.67,56.67,56.67,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.62,56.62,56.62,0.0,0.0
2016-12-04,59.26,59.26,59.26,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.07,59.07,59.07,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2016-12-11,59.03,59.03,59.03,0.0,0.0,59.03,59.03,59.03,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.59,58.59,58.59,0.0,0.0
2016-12-18,58.16,58.16,58.16,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.22,58.22,58.22,0.0,0.0
2016-12-25,57.83,57.83,57.83,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.78,57.78,57.78,0.0,0.0
2017-01-01,59.18,59.18,59.18,0.0,0.0,59.32,59.32,59.32,0.0,0.0,59.11,59.11,59.11,0.0,0.0,59.21,59.21,59.21,0.0,0.0
2017-01-08,59.21,59.21,59.21,0.0,0.0,59.62,59.62,59.62,0.0,0.0,59.14,59.14,59.14,0.0,0.0,59.25,59.25,59.25,0.0,0.0
2017-01-15,58.48,58.48,58.48,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.56,58.56,58.56,0.0,0.0
2017-01-22,60.03,60.03,60.03,0.0,0.0,60.03,60.03,60.03,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.83,59.83,59.83,0.0,0.0
2017-01-29,59.74,59.74,59.74,0.0,0.0,60.08,60.08,60.08,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.96,59.96,59.96,0.0,0.0
2017-02-05,59.84,59.84,59.84,0.0,0.0,60.07,60.07,60.07,0.0,0.0,59.76,59.76,59.76,0.0,0.0,59.89,59.89,59.89,0.0,0.0
2017-02-12,60.99,60.99,60.99,0.0,0.0,61.24,61.24,61.24,0.0,0.0,60.8,60.8,60.8,0.0,0.0,61.24,61.24,61.24,0.0,0.0
2017-02-19,60.76,60.76,60.76,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.56,60.56,60.56,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2017-02-26,61.49,61.49,61.49,0.0,0.0,61.87,61.87,61.87,0.0,0.0,61.49,61.49,61.49,0.0,0.0,61.83,61.83,61.83,0.0,0.0
2017-03-05,61.99,61.99,61.99,0.0,0.0,61.99,61.99,61.99,0.0,0.0,61.48,61.48,61.48,0.0,0.0,61.82,61.82,61.82,0.0,0.0
2017-03-12,62.46,62.46,62.46,0.0,0.0,62.46,62.46,62.46,0.0,0.0,61.81,61.81,61.81,0.0,0.0,61.85,61.85,61.85,0.0,0.0
2017-03-19,60.6,60.6,60.6,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.21,60.21,60.21,0.0,0.0,60.49,60.49,60.49,0.0,0.0
2017-03-26,61.02,61.02,61.02,0.0,0.0,61.1,61.1,61.1,0.0,0.0,60.9,60.9,60.9,0.0,0.0,60.9,60.9,60.9,0.0,0.0
2017-04-02,60.07,60.07,60.07,0.0,0.0,60.2,60.2,60.2,0.0,0.0,59.96,59.96,59.96,0.0,0.0,60.04,60.04,60.04,0.0,0.0
