Date,Direxion Daily Financial Bull 3X Shares_etf_Open_average,Direxion Daily Financial Bull 3X Shares_etf_Open_max,Direxion Daily Financial Bull 3X Shares_etf_Open_min,Direxion Daily Financial Bull 3X Shares_etf_Open_volatility,Direxion Daily Financial Bull 3X Shares_etf_Open_change,Direxion Daily Financial Bull 3X Shares_etf_High_average,Direxion Daily Financial Bull 3X Shares_etf_High_max,Direxion Daily Financial Bull 3X Shares_etf_High_min,Direxion Daily Financial Bull 3X Shares_etf_High_volatility,Direxion Daily Financial Bull 3X Shares_etf_High_change,Direxion Daily Financial Bull 3X Shares_etf_Low_average,Direxion Daily Financial Bull 3X Shares_etf_Low_max,Direxion Daily Financial Bull 3X Shares_etf_Low_min,Direxion Daily Financial Bull 3X Shares_etf_Low_volatility,Direxion Daily Financial Bull 3X Shares_etf_Low_change,Direxion Daily Financial Bull 3X Shares_etf_Close_average,Direxion Daily Financial Bull 3X Shares_etf_Close_max,Direxion Daily Financial Bull 3X Shares_etf_Close_min,Direxion Daily Financial Bull 3X Shares_etf_Close_volatility,Direxion Daily Financial Bull 3X Shares_etf_Close_change
2016-01-03,25.17,25.17,25.17,0.0,0.0,25.27,25.27,25.27,0.0,0.0,23.18,23.18,23.18,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2016-01-10,20.97,20.97,20.97,0.0,0.0,21.47,21.47,21.47,0.0,0.0,20.35,20.35,20.35,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2016-01-17,20.6,20.6,20.6,0.0,0.0,21.13,21.13,21.13,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.89,20.89,20.89,0.0,0.0
2016-01-24,20.5,20.5,20.5,0.0,0.0,22.05,22.05,22.05,0.0,0.0,20.46,20.46,20.46,0.0,0.0,21.99,21.99,21.99,0.0,0.0
2016-01-31,20.73,20.73,20.73,0.0,0.0,21.03,21.03,21.03,0.0,0.0,19.64,19.64,19.64,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2016-02-07,17.47,17.47,17.47,0.0,0.0,18.41,18.41,18.41,0.0,0.0,17.33,17.33,17.33,0.0,0.0,18.35,18.35,18.35,0.0,0.0
2016-02-14,19.51,19.51,19.51,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2016-02-21,20.95,20.95,20.95,0.0,0.0,21.3,21.3,21.3,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.81,20.81,20.81,0.0,0.0
2016-02-28,23.64,23.64,23.64,0.0,0.0,23.75,23.75,23.75,0.0,0.0,22.96,22.96,22.96,0.0,0.0,23.41,23.41,23.41,0.0,0.0
2016-03-06,22.8,22.8,22.8,0.0,0.0,23.92,23.92,23.92,0.0,0.0,22.78,22.78,22.78,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2016-03-13,24.83,24.83,24.83,0.0,0.0,25.27,25.27,25.27,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2016-03-20,23.75,23.75,23.75,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2016-03-27,24.35,24.35,24.35,0.0,0.0,25.44,25.44,25.44,0.0,0.0,24.1,24.1,24.1,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2016-04-03,23.61,23.61,23.61,0.0,0.0,24.06,24.06,24.06,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.45,23.45,23.45,0.0,0.0
2016-04-10,26.22,26.22,26.22,0.0,0.0,26.35,26.35,26.35,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.96,25.96,25.96,0.0,0.0
