Date,USAU_stock_Open_average,USAU_stock_Open_max,USAU_stock_Open_min,USAU_stock_Open_volatility,USAU_stock_Open_change,USAU_stock_High_average,USAU_stock_High_max,USAU_stock_High_min,USAU_stock_High_volatility,USAU_stock_High_change,USAU_stock_Low_average,USAU_stock_Low_max,USAU_stock_Low_min,USAU_stock_Low_volatility,USAU_stock_Low_change,USAU_stock_Close_average,USAU_stock_Close_max,USAU_stock_Close_min,USAU_stock_Close_volatility,USAU_stock_Close_change,USAU_stock_Volume_average,USAU_stock_Volume_max,USAU_stock_Volume_min,USAU_stock_Volume_volatility,USAU_stock_Volume_change
2016-01-03,8.35704,8.88,7.6572,1.2228000000000012,0.5039999999999996,8.783520000000001,9.0,8.6388,0.3612000000000002,-0.001200000000000756,8.03544,8.4,7.6572,0.7428000000000008,0.5028000000000006,8.376,8.64,7.9212,0.7188000000000008,-0.3600000000000012,805,1823,187,1636,479
2016-01-10,7.38288,8.4,6.7224,1.6776,-1.6776,7.92528,8.76,7.2,1.5599999999999996,-1.1639999999999997,6.93696,7.92,6.6252,1.2947999999999995,-1.1975999999999996,7.45032,7.92,7.08,0.8399999999999999,-0.8399999999999999,1786,4467,292,4175,1480
2016-01-17,7.32,8.88,6.48,2.4000000000000004,1.9200000000000008,8.6994,11.04,7.0776,3.962399999999999,3.962399999999999,7.0065,8.52,6.3528,2.1671999999999993,1.7268,7.7997000000000005,8.88,6.6,2.280000000000001,1.7988000000000008,2441,3771,1088,2683,2683
2016-01-24,8.61264,9.0,8.124,0.8759999999999994,-0.11399999999999899,9.2412,9.6,8.766,0.8339999999999996,0.8339999999999996,7.75176,8.4,7.44,0.96,0.8412000000000006,8.42616,9.12,7.92,1.1999999999999993,1.1999999999999993,1426,2372,296,2076,-1370
2016-01-31,8.7636,9.84,7.5636,2.2763999999999998,-1.5587999999999997,9.14472,9.84,8.6388,1.2012,-0.9599999999999991,8.32296,9.0,7.44,1.5599999999999996,-0.8399999999999999,8.86848,9.36,8.6388,0.7211999999999996,-0.4859999999999989,889,2556,321,2235,170
2016-02-07,9.5268,9.84,9.0,0.8399999999999999,0.11999999999999922,9.864,10.08,9.72,0.35999999999999943,0.0,9.01104,9.24,8.64,0.5999999999999996,0.3047999999999984,9.5004,9.84,9.282,0.5579999999999998,0.41999999999999993,1053,2379,190,2189,205
2016-02-14,9.491999999999999,9.9588,9.168,0.7908000000000008,0.35880000000000045,9.6162,9.96,9.3048,0.6552000000000007,0.0,9.0303,9.24,8.76,0.4800000000000004,-0.2400000000000002,9.1503,9.6,8.88,0.7199999999999989,-0.5999999999999996,458,841,216,625,-280
2016-02-21,7.650966666666667,9.96,0.703,9.257000000000001,-9.257000000000001,7.737166666666667,9.96,0.703,9.257000000000001,-9.257000000000001,6.977166666666667,8.76,0.703,8.057,-8.057,7.177766666666667,8.76,0.703,8.057,-8.057,1053,1907,0,1907,-1907
2016-02-28,9.07176,11.16,8.232000000000001,2.927999999999999,2.5212000000000003,9.58896,11.16,8.412,2.7479999999999993,2.2799999999999994,8.88,10.68,8.16,2.5199999999999996,2.5199999999999996,9.3024,10.86,8.16,2.6999999999999993,2.6999999999999993,1939,6813,157,6656,1489
2016-03-06,10.21224,10.86,9.84,1.0199999999999996,-0.41999999999999993,10.518,10.86,10.08,0.7799999999999994,-0.08399999999999963,10.11624,10.86,9.6,1.2599999999999998,-0.41999999999999993,10.38552,10.86,9.72,1.1399999999999988,-0.36239999999999917,922,1840,55,1785,1029
