Date,VanEck Vectors EgyptEtf_Open_average,VanEck Vectors EgyptEtf_Open_max,VanEck Vectors EgyptEtf_Open_min,VanEck Vectors EgyptEtf_Open_volatility,VanEck Vectors EgyptEtf_Open_change,VanEck Vectors EgyptEtf_High_average,VanEck Vectors EgyptEtf_High_max,VanEck Vectors EgyptEtf_High_min,VanEck Vectors EgyptEtf_High_volatility,VanEck Vectors EgyptEtf_High_change,VanEck Vectors EgyptEtf_Low_average,VanEck Vectors EgyptEtf_Low_max,VanEck Vectors EgyptEtf_Low_min,VanEck Vectors EgyptEtf_Low_volatility,VanEck Vectors EgyptEtf_Low_change,VanEck Vectors EgyptEtf_Close_average,VanEck Vectors EgyptEtf_Close_max,VanEck Vectors EgyptEtf_Close_min,VanEck Vectors EgyptEtf_Close_volatility,VanEck Vectors EgyptEtf_Close_change
2016-01-03,36.05,36.05,36.05,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2016-01-10,32.22,32.22,32.22,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2016-01-17,33.0,33.0,33.0,0.0,0.0,33.53,33.53,33.53,0.0,0.0,32.17,32.17,32.17,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2016-01-24,33.99,33.99,33.99,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2016-01-31,33.48,33.48,33.48,0.0,0.0,34.19,34.19,34.19,0.0,0.0,33.48,33.48,33.48,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2016-02-07,32.5,32.5,32.5,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2016-02-14,33.05,33.05,33.05,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2016-02-21,33.55,33.55,33.55,0.0,0.0,34.5,34.5,34.5,0.0,0.0,33.55,33.55,33.55,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2016-02-28,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0
2016-03-06,36.84,36.84,36.84,0.0,0.0,37.69,37.69,37.69,0.0,0.0,36.51,36.51,36.51,0.0,0.0,37.59,37.59,37.59,0.0,0.0
