Date,iShares MSCI Saudi Arabia Capped_etf_Open_average,iShares MSCI Saudi Arabia Capped_etf_Open_max,iShares MSCI Saudi Arabia Capped_etf_Open_min,iShares MSCI Saudi Arabia Capped_etf_Open_volatility,iShares MSCI Saudi Arabia Capped_etf_Open_change,iShares MSCI Saudi Arabia Capped_etf_High_average,iShares MSCI Saudi Arabia Capped_etf_High_max,iShares MSCI Saudi Arabia Capped_etf_High_min,iShares MSCI Saudi Arabia Capped_etf_High_volatility,iShares MSCI Saudi Arabia Capped_etf_High_change,iShares MSCI Saudi Arabia Capped_etf_Low_average,iShares MSCI Saudi Arabia Capped_etf_Low_max,iShares MSCI Saudi Arabia Capped_etf_Low_min,iShares MSCI Saudi Arabia Capped_etf_Low_volatility,iShares MSCI Saudi Arabia Capped_etf_Low_change,iShares MSCI Saudi Arabia Capped_etf_Close_average,iShares MSCI Saudi Arabia Capped_etf_Close_max,iShares MSCI Saudi Arabia Capped_etf_Close_min,iShares MSCI Saudi Arabia Capped_etf_Close_volatility,iShares MSCI Saudi Arabia Capped_etf_Close_change
2016-01-03,21.86,21.86,21.86,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.89,21.89,21.89,0.0,0.0
2016-01-10,20.21,20.21,20.21,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.17,20.17,20.17,0.0,0.0,20.32,20.32,20.32,0.0,0.0
2016-01-17,20.15,20.15,20.15,0.0,0.0,20.15,20.15,20.15,0.0,0.0,20.15,20.15,20.15,0.0,0.0,20.15,20.15,20.15,0.0,0.0
2016-01-24,21.01,21.01,21.01,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.92,20.92,20.92,0.0,0.0,21.0,21.0,21.0,0.0,0.0
2016-01-31,20.81,20.81,20.81,0.0,0.0,21.02,21.02,21.02,0.0,0.0,20.81,20.81,20.81,0.0,0.0,21.02,21.02,21.02,0.0,0.0
2016-02-07,20.23,20.23,20.23,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.39,20.39,20.39,0.0,0.0
2016-02-14,20.57,20.57,20.57,0.0,0.0,20.57,20.57,20.57,0.0,0.0,20.57,20.57,20.57,0.0,0.0,20.57,20.57,20.57,0.0,0.0
2016-02-21,21.12,21.12,21.12,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.12,21.12,21.12,0.0,0.0
2016-02-28,21.81,21.81,21.81,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.81,21.81,21.81,0.0,0.0,22.03,22.03,22.03,0.0,0.0
2016-03-06,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0
2016-03-13,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2016-03-20,22.2,22.2,22.2,0.0,0.0,22.2,22.2,22.2,0.0,0.0,22.2,22.2,22.2,0.0,0.0,22.2,22.2,22.2,0.0,0.0
2016-03-27,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2016-04-03,22.16,22.16,22.16,0.0,0.0,22.16,22.16,22.16,0.0,0.0,22.16,22.16,22.16,0.0,0.0,22.16,22.16,22.16,0.0,0.0
2016-04-10,22.98,22.98,22.98,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2016-04-17,22.95,22.95,22.95,0.0,0.0,23.24,23.24,23.24,0.0,0.0,22.95,22.95,22.95,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2016-04-24,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2016-05-01,23.85,23.85,23.85,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.85,23.85,23.85,0.0,0.0
2016-05-08,23.96,23.96,23.96,0.0,0.0,23.96,23.96,23.96,0.0,0.0,23.96,23.96,23.96,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2016-05-15,24.34,24.34,24.34,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2016-05-22,23.42,23.42,23.42,0.0,0.0,23.42,23.42,23.42,0.0,0.0,23.42,23.42,23.42,0.0,0.0,23.42,23.42,23.42,0.0,0.0
2016-05-29,23.71,23.71,23.71,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.75,23.75,23.75,0.0,0.0
2016-06-05,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2016-06-12,23.79,23.79,23.79,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2016-06-19,23.63,23.63,23.63,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2016-06-26,23.08,23.08,23.08,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.03,23.03,23.03,0.0,0.0,23.14,23.14,23.14,0.0,0.0
