Date,iShares MSCI Indonesia_etf_Open_average,iShares MSCI Indonesia_etf_Open_max,iShares MSCI Indonesia_etf_Open_min,iShares MSCI Indonesia_etf_Open_volatility,iShares MSCI Indonesia_etf_Open_change,iShares MSCI Indonesia_etf_High_average,iShares MSCI Indonesia_etf_High_max,iShares MSCI Indonesia_etf_High_min,iShares MSCI Indonesia_etf_High_volatility,iShares MSCI Indonesia_etf_High_change,iShares MSCI Indonesia_etf_Low_average,iShares MSCI Indonesia_etf_Low_max,iShares MSCI Indonesia_etf_Low_min,iShares MSCI Indonesia_etf_Low_volatility,iShares MSCI Indonesia_etf_Low_change,iShares MSCI Indonesia_etf_Close_average,iShares MSCI Indonesia_etf_Close_max,iShares MSCI Indonesia_etf_Close_min,iShares MSCI Indonesia_etf_Close_volatility,iShares MSCI Indonesia_etf_Close_change
2016-01-03,20.49,20.49,20.49,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.13,20.13,20.13,0.0,0.0,20.14,20.14,20.14,0.0,0.0
2016-01-10,20.1,20.1,20.1,0.0,0.0,20.26,20.26,20.26,0.0,0.0,19.78,19.78,19.78,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2016-01-17,20.68,20.68,20.68,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.79,20.79,20.79,0.0,0.0
2016-01-24,21.29,21.29,21.29,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.18,21.18,21.18,0.0,0.0,21.65,21.65,21.65,0.0,0.0
2016-01-31,22.4,22.4,22.4,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.37,22.37,22.37,0.0,0.0
2016-02-07,22.3,22.3,22.3,0.0,0.0,22.62,22.62,22.62,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.61,22.61,22.61,0.0,0.0
2016-02-14,21.99,21.99,21.99,0.0,0.0,22.2,22.2,22.2,0.0,0.0,21.82,21.82,21.82,0.0,0.0,22.13,22.13,22.13,0.0,0.0
2016-02-21,22.36,22.36,22.36,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.07,22.07,22.07,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2016-02-28,23.7,23.7,23.7,0.0,0.0,23.96,23.96,23.96,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2016-03-06,23.56,23.56,23.56,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.83,23.83,23.83,0.0,0.0
2016-03-13,24.15,24.15,24.15,0.0,0.0,24.21,24.21,24.21,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.98,23.98,23.98,0.0,0.0
2016-03-20,23.15,23.15,23.15,0.0,0.0,23.15,23.15,23.15,0.0,0.0,22.89,22.89,22.89,0.0,0.0,23.06,23.06,23.06,0.0,0.0
2016-03-27,23.25,23.25,23.25,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.75,23.75,23.75,0.0,0.0
2016-04-03,23.61,23.61,23.61,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2016-04-10,23.36,23.36,23.36,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.25,23.25,23.25,0.0,0.0
2016-04-17,23.83,23.83,23.83,0.0,0.0,24.06,24.06,24.06,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2016-04-24,23.11,23.11,23.11,0.0,0.0,23.21,23.21,23.21,0.0,0.0,22.87,22.87,22.87,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2016-05-01,22.38,22.38,22.38,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2016-05-08,22.4,22.4,22.4,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.17,22.17,22.17,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2016-05-15,21.81,21.81,21.81,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.83,21.83,21.83,0.0,0.0
2016-05-22,22.59,22.59,22.59,0.0,0.0,22.63,22.63,22.63,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.45,22.45,22.45,0.0,0.0
2016-05-29,22.92,22.92,22.92,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.8,22.8,22.8,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2016-06-05,23.09,23.09,23.09,0.0,0.0,23.18,23.18,23.18,0.0,0.0,22.82,22.82,22.82,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2016-06-12,23.21,23.21,23.21,0.0,0.0,23.21,23.21,23.21,0.0,0.0,22.84,22.84,22.84,0.0,0.0,23.07,23.07,23.07,0.0,0.0
2016-06-19,22.74,22.74,22.74,0.0,0.0,23.25,23.25,23.25,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2016-06-26,24.41,24.41,24.41,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2016-07-03,24.24,24.24,24.24,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2016-07-10,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2016-07-17,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2016-07-24,25.8,25.8,25.8,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2016-07-31,26.51,26.51,26.51,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2016-08-07,26.3,26.3,26.3,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2016-08-14,26.26,26.26,26.26,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.51,26.51,26.51,0.0,0.0
2016-08-21,26.31,26.31,26.31,0.0,0.0,26.67,26.67,26.67,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2016-08-28,25.66,25.66,25.66,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2016-09-04,25.36,25.36,25.36,0.0,0.0,25.38,25.38,25.38,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2016-09-11,25.26,25.26,25.26,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2016-09-18,26.46,26.46,26.46,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2016-09-25,26.38,26.38,26.38,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.44,26.44,26.44,0.0,0.0
