Date,HHSStock_Open_average,HHSStock_Open_max,HHSStock_Open_min,HHSStock_Open_volatility,HHSStock_Open_change,HHSStock_High_average,HHSStock_High_max,HHSStock_High_min,HHSStock_High_volatility,HHSStock_High_change,HHSStock_Low_average,HHSStock_Low_max,HHSStock_Low_min,HHSStock_Low_volatility,HHSStock_Low_change,HHSStock_Close_average,HHSStock_Close_max,HHSStock_Close_min,HHSStock_Close_volatility,HHSStock_Close_change,HHSStock_Volume_average,HHSStock_Volume_max,HHSStock_Volume_min,HHSStock_Volume_volatility,HHSStock_Volume_change
2016-01-03,12.878,28.1,2.97,25.130000000000003,23.689999999999998,13.082,28.2,2.99,25.21,24.59,12.47,27.0,2.83,24.17,23.47,12.658,27.2,2.87,24.33,24.07,238613,469444,40644,428800,-120762
2016-01-10,27.14,27.8,26.5,1.3000000000000007,-0.6000000000000014,28.16,28.8,27.6,1.1999999999999993,0.3000000000000007,26.508,26.9,25.6,1.2999999999999972,-0.1999999999999993,27.26,27.9,26.6,1.2999999999999972,0.3999999999999986,29399,46842,21597,25245,6974
2016-01-17,28.0,29.4,26.6,2.799999999999997,1.2999999999999972,29.2,30.5,28.2,2.3000000000000007,2.3000000000000007,27.225,29.0,25.5,3.5,2.3999999999999986,28.575,30.4,26.8,3.599999999999998,3.599999999999998,27871,32475,20009,12466,-8763
2016-01-24,30.82,32.1,29.4,2.700000000000003,1.9000000000000021,32.1,34.2,30.8,3.400000000000002,3.400000000000002,30.5,32.1,29.0,3.1000000000000014,3.1000000000000014,31.560000000000002,34.2,29.1,5.100000000000001,5.100000000000001,23414,31825,16427,15398,12968
2016-01-31,33.14,34.4,31.7,2.6999999999999993,-2.6999999999999993,33.91,35.0,32.1,2.8999999999999986,-2.799999999999997,31.6,32.9,29.6,3.299999999999997,-2.1000000000000014,33.16,34.4,31.7,2.6999999999999993,-1.8000000000000007,25644,43853,17354,26499,-7869
2016-02-07,31.080000000000002,32.4,30.0,2.3999999999999986,1.7999999999999972,32.54,34.6,31.35,3.25,3.25,30.4,31.7,28.9,2.8000000000000007,2.099999999999998,32.22,34.4,30.8,3.599999999999998,3.599999999999998,34046,46723,24608,22115,19377
2016-02-14,33.925,34.5,32.4,2.1000000000000014,-2.1000000000000014,34.2525,34.81,33.2,1.6099999999999994,-1.2999999999999972,32.875,33.9,31.9,2.0,-1.3999999999999986,33.35,34.4,32.3,2.1000000000000014,-1.9000000000000057,23569,28636,19586,9050,-1396
2016-02-21,31.7,32.8,31.0,1.7999999999999972,-1.6000000000000014,32.394,32.9,31.4,1.5,-1.5,31.04,31.7,30.0,1.6999999999999993,-1.6999999999999993,31.62,31.8,31.2,0.6000000000000014,-0.6000000000000014,14320,17895,10019,7876,-5797
2016-02-28,32.8,36.0,30.7,5.300000000000001,5.300000000000001,34.15,36.4,31.6,4.799999999999997,4.799999999999997,32.64,35.4,30.7,4.699999999999999,4.699999999999999,33.82,35.9,30.9,5.0,5.0,23134,27944,18132,9812,1895
2016-03-06,36.32,37.0,35.7,1.2999999999999972,0.7999999999999972,36.9,37.3,36.3,1.0,-0.5,35.660000000000004,36.0,35.3,0.7000000000000028,0.10000000000000142,36.34,37.2,35.8,1.4000000000000057,-0.7000000000000028,14329,21666,10806,10860,-10130
