Date,JBT_stock_Open_average,JBT_stock_Open_max,JBT_stock_Open_min,JBT_stock_Open_volatility,JBT_stock_Open_change,JBT_stock_High_average,JBT_stock_High_max,JBT_stock_High_min,JBT_stock_High_volatility,JBT_stock_High_change,JBT_stock_Low_average,JBT_stock_Low_max,JBT_stock_Low_min,JBT_stock_Low_volatility,JBT_stock_Low_change,JBT_stock_Close_average,JBT_stock_Close_max,JBT_stock_Close_min,JBT_stock_Close_volatility,JBT_stock_Close_change,JBT_stock_Volume_average,JBT_stock_Volume_max,JBT_stock_Volume_min,JBT_stock_Volume_volatility,JBT_stock_Volume_change
2016-01-03,47.952,49.24,47.36,1.8800000000000026,-1.8800000000000026,48.467999999999996,49.61,47.62,1.990000000000002,-1.990000000000002,46.928,47.64,45.05,2.5900000000000034,-2.5900000000000034,47.412,48.48,45.2,3.279999999999994,-2.6699999999999946,270793,453444,165158,288286,-141200
2016-01-10,44.368,45.37,42.74,2.6299999999999955,-2.6299999999999955,44.672,45.88,43.22,2.6600000000000037,-2.6600000000000037,43.194,44.36,41.92,2.4399999999999977,-2.4399999999999977,43.902,45.01,43.15,1.8599999999999994,-1.4600000000000009,162406,212717,135947,76770,74927
2016-01-17,43.44,43.99,42.61,1.3800000000000026,0.0799999999999983,44.1175,44.59,43.61,0.980000000000004,0.980000000000004,42.525,42.73,42.06,0.6699999999999946,-0.10999999999999943,43.3275,43.78,42.89,0.8900000000000006,0.4200000000000017,155535,174201,144995,29206,19541
2016-01-24,43.136,43.72,42.49,1.2299999999999969,-0.259999999999998,44.248,46.16,43.61,2.549999999999997,2.549999999999997,42.356,43.02,42.05,0.970000000000006,0.9600000000000009,43.484,45.81,42.21,3.6000000000000014,3.6000000000000014,144631,217040,85152,131888,131888
2016-01-31,43.19,45.43,42.32,3.1099999999999994,-2.210000000000001,43.53,45.43,42.45,2.979999999999997,-1.8900000000000006,42.084,42.55,41.35,1.1999999999999957,-0.19999999999999574,42.78,43.3,42.15,1.1499999999999986,0.22999999999999687,133497,187029,79119,107910,23937
2016-02-07,43.396,44.23,42.46,1.769999999999996,1.769999999999996,44.258,44.56,43.87,0.6900000000000048,-0.0800000000000054,42.644,43.16,41.8,1.3599999999999994,0.9600000000000009,43.616,44.17,43.31,0.8599999999999994,-0.8100000000000023,146033,207235,107183,100052,-72222
2016-02-14,44.0425,44.41,43.54,0.8699999999999974,0.5799999999999983,44.6625,45.34,43.99,1.3500000000000014,1.3500000000000014,43.4925,44.04,42.94,1.1000000000000014,1.009999999999998,44.2675,45.29,43.19,2.1000000000000014,2.1000000000000014,150895,187758,109952,77806,77806
2016-02-21,48.839999999999996,53.5,45.69,7.810000000000002,6.960000000000001,50.95,54.68,46.42,8.259999999999998,6.380000000000003,47.948,52.02,44.76,7.260000000000005,5.460000000000001,49.612,53.01,44.91,8.100000000000001,5.289999999999999,297423,659604,145149,514455,30668
2016-02-28,53.078,54.18,51.49,2.6899999999999977,1.9600000000000009,54.518,56.34,53.53,2.8100000000000023,2.6500000000000057,52.522,53.36,51.49,1.8699999999999974,1.8699999999999974,53.722,55.37,52.6,2.769999999999996,2.769999999999996,215157,340606,150244,190362,-102988
2016-03-06,54.728,55.25,54.2,1.0499999999999972,-0.6199999999999974,55.384,56.84,54.46,2.3800000000000026,1.0600000000000023,54.09,55.02,53.21,1.8100000000000023,-0.7900000000000063,54.822,56.67,53.72,2.950000000000003,1.2700000000000031,142773,189557,120542,69015,57725
2016-03-13,55.464,56.88,54.11,2.770000000000003,0.44000000000000483,56.19,57.48,54.87,2.6099999999999994,0.8699999999999974,54.702,56.26,53.73,2.530000000000001,0.5599999999999952,55.614,56.97,54.12,2.8500000000000014,1.2199999999999989,222754,446048,101327,344721,344721
2016-03-20,55.349999999999994,56.98,54.23,2.75,-2.75,55.7625,57.2,54.91,2.2900000000000063,-2.2900000000000063,54.5475,55.32,54.09,1.2299999999999969,-1.2299999999999969,54.9825,55.73,54.41,1.3200000000000003,-1.1399999999999935,153781,170346,117379,52967,-42280
2016-03-27,55.602000000000004,56.56,54.6,1.9600000000000009,1.3900000000000006,56.494,57.0,54.98,2.020000000000003,2.020000000000003,55.088,55.98,53.75,2.229999999999997,1.759999999999998,56.066,56.69,54.84,1.8499999999999943,1.8499999999999943,166429,218890,92668,126222,43468
2016-04-03,54.552,56.37,53.05,3.3200000000000003,-1.5399999999999991,55.088,56.37,54.08,2.289999999999999,-0.8200000000000003,53.798,54.71,52.94,1.7700000000000031,-0.4399999999999977,54.252,55.45,53.27,2.1799999999999997,0.720000000000006,191264,245057,137423,107634,82608
2016-04-10,55.906,56.74,54.54,2.200000000000003,1.1400000000000006,56.876,58.32,55.75,2.5700000000000003,2.479999999999997,55.29,56.63,54.1,2.530000000000001,2.530000000000001,56.336,57.95,54.58,3.3700000000000045,3.3700000000000045,199146,307334,154123,153211,-123949
2016-04-17,58.41,59.81,57.48,2.3300000000000054,-0.25,59.1,60.92,57.7,3.219999999999999,-0.7399999999999949,57.641999999999996,58.94,56.52,2.4199999999999946,-1.1399999999999935,58.11,59.89,57.42,2.469999999999999,-0.5300000000000011,268798,439923,158766,281157,142838
2016-04-24,54.884,57.45,52.4,5.050000000000004,-4.520000000000003,55.624,57.65,53.61,4.039999999999999,-3.8399999999999963,53.522,56.84,51.5,5.340000000000003,-4.700000000000003,54.15,57.22,52.14,5.079999999999998,-5.079999999999998,517641,989034,178418,810616,182953
2016-05-01,53.300000000000004,55.38,52.03,3.3500000000000014,3.3500000000000014,54.416,56.4,52.43,3.969999999999999,3.969999999999999,52.798,55.35,51.2,4.149999999999999,4.090000000000003,54.186,56.36,51.95,4.409999999999997,3.9399999999999977,312398,420401,188488,231913,58224
2016-05-08,56.476,57.65,55.77,1.8799999999999955,1.75,57.112,58.27,55.9,2.3700000000000045,2.3700000000000045,55.922,56.92,54.63,2.289999999999999,2.289999999999999,56.82,57.91,55.37,2.539999999999999,2.539999999999999,211435,260171,121492,138679,-243
