Date,SPDR MSCI EAFE StrategicFactors_etf_Open_average,SPDR MSCI EAFE StrategicFactors_etf_Open_max,SPDR MSCI EAFE StrategicFactors_etf_Open_min,SPDR MSCI EAFE StrategicFactors_etf_Open_volatility,SPDR MSCI EAFE StrategicFactors_etf_Open_change,SPDR MSCI EAFE StrategicFactors_etf_High_average,SPDR MSCI EAFE StrategicFactors_etf_High_max,SPDR MSCI EAFE StrategicFactors_etf_High_min,SPDR MSCI EAFE StrategicFactors_etf_High_volatility,SPDR MSCI EAFE StrategicFactors_etf_High_change,SPDR MSCI EAFE StrategicFactors_etf_Low_average,SPDR MSCI EAFE StrategicFactors_etf_Low_max,SPDR MSCI EAFE StrategicFactors_etf_Low_min,SPDR MSCI EAFE StrategicFactors_etf_Low_volatility,SPDR MSCI EAFE StrategicFactors_etf_Low_change,SPDR MSCI EAFE StrategicFactors_etf_Close_average,SPDR MSCI EAFE StrategicFactors_etf_Close_max,SPDR MSCI EAFE StrategicFactors_etf_Close_min,SPDR MSCI EAFE StrategicFactors_etf_Close_volatility,SPDR MSCI EAFE StrategicFactors_etf_Close_change
2016-01-03,52.12,52.12,52.12,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2016-01-10,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2016-01-17,49.82,49.82,49.82,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2016-01-24,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2016-01-31,51.58,51.58,51.58,0.0,0.0,51.58,51.58,51.58,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0
2016-02-07,49.45,49.45,49.45,0.0,0.0,50.15,50.15,50.15,0.0,0.0,49.45,49.45,49.45,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2016-02-14,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2016-02-21,51.38,51.38,51.38,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.38,51.38,51.38,0.0,0.0
2016-02-28,53.59,53.59,53.59,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2016-03-06,53.94,53.94,53.94,0.0,0.0,53.94,53.94,53.94,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.74,53.74,53.74,0.0,0.0
2016-03-13,54.04,54.04,54.04,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2016-03-20,53.38,53.38,53.38,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2016-03-27,53.47,53.47,53.47,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2016-04-03,53.49,53.49,53.49,0.0,0.0,54.07,54.07,54.07,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2016-04-10,54.9,54.9,54.9,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.9,54.9,54.9,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2016-04-17,56.02,56.02,56.02,0.0,0.0,56.02,56.02,56.02,0.0,0.0,56.02,56.02,56.02,0.0,0.0,56.02,56.02,56.02,0.0,0.0
2016-04-24,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2016-05-01,54.25,54.25,54.25,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2016-05-08,54.29,54.29,54.29,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2016-05-15,54.4,54.4,54.4,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2016-05-22,55.05,55.05,55.05,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.37,55.37,55.37,0.0,0.0
2016-05-29,55.3,55.3,55.3,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.3,55.3,55.3,0.0,0.0,55.35,55.35,55.35,0.0,0.0
2016-06-05,54.37,54.37,54.37,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2016-06-12,52.15,52.15,52.15,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.15,52.15,52.15,0.0,0.0
2016-06-19,54.95,54.95,54.95,0.0,0.0,54.95,54.95,54.95,0.0,0.0,51.34,51.34,51.34,0.0,0.0,52.23,52.23,52.23,0.0,0.0
2016-06-26,53.66,53.66,53.66,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2016-07-03,53.11,53.11,53.11,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.11,53.11,53.11,0.0,0.0,53.31,53.31,53.31,0.0,0.0
2016-07-10,55.37,55.37,55.37,0.0,0.0,55.37,55.37,55.37,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2016-07-17,54.49,54.49,54.49,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.4,54.4,54.4,0.0,0.0
2016-07-24,54.92,54.92,54.92,0.0,0.0,55.3,55.3,55.3,0.0,0.0,54.92,54.92,54.92,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2016-07-31,54.91,54.91,54.91,0.0,0.0,54.91,54.91,54.91,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2016-08-07,55.97,55.97,55.97,0.0,0.0,55.97,55.97,55.97,0.0,0.0,55.8,55.8,55.8,0.0,0.0,55.8,55.8,55.8,0.0,0.0
2016-08-14,55.48,55.48,55.48,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.56,55.56,55.56,0.0,0.0
2016-08-21,56.47,56.47,56.47,0.0,0.0,56.47,56.47,56.47,0.0,0.0,55.9,55.9,55.9,0.0,0.0,55.9,55.9,55.9,0.0,0.0
2016-08-28,55.35,55.35,55.35,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.35,55.35,55.35,0.0,0.0
2016-09-04,55.65,55.65,55.65,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.1,55.1,55.1,0.0,0.0,55.13,55.13,55.13,0.0,0.0
2016-09-11,54.88,54.88,54.88,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2016-09-18,55.86,55.86,55.86,0.0,0.0,55.86,55.86,55.86,0.0,0.0,55.86,55.86,55.86,0.0,0.0,55.86,55.86,55.86,0.0,0.0
2016-09-25,55.32,55.32,55.32,0.0,0.0,55.57,55.57,55.57,0.0,0.0,55.21,55.21,55.21,0.0,0.0,55.57,55.57,55.57,0.0,0.0
2016-10-02,54.6,54.6,54.6,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2016-10-09,53.97,53.97,53.97,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.92,53.92,53.92,0.0,0.0
2016-10-16,53.9,53.9,53.9,0.0,0.0,53.9,53.9,53.9,0.0,0.0,53.9,53.9,53.9,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2016-10-23,54.05,54.05,54.05,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.81,53.81,53.81,0.0,0.0
2016-10-30,53.46,53.46,53.46,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2016-11-06,52.81,52.81,52.81,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2016-11-13,52.02,52.02,52.02,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.94,51.94,51.94,0.0,0.0
2016-11-20,52.53,52.53,52.53,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2016-11-27,52.4,52.4,52.4,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.39,52.39,52.39,0.0,0.0,52.4,52.4,52.4,0.0,0.0
2016-12-04,53.98,53.98,53.98,0.0,0.0,53.98,53.98,53.98,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.82,53.82,53.82,0.0,0.0
2016-12-11,53.23,53.23,53.23,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.23,53.23,53.23,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2016-12-18,53.16,53.16,53.16,0.0,0.0,53.68,53.68,53.68,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.68,53.68,53.68,0.0,0.0
2016-12-25,53.86,53.86,53.86,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.68,53.68,53.68,0.0,0.0,53.71,53.71,53.71,0.0,0.0
2017-01-01,54.84,54.84,54.84,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2017-01-08,55.25,55.25,55.25,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2017-01-15,54.96,54.96,54.96,0.0,0.0,55.02,55.02,55.02,0.0,0.0,54.64,54.64,54.64,0.0,0.0,55.01,55.01,55.01,0.0,0.0
