Date,DLTR_stock_Open_average,DLTR_stock_Open_max,DLTR_stock_Open_min,DLTR_stock_Open_volatility,DLTR_stock_Open_change,DLTR_stock_High_average,DLTR_stock_High_max,DLTR_stock_High_min,DLTR_stock_High_volatility,DLTR_stock_High_change,DLTR_stock_Low_average,DLTR_stock_Low_max,DLTR_stock_Low_min,DLTR_stock_Low_volatility,DLTR_stock_Low_change,DLTR_stock_Close_average,DLTR_stock_Close_max,DLTR_stock_Close_min,DLTR_stock_Close_volatility,DLTR_stock_Close_change,DLTR_stock_Volume_average,DLTR_stock_Volume_max,DLTR_stock_Volume_min,DLTR_stock_Volume_volatility,DLTR_stock_Volume_change
2016-01-03,78.608,79.27,76.84,2.4299999999999926,1.8999999999999915,80.21,81.44,78.82,2.6200000000000045,0.6100000000000136,77.892,79.24,76.09,3.1499999999999915,1.5,79.11,80.52,77.79,2.7299999999999898,-1.019999999999996,4063613,4555148,3362910,1192238,-1192238
2016-01-10,76.78999999999999,78.83,73.56,5.269999999999996,-4.659999999999997,77.634,78.83,75.67,3.1599999999999966,-2.7099999999999937,75.296,77.14,73.56,3.5799999999999983,-2.730000000000004,76.508,78.7,75.3,3.4000000000000057,-2.0600000000000023,3010219,3533794,1827237,1706557,126987
2016-01-17,76.8425,78.5,76.0,2.5,2.0400000000000063,77.99000000000001,78.75,76.73,2.019999999999996,0.519999999999996,75.38,76.56,73.74,2.8200000000000074,1.0600000000000023,76.80250000000001,77.26,76.03,1.230000000000004,0.37000000000000455,2341510,2664553,2045145,619408,-471961
2016-01-24,78.144,79.58,76.64,2.9399999999999977,2.280000000000001,79.318,81.97,77.68,4.289999999999992,4.289999999999992,77.294,79.25,76.13,3.1200000000000045,3.0,78.49799999999999,81.32,76.6,4.719999999999999,4.719999999999999,2369250,3372376,1675971,1696405,1696405
2016-01-31,80.258,82.08,76.65,5.429999999999993,-4.559999999999988,81.0,82.76,78.11,4.650000000000006,-4.109999999999999,78.114,80.75,75.14,5.609999999999999,-4.810000000000002,79.298,81.98,76.56,5.420000000000002,-5.420000000000002,3254814,4426913,2305994,2120919,1258589
2016-02-07,75.346,78.62,73.12,5.5,-4.650000000000006,76.574,78.99,74.92,4.069999999999993,-3.4299999999999926,73.83,74.85,72.52,2.3299999999999983,-1.480000000000004,74.876,75.33,73.43,1.8999999999999915,-0.09999999999999432,2687561,3384351,1856479,1527872,-943850
2016-02-14,79.395,79.81,78.66,1.1500000000000057,-1.1500000000000057,80.365,81.46,79.49,1.9699999999999989,-0.5,77.4175,78.61,76.25,2.3599999999999994,1.3299999999999983,79.53999999999999,80.88,78.55,2.3299999999999983,0.8900000000000006,3274169,4288911,2740431,1548480,-355306
2016-02-21,81.59333333333333,82.25,80.49,1.7600000000000051,1.2700000000000102,82.14166666666667,82.68,81.72,0.960000000000008,0.04000000000000625,80.80666666666667,81.74,79.85,1.8900000000000006,1.539999999999992,81.78,82.3,81.63,0.6700000000000017,0.06999999999999318,2505696,3643931,1287510,2356421,-1835401
2016-02-28,79.622,81.42,77.7,3.719999999999999,-3.719999999999999,80.798,82.81,78.75,4.060000000000002,-2.740000000000009,77.808,80.23,76.47,3.760000000000005,-3.5400000000000063,79.378,82.03,77.45,4.579999999999998,-1.8599999999999994,5123500,8249773,3247440,5002333,-606260
2016-03-06,77.76,80.26,76.21,4.050000000000011,2.530000000000001,78.744,80.73,76.94,3.7900000000000063,2.460000000000008,76.898,79.31,75.24,4.070000000000007,2.8400000000000034,77.86999999999999,80.02,75.96,4.060000000000002,3.200000000000003,2835318,3974268,2040931,1933337,-289330
