Date,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_average,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_max,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_min,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_volatility,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_change,Direxion Daily Gold Miners Bear 3X Shares_etf_High_average,Direxion Daily Gold Miners Bear 3X Shares_etf_High_max,Direxion Daily Gold Miners Bear 3X Shares_etf_High_min,Direxion Daily Gold Miners Bear 3X Shares_etf_High_volatility,Direxion Daily Gold Miners Bear 3X Shares_etf_High_change,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_average,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_max,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_min,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_volatility,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_change,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_average,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_max,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_min,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_volatility,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_change
2016-01-03,17062.5,17062.5,17062.5,0.0,0.0,17737.5,17737.5,17737.5,0.0,0.0,16562.5,16562.5,16562.5,0.0,0.0,16937.5,16937.5,16937.5,0.0,0.0
2016-01-10,20062.5,20062.5,20062.5,0.0,0.0,22750.0,22750.0,22750.0,0.0,0.0,20000.0,20000.0,20000.0,0.0,0.0,22587.5,22587.5,22587.5,0.0,0.0
2016-01-17,24000.0,24000.0,24000.0,0.0,0.0,24337.5,24337.5,24337.5,0.0,0.0,21762.5,21762.5,21762.5,0.0,0.0,22562.5,22562.5,22562.5,0.0,0.0
2016-01-24,18500.0,18500.0,18500.0,0.0,0.0,18750.0,18750.0,18750.0,0.0,0.0,16875.0,16875.0,16875.0,0.0,0.0,16983.75,16983.75,16983.75,0.0,0.0
2016-01-31,11612.5,11612.5,11612.5,0.0,0.0,11962.5,11962.5,11962.5,0.0,0.0,8962.5,8962.5,8962.5,0.0,0.0,9025.0,9025.0,9025.0,0.0,0.0
2016-02-07,7462.5,7462.5,7462.5,0.0,0.0,7500.0,7500.0,7500.0,0.0,0.0,6300.0,6300.0,6300.0,0.0,0.0,6325.0,6325.0,6325.0,0.0,0.0
2016-02-14,6100.0,6100.0,6100.0,0.0,0.0,6375.0,6375.0,6375.0,0.0,0.0,5825.0,5825.0,5825.0,0.0,0.0,6250.0,6250.0,6250.0,0.0,0.0
2016-02-21,5687.5,5687.5,5687.5,0.0,0.0,5950.0,5950.0,5950.0,0.0,0.0,5375.0,5375.0,5375.0,0.0,0.0,5887.5,5887.5,5887.5,0.0,0.0
2016-02-28,4787.5,4787.5,4787.5,0.0,0.0,4975.0,4975.0,4975.0,0.0,0.0,4025.0,4025.0,4025.0,0.0,0.0,4850.0,4850.0,4850.0,0.0,0.0
2016-03-06,4350.0,4350.0,4350.0,0.0,0.0,4587.5,4587.5,4587.5,0.0,0.0,4137.5,4137.5,4137.5,0.0,0.0,4500.0,4500.0,4500.0,0.0,0.0
2016-03-13,4050.0,4050.0,4050.0,0.0,0.0,4062.5,4062.5,4062.5,0.0,0.0,3725.0,3725.0,3725.0,0.0,0.0,3925.0,3925.0,3925.0,0.0,0.0
2016-03-20,4650.0,4650.0,4650.0,0.0,0.0,4775.0,4775.0,4775.0,0.0,0.0,4387.5,4387.5,4387.5,0.0,0.0,4487.5,4487.5,4487.5,0.0,0.0
2016-03-27,4362.5,4362.5,4362.5,0.0,0.0,4437.5,4437.5,4437.5,0.0,0.0,3950.0,3950.0,3950.0,0.0,0.0,3950.0,3950.0,3950.0,0.0,0.0
2016-04-03,3575.0,3575.0,3575.0,0.0,0.0,3587.5,3587.5,3587.5,0.0,0.0,3150.0,3150.0,3150.0,0.0,0.0,3200.0,3200.0,3200.0,0.0,0.0
2016-04-10,2962.5,2962.5,2962.5,0.0,0.0,3087.5,3087.5,3087.5,0.0,0.0,2725.0,2725.0,2725.0,0.0,0.0,2762.5,2762.5,2762.5,0.0,0.0
2016-04-17,2462.5,2462.5,2462.5,0.0,0.0,2612.5,2612.5,2612.5,0.0,0.0,2312.5,2312.5,2312.5,0.0,0.0,2550.0,2550.0,2550.0,0.0,0.0
