Date,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_average,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_max,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_min,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_volatility,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_change,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_average,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_max,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_min,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_volatility,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_change,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_average,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_max,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_min,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_volatility,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_change,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_average,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_max,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_min,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_volatility,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_change
2016-01-03,100.68,100.68,100.68,0.0,0.0,100.72,100.72,100.72,0.0,0.0,100.64,100.64,100.64,0.0,0.0,100.7,100.7,100.7,0.0,0.0
2016-01-10,100.73,100.73,100.73,0.0,0.0,100.77,100.77,100.77,0.0,0.0,100.71,100.71,100.71,0.0,0.0,100.73,100.73,100.73,0.0,0.0
2016-01-17,100.68,100.68,100.68,0.0,0.0,100.75,100.75,100.75,0.0,0.0,100.68,100.68,100.68,0.0,0.0,100.7,100.7,100.7,0.0,0.0
2016-01-24,100.74,100.74,100.74,0.0,0.0,100.76,100.76,100.76,0.0,0.0,100.7,100.7,100.7,0.0,0.0,100.71,100.71,100.71,0.0,0.0
2016-01-31,100.62,100.62,100.62,0.0,0.0,100.64,100.64,100.64,0.0,0.0,100.58,100.58,100.58,0.0,0.0,100.62,100.62,100.62,0.0,0.0
2016-02-07,100.55,100.55,100.55,0.0,0.0,100.59,100.59,100.59,0.0,0.0,100.53,100.53,100.53,0.0,0.0,100.57,100.57,100.57,0.0,0.0
2016-02-14,100.56,100.56,100.56,0.0,0.0,100.62,100.62,100.62,0.0,0.0,100.55,100.55,100.55,0.0,0.0,100.56,100.56,100.56,0.0,0.0
2016-02-21,100.55,100.55,100.55,0.0,0.0,100.56,100.56,100.56,0.0,0.0,100.49,100.49,100.49,0.0,0.0,100.52,100.52,100.52,0.0,0.0
2016-02-28,100.48,100.48,100.48,0.0,0.0,100.52,100.52,100.52,0.0,0.0,100.47,100.47,100.47,0.0,0.0,100.52,100.52,100.52,0.0,0.0
2016-03-06,100.52,100.52,100.52,0.0,0.0,100.57,100.57,100.57,0.0,0.0,100.51,100.51,100.51,0.0,0.0,100.56,100.56,100.56,0.0,0.0
2016-03-13,100.66,100.66,100.66,0.0,0.0,100.69,100.69,100.69,0.0,0.0,100.65,100.65,100.65,0.0,0.0,100.67,100.67,100.67,0.0,0.0
2016-03-20,100.67,100.67,100.67,0.0,0.0,100.76,100.76,100.76,0.0,0.0,100.67,100.67,100.67,0.0,0.0,100.74,100.74,100.74,0.0,0.0
2016-03-27,100.73,100.73,100.73,0.0,0.0,100.74,100.74,100.74,0.0,0.0,100.7,100.7,100.7,0.0,0.0,100.73,100.73,100.73,0.0,0.0
