Date,ATNMStock_Open_average,ATNMStock_Open_max,ATNMStock_Open_min,ATNMStock_Open_volatility,ATNMStock_Open_change,ATNMStock_High_average,ATNMStock_High_max,ATNMStock_High_min,ATNMStock_High_volatility,ATNMStock_High_change,ATNMStock_Low_average,ATNMStock_Low_max,ATNMStock_Low_min,ATNMStock_Low_volatility,ATNMStock_Low_change,ATNMStock_Close_average,ATNMStock_Close_max,ATNMStock_Close_min,ATNMStock_Close_volatility,ATNMStock_Close_change,ATNMStock_Volume_average,ATNMStock_Volume_max,ATNMStock_Volume_min,ATNMStock_Volume_volatility,ATNMStock_Volume_change
2016-01-03,2.958,3.47,2.52,0.9500000000000002,-0.48,3.108,3.49,2.73,0.7600000000000002,-0.7600000000000002,2.75,3.07,2.4,0.6699999999999999,-0.48,2.912,3.4,2.56,0.8399999999999999,-0.77,139114,160937,95247,65690,-45441
2016-01-10,2.2279999999999998,2.63,1.9,0.73,-0.73,2.262,2.63,1.96,0.6699999999999999,-0.6699999999999999,2.006,2.15,1.86,0.2899999999999998,-0.22999999999999976,2.1,2.22,1.94,0.28000000000000025,-0.28000000000000025,80370,107895,40596,67299,22966
2016-01-17,2.015,2.33,1.7,0.6300000000000001,0.3600000000000001,2.245,2.46,1.97,0.49,0.49,1.9275,2.3,1.61,0.6899999999999997,0.5299999999999998,2.1375,2.41,1.79,0.6200000000000001,0.6200000000000001,77432,93238,44216,49022,49022
2016-01-24,2.246,2.41,2.12,0.29000000000000004,-0.29000000000000004,2.266,2.44,2.18,0.2599999999999998,-0.2599999999999998,2.12,2.23,2.08,0.1499999999999999,-0.1299999999999999,2.178,2.25,2.12,0.1299999999999999,-0.1299999999999999,44148,66391,16556,49835,-49835
2016-01-31,2.102,2.17,2.0,0.16999999999999993,-0.1200000000000001,2.128,2.18,2.03,0.15000000000000036,-0.15000000000000036,2.026,2.08,1.95,0.13000000000000012,-0.11999999999999988,2.068,2.17,1.97,0.19999999999999996,-0.19999999999999996,15542,33427,9926,23501,-2447
2016-02-07,1.83,1.95,1.76,0.18999999999999995,-0.18999999999999995,1.8718,1.95,1.77,0.17999999999999994,-0.09999999999999987,1.766,1.8,1.72,0.08000000000000007,-0.040000000000000036,1.81,1.88,1.74,0.1399999999999999,-0.07999999999999985,28357,45187,14051,31136,-12817
2016-02-14,2.0,2.12,1.82,0.30000000000000004,0.28,2.13225,2.22,1.99,0.2300000000000002,0.2300000000000002,1.9575,2.08,1.82,0.26,0.26,2.0725,2.2,1.94,0.26000000000000023,0.14000000000000012,43118,69099,30220,38879,10936
2016-02-21,2.032,2.19,1.9,0.29000000000000004,-0.19999999999999996,2.058,2.19,1.98,0.20999999999999996,-0.19999999999999996,1.956,2.08,1.9,0.18000000000000016,-0.17000000000000015,2.008,2.11,1.93,0.17999999999999994,-0.1299999999999999,35020,68900,12657,56243,-17390
2016-02-28,2.02,2.05,1.97,0.07999999999999985,-0.020000000000000018,2.074,2.11,2.05,0.06000000000000005,0.0,1.98,2.0,1.94,0.06000000000000005,0.010000000000000009,2.014,2.05,1.99,0.05999999999999983,0.010000000000000231,22937,35064,11988,23076,-12819
2016-03-06,1.992,2.02,1.95,0.07000000000000006,-0.050000000000000044,2.018,2.08,1.98,0.10000000000000009,-0.10000000000000009,1.952,2.0,1.91,0.09000000000000008,-0.07000000000000006,1.972,2.02,1.94,0.08000000000000007,-0.06000000000000005,16557,25885,5393,20492,-15208
2016-03-13,1.944,2.0,1.9,0.10000000000000009,-0.020000000000000018,2.0105999999999997,2.073,1.93,0.14300000000000002,0.0030000000000001137,1.9082,1.97,1.86,0.10999999999999988,-0.038999999999999924,1.95,2.04,1.9,0.14000000000000012,0.06000000000000005,28084,39559,17747,21812,-2710
2016-03-20,2.1425,2.33,2.02,0.31000000000000005,-0.06000000000000005,2.24975,2.359,2.14,0.21899999999999986,-0.18900000000000006,2.045,2.08,2.0,0.08000000000000007,-0.08000000000000007,2.1025,2.23,2.02,0.20999999999999996,-0.20999999999999996,35505,63036,15924,47112,-27826
