Date,PowerShares DWA Utilities Momentum PortfolioEtf_Open_average,PowerShares DWA Utilities Momentum PortfolioEtf_Open_max,PowerShares DWA Utilities Momentum PortfolioEtf_Open_min,PowerShares DWA Utilities Momentum PortfolioEtf_Open_volatility,PowerShares DWA Utilities Momentum PortfolioEtf_Open_change,PowerShares DWA Utilities Momentum PortfolioEtf_High_average,PowerShares DWA Utilities Momentum PortfolioEtf_High_max,PowerShares DWA Utilities Momentum PortfolioEtf_High_min,PowerShares DWA Utilities Momentum PortfolioEtf_High_volatility,PowerShares DWA Utilities Momentum PortfolioEtf_High_change,PowerShares DWA Utilities Momentum PortfolioEtf_Low_average,PowerShares DWA Utilities Momentum PortfolioEtf_Low_max,PowerShares DWA Utilities Momentum PortfolioEtf_Low_min,PowerShares DWA Utilities Momentum PortfolioEtf_Low_volatility,PowerShares DWA Utilities Momentum PortfolioEtf_Low_change,PowerShares DWA Utilities Momentum PortfolioEtf_Close_average,PowerShares DWA Utilities Momentum PortfolioEtf_Close_max,PowerShares DWA Utilities Momentum PortfolioEtf_Close_min,PowerShares DWA Utilities Momentum PortfolioEtf_Close_volatility,PowerShares DWA Utilities Momentum PortfolioEtf_Close_change
2016-01-03,22.09,22.09,22.09,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2016-01-10,22.2,22.2,22.2,0.0,0.0,22.2,22.2,22.2,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2016-01-17,22.16,22.16,22.16,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.43,22.43,22.43,0.0,0.0
2016-01-24,23.09,23.09,23.09,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.43,23.43,23.43,0.0,0.0
2016-01-31,23.81,23.81,23.81,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2016-02-07,23.64,23.64,23.64,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.55,23.55,23.55,0.0,0.0
2016-02-14,23.99,23.99,23.99,0.0,0.0,24.05,24.05,24.05,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2016-02-21,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.77,23.77,23.77,0.0,0.0
2016-02-28,23.93,23.93,23.93,0.0,0.0,24.32,24.32,24.32,0.0,0.0,23.85,23.85,23.85,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2016-03-06,24.79,24.79,24.79,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2016-03-13,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2016-03-20,25.0,25.0,25.0,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.87,24.87,24.87,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2016-03-27,25.38,25.38,25.38,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2016-04-03,25.07,25.07,25.07,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2016-04-10,25.02,25.02,25.02,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2016-04-17,24.34,24.34,24.34,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2016-04-24,24.94,24.94,24.94,0.0,0.0,25.14,25.14,25.14,0.0,0.0,24.84,24.84,24.84,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2016-05-01,25.52,25.52,25.52,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2016-05-08,25.84,25.84,25.84,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2016-05-15,25.06,25.06,25.06,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2016-05-22,25.49,25.49,25.49,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.64,25.64,25.64,0.0,0.0
2016-05-29,26.21,26.21,26.21,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2016-06-05,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2016-06-12,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2016-06-19,26.46,26.46,26.46,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2016-06-26,28.04,28.04,28.04,0.0,0.0,28.05,28.05,28.05,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2016-07-03,27.59,27.59,27.59,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2016-07-10,27.44,27.44,27.44,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2016-07-17,27.32,27.32,27.32,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2016-07-24,27.37,27.37,27.37,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2016-07-31,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2016-08-07,26.65,26.65,26.65,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2016-08-14,26.29,26.29,26.29,0.0,0.0,26.29,26.29,26.29,0.0,0.0,25.99,25.99,25.99,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2016-08-21,26.15,26.15,26.15,0.0,0.0,26.28,26.28,26.28,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2016-08-28,25.5,25.5,25.5,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2016-09-04,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2016-09-11,25.27,25.27,25.27,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2016-09-18,26.74,26.74,26.74,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2016-09-25,26.07,26.07,26.07,0.0,0.0,26.08,26.08,26.08,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2016-10-02,25.01,25.01,25.01,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2016-10-09,24.99,24.99,24.99,0.0,0.0,25.13,25.13,25.13,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2016-10-16,25.08,25.08,25.08,0.0,0.0,25.11,25.11,25.11,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2016-10-23,25.1,25.1,25.1,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.21,25.21,25.21,0.0,0.0
