Date,PowerShares Dynamic Oil & Gas Services_etf_Open_average,PowerShares Dynamic Oil & Gas Services_etf_Open_max,PowerShares Dynamic Oil & Gas Services_etf_Open_min,PowerShares Dynamic Oil & Gas Services_etf_Open_volatility,PowerShares Dynamic Oil & Gas Services_etf_Open_change,PowerShares Dynamic Oil & Gas Services_etf_High_average,PowerShares Dynamic Oil & Gas Services_etf_High_max,PowerShares Dynamic Oil & Gas Services_etf_High_min,PowerShares Dynamic Oil & Gas Services_etf_High_volatility,PowerShares Dynamic Oil & Gas Services_etf_High_change,PowerShares Dynamic Oil & Gas Services_etf_Low_average,PowerShares Dynamic Oil & Gas Services_etf_Low_max,PowerShares Dynamic Oil & Gas Services_etf_Low_min,PowerShares Dynamic Oil & Gas Services_etf_Low_volatility,PowerShares Dynamic Oil & Gas Services_etf_Low_change,PowerShares Dynamic Oil & Gas Services_etf_Close_average,PowerShares Dynamic Oil & Gas Services_etf_Close_max,PowerShares Dynamic Oil & Gas Services_etf_Close_min,PowerShares Dynamic Oil & Gas Services_etf_Close_volatility,PowerShares Dynamic Oil & Gas Services_etf_Close_change
2016-01-03,10.77,10.77,10.77,0.0,0.0,10.77,10.77,10.77,0.0,0.0,10.39,10.39,10.39,0.0,0.0,10.46,10.46,10.46,0.0,0.0
2016-01-10,9.4,9.4,9.4,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.7,9.7,9.7,0.0,0.0
2016-01-17,9.85,9.85,9.85,0.0,0.0,10.02,10.02,10.02,0.0,0.0,9.59,9.59,9.59,0.0,0.0,9.78,9.78,9.78,0.0,0.0
2016-01-24,10.08,10.08,10.08,0.0,0.0,10.4,10.4,10.4,0.0,0.0,10.04,10.04,10.04,0.0,0.0,10.4,10.4,10.4,0.0,0.0
2016-01-31,10.37,10.37,10.37,0.0,0.0,10.42,10.42,10.42,0.0,0.0,10.15,10.15,10.15,0.0,0.0,10.15,10.15,10.15,0.0,0.0
2016-02-07,9.35,9.35,9.35,0.0,0.0,9.62,9.62,9.62,0.0,0.0,9.34,9.34,9.34,0.0,0.0,9.5,9.5,9.5,0.0,0.0
2016-02-14,9.94,9.94,9.94,0.0,0.0,9.94,9.94,9.94,0.0,0.0,9.75,9.75,9.75,0.0,0.0,9.93,9.93,9.93,0.0,0.0
2016-02-21,10.11,10.11,10.11,0.0,0.0,10.48,10.48,10.48,0.0,0.0,10.1,10.1,10.1,0.0,0.0,10.31,10.31,10.31,0.0,0.0
2016-02-28,11.61,11.61,11.61,0.0,0.0,12.69,12.69,12.69,0.0,0.0,11.61,11.61,11.61,0.0,0.0,12.23,12.23,12.23,0.0,0.0
2016-03-06,11.86,11.86,11.86,0.0,0.0,12.17,12.17,12.17,0.0,0.0,11.8,11.8,11.8,0.0,0.0,12.09,12.09,12.09,0.0,0.0
2016-03-13,12.48,12.48,12.48,0.0,0.0,12.48,12.48,12.48,0.0,0.0,11.88,11.88,11.88,0.0,0.0,12.0,12.0,12.0,0.0,0.0
2016-03-20,11.34,11.34,11.34,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.34,11.34,11.34,0.0,0.0,11.53,11.53,11.53,0.0,0.0
2016-03-27,11.6,11.6,11.6,0.0,0.0,11.6,11.6,11.6,0.0,0.0,11.25,11.25,11.25,0.0,0.0,11.28,11.28,11.28,0.0,0.0
