Date,JKHY_stock_Open_average,JKHY_stock_Open_max,JKHY_stock_Open_min,JKHY_stock_Open_volatility,JKHY_stock_Open_change,JKHY_stock_High_average,JKHY_stock_High_max,JKHY_stock_High_min,JKHY_stock_High_volatility,JKHY_stock_High_change,JKHY_stock_Low_average,JKHY_stock_Low_max,JKHY_stock_Low_min,JKHY_stock_Low_volatility,JKHY_stock_Low_change,JKHY_stock_Close_average,JKHY_stock_Close_max,JKHY_stock_Close_min,JKHY_stock_Close_volatility,JKHY_stock_Close_change,JKHY_stock_Volume_average,JKHY_stock_Volume_max,JKHY_stock_Volume_min,JKHY_stock_Volume_volatility,JKHY_stock_Volume_change
2016-01-03,76.792,77.07,76.57,0.5,0.25,77.44200000000001,78.01,76.83,1.1800000000000068,0.45000000000000284,76.338,76.82,76.0,0.8199999999999932,0.2600000000000051,77.044,77.71,76.45,1.259999999999991,-0.0799999999999983,521054,702156,376254,325902,200254
2016-01-10,76.738,78.05,75.64,2.4099999999999966,-1.2999999999999972,77.728,78.08,77.18,0.8999999999999915,0.6999999999999886,75.676,76.8,74.03,2.769999999999996,-2.319999999999993,76.412,77.9,74.53,3.3700000000000045,-2.200000000000003,716399,842024,599953,242071,-23048
2016-01-17,75.71000000000001,77.51,74.68,2.8299999999999983,2.1400000000000006,76.8325,78.74,75.56,3.1799999999999926,2.7099999999999937,74.91499999999999,76.99,73.19,3.799999999999997,2.4299999999999926,76.4075,78.32,75.14,3.1799999999999926,2.6999999999999886,730207,895571,516955,378616,352748
2016-01-24,78.142,78.88,77.51,1.3699999999999903,0.6899999999999977,79.088,81.28,78.11,3.1700000000000017,2.989999999999995,76.824,78.39,75.0,3.3900000000000006,1.2199999999999989,78.522,81.18,77.38,3.8000000000000114,3.8000000000000114,543978,777916,430991,346925,243556
2016-01-31,80.416,81.22,79.44,1.7800000000000011,-1.4699999999999989,81.256,82.89,79.8,3.0900000000000034,-2.269999999999996,78.776,80.85,76.07,4.780000000000001,-2.8299999999999983,80.05799999999999,81.34,78.61,2.730000000000004,-2.730000000000004,681189,996771,530304,466467,141679
2016-02-07,76.83800000000001,77.98,75.61,2.3700000000000045,-0.480000000000004,78.084,79.44,77.11,2.3299999999999983,1.269999999999996,76.112,77.05,75.0,2.049999999999997,0.9599999999999937,77.354,79.29,76.57,2.720000000000013,2.720000000000013,548338,675364,357867,317497,-22766
2016-02-14,81.0575,82.01,80.45,1.5600000000000023,1.4699999999999989,82.11,83.29,81.32,1.970000000000013,1.970000000000013,80.48750000000001,81.79,79.58,2.210000000000008,1.25,81.5275,83.01,80.02,2.990000000000009,2.0400000000000063,585693,824106,389004,435102,-435102
2016-02-21,83.82166666666667,84.75,83.18,1.5699999999999932,-0.480000000000004,84.36166666666666,85.03,83.21,1.8200000000000074,-1.490000000000009,83.14,83.62,82.38,1.240000000000009,-0.4200000000000017,83.77333333333333,84.41,83.21,1.2000000000000028,-1.0900000000000034,628533,904968,276251,628717,157187
2016-02-28,82.524,83.17,81.92,1.25,-1.0900000000000034,82.87,83.75,82.3,1.4500000000000028,-1.3199999999999932,81.55,82.14,81.01,1.1299999999999955,-1.1299999999999955,82.282,82.75,82.1,0.6500000000000057,-0.03999999999999204,521238,689948,406798,283150,-171078
2016-03-06,81.376,81.79,81.14,0.6500000000000057,-0.6500000000000057,81.964,82.17,81.59,0.5799999999999983,-0.07000000000000739,80.954,81.39,80.71,0.6800000000000068,-0.45000000000000284,81.28399999999999,81.94,80.99,0.9500000000000028,-0.5600000000000023,497034,909676,298114,611562,-46266
2016-03-13,81.42,82.48,80.87,1.6099999999999994,1.5300000000000011,82.394,83.26,81.4,1.8599999999999994,1.5899999999999892,81.208,81.84,80.66,1.1800000000000068,1.1599999999999966,82.038,82.86,81.2,1.6599999999999966,1.5999999999999943,500157,817908,272835,545073,-176352
2016-03-20,82.69,82.94,82.55,0.39000000000000057,-0.10999999999999943,83.215,83.34,83.11,0.23000000000000398,-0.10999999999999943,82.395,82.56,82.3,0.2600000000000051,0.12000000000000455,82.9125,82.99,82.77,0.21999999999999886,0.21999999999999886,259648,315913,208799,107114,-22465
2016-03-27,84.022,85.71,82.66,3.049999999999997,1.3199999999999932,85.142,86.23,83.4,2.8299999999999983,1.9799999999999898,83.696,84.62,82.58,2.0400000000000063,1.4099999999999966,84.628,85.96,83.02,2.9399999999999977,2.1099999999999994,533873,901119,256886,644233,411996
2016-04-03,83.986,85.08,83.33,1.75,-0.9399999999999977,84.45,85.2,83.96,1.240000000000009,-0.7000000000000028,83.394,83.98,83.04,0.9399999999999977,-0.6300000000000097,83.848,84.41,83.49,0.9200000000000017,-0.6099999999999994,387816,543233,251833,291400,-70215
2016-04-10,82.896,84.1,82.35,1.75,-1.75,83.194,84.61,82.7,1.9099999999999966,-1.9099999999999966,81.956,82.6,81.5,1.0999999999999943,-0.6099999999999994,82.408,82.66,82.17,0.4899999999999949,-0.25,355384,385100,314028,71072,55949
2016-04-17,82.67999999999999,83.16,81.91,1.25,0.14000000000000057,83.10000000000001,83.7,82.48,1.2199999999999989,-0.1700000000000017,82.024,82.57,81.26,1.309999999999988,-0.6499999999999915,82.574,83.33,81.88,1.4500000000000028,-0.5900000000000034,325081,361415,255942,105473,-58757
2016-04-24,81.926,82.09,81.78,0.3100000000000023,0.060000000000002274,82.526,82.99,81.86,1.1299999999999955,-0.4899999999999949,81.198,81.72,80.66,1.0600000000000023,-0.3200000000000074,81.844,82.23,81.03,1.2000000000000028,-0.8599999999999994,326936,370272,261434,108838,-75380
2016-05-01,81.834,83.37,80.49,2.8800000000000097,1.6400000000000006,83.384,84.13,82.39,1.7399999999999949,1.4200000000000017,81.432,82.76,80.44,2.3200000000000074,1.1800000000000068,82.658,83.6,81.45,2.1499999999999915,1.25,474980,678763,360573,318190,-4589
2016-05-08,84.09,84.6,83.54,1.059999999999988,0.5,84.664,84.89,84.46,0.4300000000000068,-0.05000000000001137,83.406,83.97,82.6,1.3700000000000045,0.6300000000000097,84.112,84.75,83.59,1.1599999999999966,-0.4099999999999966,373751,680612,200330,480282,-10164
