Date,First Trust RBA American Industrial RenaissanceEtf_Open_average,First Trust RBA American Industrial RenaissanceEtf_Open_max,First Trust RBA American Industrial RenaissanceEtf_Open_min,First Trust RBA American Industrial RenaissanceEtf_Open_volatility,First Trust RBA American Industrial RenaissanceEtf_Open_change,First Trust RBA American Industrial RenaissanceEtf_High_average,First Trust RBA American Industrial RenaissanceEtf_High_max,First Trust RBA American Industrial RenaissanceEtf_High_min,First Trust RBA American Industrial RenaissanceEtf_High_volatility,First Trust RBA American Industrial RenaissanceEtf_High_change,First Trust RBA American Industrial RenaissanceEtf_Low_average,First Trust RBA American Industrial RenaissanceEtf_Low_max,First Trust RBA American Industrial RenaissanceEtf_Low_min,First Trust RBA American Industrial RenaissanceEtf_Low_volatility,First Trust RBA American Industrial RenaissanceEtf_Low_change,First Trust RBA American Industrial RenaissanceEtf_Close_average,First Trust RBA American Industrial RenaissanceEtf_Close_max,First Trust RBA American Industrial RenaissanceEtf_Close_min,First Trust RBA American Industrial RenaissanceEtf_Close_volatility,First Trust RBA American Industrial RenaissanceEtf_Close_change
2016-01-03,15.49,15.49,15.49,0.0,0.0,15.49,15.49,15.49,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2016-01-10,14.48,14.48,14.48,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.33,14.33,14.33,0.0,0.0,14.61,14.61,14.61,0.0,0.0
2016-01-17,14.67,14.67,14.67,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.58,14.58,14.58,0.0,0.0
2016-01-24,14.75,14.75,14.75,0.0,0.0,15.19,15.19,15.19,0.0,0.0,14.75,14.75,14.75,0.0,0.0,15.19,15.19,15.19,0.0,0.0
2016-01-31,14.94,14.94,14.94,0.0,0.0,14.97,14.97,14.97,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.77,14.77,14.77,0.0,0.0
2016-02-07,14.42,14.42,14.42,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.24,14.24,14.24,0.0,0.0,14.39,14.39,14.39,0.0,0.0
2016-02-14,14.87,14.87,14.87,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.91,14.91,14.91,0.0,0.0
2016-02-21,15.64,15.64,15.64,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.59,15.59,15.59,0.0,0.0,15.73,15.73,15.73,0.0,0.0
2016-02-28,16.8,16.8,16.8,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.7,16.7,16.7,0.0,0.0
2016-03-06,16.79,16.79,16.79,0.0,0.0,16.96,16.96,16.96,0.0,0.0,16.79,16.79,16.79,0.0,0.0,16.96,16.96,16.96,0.0,0.0
