Date,iShares Core US Growth_etf_Open_average,iShares Core US Growth_etf_Open_max,iShares Core US Growth_etf_Open_min,iShares Core US Growth_etf_Open_volatility,iShares Core US Growth_etf_Open_change,iShares Core US Growth_etf_High_average,iShares Core US Growth_etf_High_max,iShares Core US Growth_etf_High_min,iShares Core US Growth_etf_High_volatility,iShares Core US Growth_etf_High_change,iShares Core US Growth_etf_Low_average,iShares Core US Growth_etf_Low_max,iShares Core US Growth_etf_Low_min,iShares Core US Growth_etf_Low_volatility,iShares Core US Growth_etf_Low_change,iShares Core US Growth_etf_Close_average,iShares Core US Growth_etf_Close_max,iShares Core US Growth_etf_Close_min,iShares Core US Growth_etf_Close_volatility,iShares Core US Growth_etf_Close_change
2016-01-03,38.73,38.73,38.73,0.0,0.0,38.78,38.78,38.78,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.03,38.03,38.03,0.0,0.0
2016-01-10,36.86,36.86,36.86,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.54,36.54,36.54,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2016-01-17,37.54,37.54,37.54,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2016-01-24,37.34,37.34,37.34,0.0,0.0,38.12,38.12,38.12,0.0,0.0,37.34,37.34,37.34,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2016-01-31,37.48,37.48,37.48,0.0,0.0,37.48,37.48,37.48,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2016-02-07,36.13,36.13,36.13,0.0,0.0,36.42,36.42,36.42,0.0,0.0,35.94,35.94,35.94,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2016-02-14,37.41,37.41,37.41,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2016-02-21,38.59,38.59,38.59,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.39,38.39,38.39,0.0,0.0
2016-02-28,39.24,39.24,39.24,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2016-03-06,39.3,39.3,39.3,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2016-03-13,40.19,40.19,40.19,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.17,40.17,40.17,0.0,0.0
2016-03-20,39.63,39.63,39.63,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2016-03-27,40.31,40.31,40.31,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.87,40.87,40.87,0.0,0.0
2016-04-03,40.63,40.63,40.63,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.38,40.38,40.38,0.0,0.0
2016-04-10,41.02,41.02,41.02,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.91,40.91,40.91,0.0,0.0,41.02,41.02,41.02,0.0,0.0
2016-04-17,40.9,40.9,40.9,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2016-04-24,40.31,40.31,40.31,0.0,0.0,40.32,40.32,40.32,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.21,40.21,40.21,0.0,0.0
2016-05-01,39.84,39.84,39.84,0.0,0.0,40.13,40.13,40.13,0.0,0.0,39.76,39.76,39.76,0.0,0.0,40.12,40.12,40.12,0.0,0.0
2016-05-08,40.16,40.16,40.16,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2016-05-15,39.86,39.86,39.86,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2016-05-22,40.81,40.81,40.81,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.98,40.98,40.98,0.0,0.0
2016-05-29,41.2,41.2,41.2,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.92,40.92,40.92,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2016-06-05,41.11,41.11,41.11,0.0,0.0,41.15,41.15,41.15,0.0,0.0,40.87,40.87,40.87,0.0,0.0,40.98,40.98,40.98,0.0,0.0
2016-06-12,40.7,40.7,40.7,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2016-06-19,39.48,39.48,39.48,0.0,0.0,40.38,40.38,40.38,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.75,39.75,39.75,0.0,0.0
2016-06-26,40.87,40.87,40.87,0.0,0.0,41.16,41.16,41.16,0.0,0.0,40.87,40.87,40.87,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2016-07-03,41.19,41.19,41.19,0.0,0.0,41.64,41.64,41.64,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.59,41.59,41.59,0.0,0.0
2016-07-10,42.25,42.25,42.25,0.0,0.0,42.26,42.26,42.26,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2016-07-17,42.28,42.28,42.28,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2016-07-24,42.64,42.64,42.64,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.66,42.66,42.66,0.0,0.0
2016-07-31,42.77,42.77,42.77,0.0,0.0,42.95,42.95,42.95,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2016-08-07,42.89,42.89,42.89,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2016-08-14,42.84,42.84,42.84,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.67,42.67,42.67,0.0,0.0,42.88,42.88,42.88,0.0,0.0
2016-08-21,42.74,42.74,42.74,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2016-08-28,42.77,42.77,42.77,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2016-09-04,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0,41.64,41.64,41.64,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2016-09-11,42.18,42.18,42.18,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.15,42.15,42.15,0.0,0.0
