Date,First Trust ISE Cloud ComputingEtf_Open_average,First Trust ISE Cloud ComputingEtf_Open_max,First Trust ISE Cloud ComputingEtf_Open_min,First Trust ISE Cloud ComputingEtf_Open_volatility,First Trust ISE Cloud ComputingEtf_Open_change,First Trust ISE Cloud ComputingEtf_High_average,First Trust ISE Cloud ComputingEtf_High_max,First Trust ISE Cloud ComputingEtf_High_min,First Trust ISE Cloud ComputingEtf_High_volatility,First Trust ISE Cloud ComputingEtf_High_change,First Trust ISE Cloud ComputingEtf_Low_average,First Trust ISE Cloud ComputingEtf_Low_max,First Trust ISE Cloud ComputingEtf_Low_min,First Trust ISE Cloud ComputingEtf_Low_volatility,First Trust ISE Cloud ComputingEtf_Low_change,First Trust ISE Cloud ComputingEtf_Close_average,First Trust ISE Cloud ComputingEtf_Close_max,First Trust ISE Cloud ComputingEtf_Close_min,First Trust ISE Cloud ComputingEtf_Close_volatility,First Trust ISE Cloud ComputingEtf_Close_change
2016-01-03,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.02,28.02,28.02,0.0,0.0
2016-01-10,27.0,27.0,27.0,0.0,0.0,27.15,27.15,27.15,0.0,0.0,26.62,26.62,26.62,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2016-01-17,26.98,26.98,26.98,0.0,0.0,27.31,27.31,27.31,0.0,0.0,26.98,26.98,26.98,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2016-01-24,26.8,26.8,26.8,0.0,0.0,27.34,27.34,27.34,0.0,0.0,26.8,26.8,26.8,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2016-01-31,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2016-02-07,25.24,25.24,25.24,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2016-02-14,26.49,26.49,26.49,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2016-02-21,27.69,27.69,27.69,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2016-02-28,28.25,28.25,28.25,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2016-03-06,28.05,28.05,28.05,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2016-03-13,29.19,29.19,29.19,0.0,0.0,29.2,29.2,29.2,0.0,0.0,28.99,28.99,28.99,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2016-03-20,28.66,28.66,28.66,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.92,28.92,28.92,0.0,0.0
2016-03-27,29.54,29.54,29.54,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2016-04-03,29.52,29.52,29.52,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.26,29.26,29.26,0.0,0.0
