Date,iShares MSCI Kokusai_etf_Open_average,iShares MSCI Kokusai_etf_Open_max,iShares MSCI Kokusai_etf_Open_min,iShares MSCI Kokusai_etf_Open_volatility,iShares MSCI Kokusai_etf_Open_change,iShares MSCI Kokusai_etf_High_average,iShares MSCI Kokusai_etf_High_max,iShares MSCI Kokusai_etf_High_min,iShares MSCI Kokusai_etf_High_volatility,iShares MSCI Kokusai_etf_High_change,iShares MSCI Kokusai_etf_Low_average,iShares MSCI Kokusai_etf_Low_max,iShares MSCI Kokusai_etf_Low_min,iShares MSCI Kokusai_etf_Low_volatility,iShares MSCI Kokusai_etf_Low_change,iShares MSCI Kokusai_etf_Close_average,iShares MSCI Kokusai_etf_Close_max,iShares MSCI Kokusai_etf_Close_min,iShares MSCI Kokusai_etf_Close_volatility,iShares MSCI Kokusai_etf_Close_change
2016-01-03,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2016-01-10,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2016-01-17,48.16,48.16,48.16,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.27,48.27,48.27,0.0,0.0
2016-01-24,48.51,48.51,48.51,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2016-01-31,48.51,48.51,48.51,0.0,0.0,48.51,48.51,48.51,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.53,47.53,47.53,0.0,0.0
2016-02-07,46.62,46.62,46.62,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.21,46.21,46.21,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2016-02-14,48.41,48.41,48.41,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.42,48.42,48.42,0.0,0.0
2016-02-21,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2016-02-28,50.31,50.31,50.31,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2016-03-06,50.75,50.75,50.75,0.0,0.0,51.37,51.37,51.37,0.0,0.0,50.75,50.75,50.75,0.0,0.0,51.36,51.36,51.36,0.0,0.0
2016-03-13,52.04,52.04,52.04,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.04,52.04,52.04,0.0,0.0
2016-03-20,50.76,50.76,50.76,0.0,0.0,51.09,51.09,51.09,0.0,0.0,50.76,50.76,50.76,0.0,0.0,51.09,51.09,51.09,0.0,0.0
