Date,AXTI_stock_Open_average,AXTI_stock_Open_max,AXTI_stock_Open_min,AXTI_stock_Open_volatility,AXTI_stock_Open_change,AXTI_stock_High_average,AXTI_stock_High_max,AXTI_stock_High_min,AXTI_stock_High_volatility,AXTI_stock_High_change,AXTI_stock_Low_average,AXTI_stock_Low_max,AXTI_stock_Low_min,AXTI_stock_Low_volatility,AXTI_stock_Low_change,AXTI_stock_Close_average,AXTI_stock_Close_max,AXTI_stock_Close_min,AXTI_stock_Close_volatility,AXTI_stock_Close_change,AXTI_stock_Volume_average,AXTI_stock_Volume_max,AXTI_stock_Volume_min,AXTI_stock_Volume_volatility,AXTI_stock_Volume_change
2016-01-03,2.536,2.6,2.45,0.1499999999999999,0.0,2.626,2.67,2.59,0.08000000000000007,-0.040000000000000036,2.492,2.58,2.44,0.14000000000000012,-0.010000000000000231,2.5540000000000003,2.62,2.47,0.1499999999999999,-0.13999999999999968,57122,150891,21959,128932,-87925
2016-01-10,2.47,2.52,2.4,0.1200000000000001,0.020000000000000018,2.524,2.6,2.49,0.10999999999999988,-0.04999999999999982,2.41,2.47,2.35,0.1200000000000001,-0.08999999999999986,2.452,2.5,2.39,0.10999999999999988,-0.10999999999999988,79627,184050,18635,165415,83395
2016-01-17,2.365,2.46,2.29,0.16999999999999993,0.10000000000000009,2.485,2.58,2.44,0.14000000000000012,0.1200000000000001,2.335,2.42,2.28,0.14000000000000012,0.06999999999999984,2.445,2.57,2.35,0.21999999999999975,0.21999999999999975,29373,42385,5893,36492,-4800
2016-01-24,2.536,2.59,2.46,0.1299999999999999,-0.029999999999999805,2.592,2.61,2.58,0.029999999999999805,0.009999999999999787,2.46,2.51,2.4,0.10999999999999988,0.10999999999999988,2.48,2.53,2.41,0.11999999999999966,0.09999999999999964,34262,58426,23112,35314,-26559
2016-01-31,2.644,2.84,2.49,0.34999999999999964,0.31000000000000005,2.7800000000000002,2.97,2.56,0.41000000000000014,0.27,2.608,2.77,2.48,0.29000000000000004,0.2400000000000002,2.7079999999999997,2.84,2.5,0.33999999999999986,0.2799999999999998,98769,241511,28554,212957,-22227
2016-02-07,2.7479999999999998,2.78,2.7,0.07999999999999963,-0.06000000000000005,2.758,2.79,2.71,0.08000000000000007,-0.029999999999999805,2.612,2.71,2.52,0.18999999999999995,0.020000000000000018,2.692,2.78,2.63,0.1499999999999999,-0.0900000000000003,50949,184495,5033,179462,-38321
2016-02-14,2.6525,2.68,2.63,0.050000000000000266,0.03000000000000025,2.73,2.76,2.66,0.09999999999999964,-0.09999999999999964,2.5975,2.62,2.58,0.040000000000000036,-0.040000000000000036,2.635,2.67,2.59,0.08000000000000007,-0.040000000000000036,7620,8876,6322,2554,1706
2016-02-21,2.652,2.75,2.57,0.18000000000000016,0.050000000000000266,2.754,2.78,2.73,0.04999999999999982,-0.029999999999999805,2.59,2.66,2.53,0.13000000000000034,-0.010000000000000231,2.656,2.73,2.56,0.16999999999999993,-0.1499999999999999,37470,81392,12795,68597,-60570
2016-02-28,2.594,2.69,2.49,0.19999999999999973,0.17000000000000037,2.678,2.75,2.57,0.18000000000000016,0.1200000000000001,2.53,2.59,2.48,0.10999999999999988,0.020000000000000018,2.592,2.68,2.51,0.17000000000000037,0.06000000000000005,42980,88252,7980,80272,-14843
2016-03-06,2.676,2.85,2.53,0.3200000000000003,0.15000000000000036,2.802,2.92,2.7,0.21999999999999975,0.10999999999999988,2.642,2.71,2.52,0.18999999999999995,0.1499999999999999,2.706,2.8,2.66,0.13999999999999968,0.020000000000000018,53507,130420,13143,117277,-38192
