Date,iShares Core MSCI EuropeEtf_Open_average,iShares Core MSCI EuropeEtf_Open_max,iShares Core MSCI EuropeEtf_Open_min,iShares Core MSCI EuropeEtf_Open_volatility,iShares Core MSCI EuropeEtf_Open_change,iShares Core MSCI EuropeEtf_High_average,iShares Core MSCI EuropeEtf_High_max,iShares Core MSCI EuropeEtf_High_min,iShares Core MSCI EuropeEtf_High_volatility,iShares Core MSCI EuropeEtf_High_change,iShares Core MSCI EuropeEtf_Low_average,iShares Core MSCI EuropeEtf_Low_max,iShares Core MSCI EuropeEtf_Low_min,iShares Core MSCI EuropeEtf_Low_volatility,iShares Core MSCI EuropeEtf_Low_change,iShares Core MSCI EuropeEtf_Close_average,iShares Core MSCI EuropeEtf_Close_max,iShares Core MSCI EuropeEtf_Close_min,iShares Core MSCI EuropeEtf_Close_volatility,iShares Core MSCI EuropeEtf_Close_change
2016-01-03,40.19,40.19,40.19,0.0,0.0,40.32,40.32,40.32,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.46,39.46,39.46,0.0,0.0
2016-01-10,38.26,38.26,38.26,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2016-01-17,39.23,39.23,39.23,0.0,0.0,39.23,39.23,39.23,0.0,0.0,38.72,38.72,38.72,0.0,0.0,39.01,39.01,39.01,0.0,0.0
2016-01-24,39.21,39.21,39.21,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2016-01-31,39.08,39.08,39.08,0.0,0.0,39.12,39.12,39.12,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2016-02-07,37.39,37.39,37.39,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.68,37.68,37.68,0.0,0.0
2016-02-14,38.54,38.54,38.54,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.88,38.88,38.88,0.0,0.0
2016-02-21,38.95,38.95,38.95,0.0,0.0,38.95,38.95,38.95,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2016-02-28,40.23,40.23,40.23,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2016-03-06,40.76,40.76,40.76,0.0,0.0,41.07,41.07,41.07,0.0,0.0,40.65,40.65,40.65,0.0,0.0,41.02,41.02,41.02,0.0,0.0
2016-03-13,41.33,41.33,41.33,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.18,41.18,41.18,0.0,0.0,41.38,41.38,41.38,0.0,0.0
2016-03-20,40.1,40.1,40.1,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.24,40.24,40.24,0.0,0.0
2016-03-27,40.34,40.34,40.34,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.77,40.77,40.77,0.0,0.0
2016-04-03,40.61,40.61,40.61,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2016-04-10,41.57,41.57,41.57,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2016-04-17,42.18,42.18,42.18,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2016-04-24,42.55,42.55,42.55,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2016-05-01,40.93,40.93,40.93,0.0,0.0,41.34,41.34,41.34,0.0,0.0,40.8,40.8,40.8,0.0,0.0,41.29,41.29,41.29,0.0,0.0
