Date,BREW_stock_Open_average,BREW_stock_Open_max,BREW_stock_Open_min,BREW_stock_Open_volatility,BREW_stock_Open_change,BREW_stock_High_average,BREW_stock_High_max,BREW_stock_High_min,BREW_stock_High_volatility,BREW_stock_High_change,BREW_stock_Low_average,BREW_stock_Low_max,BREW_stock_Low_min,BREW_stock_Low_volatility,BREW_stock_Low_change,BREW_stock_Close_average,BREW_stock_Close_max,BREW_stock_Close_min,BREW_stock_Close_volatility,BREW_stock_Close_change,BREW_stock_Volume_average,BREW_stock_Volume_max,BREW_stock_Volume_min,BREW_stock_Volume_volatility,BREW_stock_Volume_change
2016-03-13,8.34,8.55,8.15,0.40000000000000036,0.20000000000000107,8.516,8.81,8.31,0.5,0.41000000000000014,8.254,8.5,8.1,0.40000000000000036,0.22000000000000064,8.392,8.64,8.1,0.5400000000000009,0.33999999999999986,29874,48556,15897,32659,32659
2016-03-20,8.59,8.8,8.44,0.3600000000000012,-0.120000000000001,8.7675,8.93,8.67,0.2599999999999998,0.0,8.49,8.55,8.37,0.1800000000000015,-0.1800000000000015,8.6275,8.82,8.51,0.3100000000000005,0.03999999999999915,17463,25261,9080,16181,-5124
2016-03-27,8.502,8.67,8.17,0.5,-0.5,8.568,8.76,8.34,0.41999999999999993,-0.370000000000001,8.266,8.41,8.04,0.370000000000001,-0.370000000000001,8.422,8.6,8.23,0.3699999999999992,-0.33000000000000007,32663,41755,23129,18626,-8239
2016-04-03,8.208,8.32,8.14,0.17999999999999972,-0.16000000000000014,8.358,8.5,8.16,0.33999999999999986,-0.17999999999999972,8.008000000000001,8.13,7.83,0.3000000000000007,-0.3000000000000007,8.16,8.38,7.98,0.40000000000000036,-0.1999999999999993,39700,88636,23471,65165,1453
2016-04-10,7.942,8.0,7.88,0.1200000000000001,-0.1200000000000001,8.024,8.16,7.93,0.23000000000000043,-0.23000000000000043,7.824,7.95,7.63,0.3200000000000003,-0.10000000000000053,7.924,7.99,7.88,0.11000000000000032,-0.08999999999999986,20448,36456,12430,24026,-5228
2016-04-17,8.16,8.29,7.96,0.3299999999999992,0.07999999999999918,8.290000000000001,8.42,8.13,0.28999999999999915,-0.11999999999999922,8.026,8.25,7.85,0.40000000000000036,-0.040000000000000036,8.184,8.34,7.99,0.34999999999999964,-0.16000000000000014,30605,42554,18085,24469,-2461
2016-04-24,8.46,8.64,8.15,0.4900000000000002,0.4900000000000002,8.588,8.7,8.32,0.379999999999999,0.33000000000000007,8.34,8.6,8.01,0.5899999999999999,0.3800000000000008,8.516,8.61,8.3,0.3099999999999987,0.21999999999999886,30734,50670,12680,37990,13034
2016-05-01,8.14,8.52,7.75,0.7699999999999996,-0.6999999999999993,8.32,8.65,7.97,0.6800000000000006,-0.6800000000000006,8.078,8.43,7.75,0.6799999999999997,-0.6099999999999994,8.188,8.49,7.88,0.6100000000000003,-0.5899999999999999,36849,83620,15901,67719,-4304
2016-05-08,7.984,8.2,7.86,0.33999999999999897,-0.009999999999999787,8.132,8.31,8.01,0.3000000000000007,0.02999999999999936,7.872,8.0,7.64,0.3600000000000003,-0.23000000000000043,7.95,8.15,7.7,0.4500000000000002,-0.29000000000000004,29566,40083,17375,22708,22708
2016-05-15,7.684,7.8,7.61,0.1899999999999995,-0.1299999999999999,7.82,7.91,7.77,0.14000000000000057,-0.08999999999999986,7.56,7.72,7.5,0.21999999999999975,-0.16000000000000014,7.676,7.81,7.56,0.25,-0.07999999999999918,31694,50169,15362,34807,-18326
2016-05-22,8.652,9.41,7.73,1.6799999999999997,1.6799999999999997,9.13,9.74,7.92,1.8200000000000003,1.8200000000000003,8.406,9.13,7.67,1.4600000000000009,0.9399999999999995,9.033999999999999,9.67,7.87,1.7999999999999998,1.7999999999999998,129927,294928,54376,240552,12118
2016-05-29,9.5975,9.67,9.43,0.2400000000000002,0.02999999999999936,9.785,10.0,9.64,0.35999999999999943,0.35999999999999943,9.325,9.63,9.13,0.5,0.049999999999998934,9.6825,9.87,9.48,0.3899999999999988,0.3899999999999988,51825,85884,27547,58337,-38213
2016-06-05,10.204,10.7,9.8,0.8999999999999986,0.14999999999999858,10.416,10.75,9.95,0.8000000000000007,-0.05000000000000071,9.834,10.38,9.47,0.9100000000000001,0.06999999999999851,10.13,10.68,9.61,1.0700000000000003,-0.28000000000000114,89892,150310,48406,101904,-44216
2016-06-12,9.8,10.1,9.5,0.5999999999999996,0.41000000000000014,10.049999999999999,10.2,9.83,0.3699999999999992,0.08000000000000007,9.602,9.94,9.32,0.6199999999999992,0.25,9.87,10.07,9.68,0.39000000000000057,0.11999999999999922,70801,91586,47746,43840,10211
2016-06-19,10.092,10.25,9.87,0.3800000000000008,-0.33000000000000007,10.276,10.38,10.06,0.3200000000000003,-0.28999999999999915,9.916,10.06,9.61,0.45000000000000107,-0.45000000000000107,10.056,10.32,9.63,0.6899999999999995,-0.5599999999999987,73930,230722,25430,205292,192361
2016-06-26,10.318,11.5,9.65,1.8499999999999996,1.8499999999999996,10.698,11.58,9.78,1.8000000000000007,1.7200000000000006,10.128,10.94,9.47,1.4699999999999989,1.4699999999999989,10.528,11.52,9.7,1.8200000000000003,1.290000000000001,89541,198554,39685,158869,44508
2016-07-03,10.9025,11.13,10.67,0.46000000000000085,0.19000000000000128,11.2475,11.9,10.95,0.9500000000000011,0.9500000000000011,10.6825,10.99,10.43,0.5600000000000005,0.5600000000000005,11.085,11.82,10.69,1.1300000000000008,1.1300000000000008,61996,93281,48306,44975,44975
2016-07-10,12.241999999999999,12.89,11.78,1.1100000000000012,0.4900000000000002,12.566,12.97,12.23,0.7400000000000002,-0.25,11.964,12.23,11.78,0.45000000000000107,0.14000000000000057,12.236,12.69,12.06,0.629999999999999,-0.07000000000000028,75400,126909,50024,76885,-76885
2016-07-17,11.916,12.17,11.75,0.41999999999999993,-0.41999999999999993,12.12,12.27,12.01,0.2599999999999998,-0.1899999999999995,11.738,11.9,11.66,0.2400000000000002,-0.15000000000000036,11.908,12.12,11.72,0.3999999999999986,-0.02999999999999936,36436,44928,30568,14360,-5012
2016-07-24,12.0,12.27,11.76,0.5099999999999998,0.019999999999999574,12.176,12.33,11.99,0.33999999999999986,-0.2400000000000002,11.772,12.08,11.54,0.5400000000000009,-0.07000000000000028,11.952,12.21,11.74,0.47000000000000064,-0.379999999999999,35283,43701,24636,19065,-13198
2016-07-31,11.948,13.54,11.46,2.0799999999999983,1.7899999999999991,12.814,15.27,11.6,3.67,3.469999999999999,11.588000000000001,13.05,10.89,2.16,1.75,12.616,15.08,11.33,3.75,3.75,199323,543285,39333,503952,503952
2016-08-07,15.326,15.86,14.67,1.1899999999999995,0.41999999999999993,15.906,16.05,15.47,0.5800000000000001,-0.5400000000000009,14.824,15.38,14.43,0.9500000000000011,0.15000000000000036,15.384,15.99,14.64,1.3499999999999996,-0.7400000000000002,187262,339566,60183,279383,-279383
2016-08-14,14.338,15.2,13.94,1.2599999999999998,-1.1999999999999993,14.56,15.21,14.05,1.1600000000000001,-0.8800000000000008,13.922,14.12,13.68,0.4399999999999995,-0.1899999999999995,14.174,14.43,13.97,0.4599999999999991,0.049999999999998934,78797,138639,46755,91884,-47350
2016-08-21,16.227999999999998,19.0,14.27,4.73,4.73,17.490000000000002,20.51,14.68,5.830000000000002,5.830000000000002,16.076,18.98,14.23,4.75,4.75,17.066,19.9,14.39,5.509999999999998,5.509999999999998,603591,1379677,35996,1343681,840415
2016-08-28,20.354,21.69,19.45,2.240000000000002,-0.7800000000000011,21.048,22.4,19.95,2.4499999999999993,-1.3399999999999999,19.446,20.1,18.72,1.3800000000000026,-0.870000000000001,20.198,21.38,19.41,1.9699999999999989,-1.379999999999999,432420,619483,288677,330806,-295128
2016-09-04,19.57,20.27,19.25,1.0199999999999996,-1.0199999999999996,19.915,20.75,19.33,1.4200000000000017,-1.4200000000000017,19.035,19.34,18.8,0.5399999999999991,-0.5399999999999991,19.4225,19.66,19.11,0.5500000000000007,-0.5500000000000007,251616,295858,185352,110506,53230
2016-09-11,19.658,20.33,19.0,1.3299999999999983,1.3299999999999983,20.39,21.0,19.83,1.1700000000000017,0.5800000000000018,19.282,19.65,18.77,0.879999999999999,0.8099999999999987,19.878,20.32,19.54,0.7800000000000011,0.1700000000000017,315128,389414,231080,158334,121175
2016-09-18,19.378,19.73,19.14,0.5899999999999999,-0.120000000000001,19.866,21.18,19.2,1.9800000000000004,1.3099999999999987,19.034,19.61,18.78,0.8299999999999983,0.8099999999999987,19.416,20.27,18.96,1.3099999999999987,1.2300000000000004,219947,482830,114366,368464,294560
