Date,SFL_stock_Open_average,SFL_stock_Open_max,SFL_stock_Open_min,SFL_stock_Open_volatility,SFL_stock_Open_change,SFL_stock_High_average,SFL_stock_High_max,SFL_stock_High_min,SFL_stock_High_volatility,SFL_stock_High_change,SFL_stock_Low_average,SFL_stock_Low_max,SFL_stock_Low_min,SFL_stock_Low_volatility,SFL_stock_Low_change,SFL_stock_Close_average,SFL_stock_Close_max,SFL_stock_Close_min,SFL_stock_Close_volatility,SFL_stock_Close_change,SFL_stock_Volume_average,SFL_stock_Volume_max,SFL_stock_Volume_min,SFL_stock_Volume_volatility,SFL_stock_Volume_change
2016-01-03,15.938,16.33,15.42,0.9099999999999984,-0.9099999999999984,16.082,16.44,15.68,0.7600000000000016,-0.7600000000000016,15.742,16.03,15.38,0.6500000000000004,-0.6500000000000004,15.858,16.23,15.47,0.7599999999999998,-0.75,778852,1223303,529110,694193,274400
2016-01-10,14.832,15.5,13.99,1.5099999999999998,-1.5099999999999998,14.870000000000001,15.54,13.99,1.549999999999999,-1.549999999999999,14.108,15.15,13.09,2.0600000000000005,-2.0600000000000005,14.354,15.3,13.4,1.9000000000000004,-1.9000000000000004,1937974,4321407,1015684,3305723,755608
2016-01-17,12.57,13.6,12.04,1.5600000000000005,-1.25,12.77,13.6,12.3,1.299999999999999,-0.9000000000000004,12.087499999999999,12.6,11.54,1.0600000000000005,-0.3200000000000003,12.35,12.66,12.04,0.620000000000001,-0.05000000000000071,1902931,2271876,1568770,703106,-360879
2016-01-24,12.838,13.26,12.36,0.9000000000000004,0.8100000000000005,13.128,13.51,12.71,0.7999999999999989,0.7999999999999989,12.682,13.19,12.25,0.9399999999999995,0.8699999999999992,12.948,13.39,12.36,1.0300000000000011,1.0300000000000011,1107878,1342940,879840,463100,-178767
2016-01-31,13.18,13.35,13.05,0.29999999999999893,-0.1899999999999995,13.352,13.52,13.15,0.3699999999999992,-0.2400000000000002,12.934,13.07,12.68,0.39000000000000057,-0.0600000000000005,13.172,13.46,12.97,0.4900000000000002,-0.23000000000000043,801008,1187307,591965,595342,-227597
2016-02-07,11.620000000000001,13.0,9.88,3.119999999999999,-2.5600000000000005,12.17,13.09,10.7,2.3900000000000006,-1.1600000000000001,11.094,12.29,9.83,2.459999999999999,-1.8499999999999996,11.572,12.74,10.31,2.4299999999999997,-0.9500000000000011,2089088,2891064,1253014,1638050,-345489
2016-02-14,12.4075,13.16,12.01,1.1500000000000004,0.370000000000001,12.6775,13.18,12.08,1.0999999999999996,0.33000000000000007,11.89,12.16,11.47,0.6899999999999995,0.379999999999999,12.39,12.97,12.06,0.9100000000000001,0.08999999999999986,1138706,1351007,729619,621388,-621388
2016-02-21,12.37,12.68,12.0,0.6799999999999997,0.40000000000000036,12.63,12.88,12.41,0.47000000000000064,0.2400000000000002,12.124,12.42,11.76,0.6600000000000001,0.16999999999999993,12.458,12.61,12.13,0.47999999999999865,0.05000000000000071,705118,929121,607128,321993,321993
2016-02-28,13.508000000000001,13.97,13.1,0.870000000000001,0.870000000000001,13.815999999999999,14.7,13.22,1.4799999999999986,1.4799999999999986,13.252,13.94,12.48,1.459999999999999,1.459999999999999,13.693999999999999,14.48,13.03,1.450000000000001,1.450000000000001,1341241,1734417,1081351,653066,445222
2016-03-06,14.47,14.76,13.87,0.8900000000000006,-0.02999999999999936,14.6,14.97,14.23,0.7400000000000002,-0.20000000000000107,13.968,14.56,13.6,0.9600000000000009,-0.23000000000000043,14.2,14.75,13.78,0.9700000000000006,-0.3800000000000008,1328445,1706179,1064158,642021,-431355
