Date,BioShares Biotechnology Products_etf_Open_average,BioShares Biotechnology Products_etf_Open_max,BioShares Biotechnology Products_etf_Open_min,BioShares Biotechnology Products_etf_Open_volatility,BioShares Biotechnology Products_etf_Open_change,BioShares Biotechnology Products_etf_High_average,BioShares Biotechnology Products_etf_High_max,BioShares Biotechnology Products_etf_High_min,BioShares Biotechnology Products_etf_High_volatility,BioShares Biotechnology Products_etf_High_change,BioShares Biotechnology Products_etf_Low_average,BioShares Biotechnology Products_etf_Low_max,BioShares Biotechnology Products_etf_Low_min,BioShares Biotechnology Products_etf_Low_volatility,BioShares Biotechnology Products_etf_Low_change,BioShares Biotechnology Products_etf_Close_average,BioShares Biotechnology Products_etf_Close_max,BioShares Biotechnology Products_etf_Close_min,BioShares Biotechnology Products_etf_Close_volatility,BioShares Biotechnology Products_etf_Close_change
2016-01-03,27.74,27.74,27.74,0.0,0.0,28.06,28.06,28.06,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2016-01-10,24.76,24.76,24.76,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.97,24.97,24.97,0.0,0.0
2016-01-17,25.7,25.7,25.7,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2016-01-24,23.54,23.54,23.54,0.0,0.0,24.14,24.14,24.14,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2016-01-31,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.12,23.12,23.12,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2016-02-07,22.47,22.47,22.47,0.0,0.0,22.47,22.47,22.47,0.0,0.0,21.58,21.58,21.58,0.0,0.0,22.34,22.34,22.34,0.0,0.0
2016-02-14,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0,22.83,22.83,22.83,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2016-02-21,22.92,22.92,22.92,0.0,0.0,23.24,23.24,23.24,0.0,0.0,22.92,22.92,22.92,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2016-02-28,24.44,24.44,24.44,0.0,0.0,25.09,25.09,25.09,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2016-03-06,24.22,24.22,24.22,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2016-03-13,22.99,22.99,22.99,0.0,0.0,23.65,23.65,23.65,0.0,0.0,22.88,22.88,22.88,0.0,0.0,23.52,23.52,23.52,0.0,0.0
2016-03-20,23.33,23.33,23.33,0.0,0.0,24.16,24.16,24.16,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2016-03-27,24.19,24.19,24.19,0.0,0.0,25.05,25.05,25.05,0.0,0.0,24.19,24.19,24.19,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2016-04-03,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2016-04-10,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.73,26.73,26.73,0.0,0.0
2016-04-17,27.33,27.33,27.33,0.0,0.0,27.36,27.36,27.36,0.0,0.0,26.92,26.92,26.92,0.0,0.0,27.33,27.33,27.33,0.0,0.0
2016-04-24,26.06,26.06,26.06,0.0,0.0,26.59,26.59,26.59,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2016-05-01,24.72,24.72,24.72,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.59,24.59,24.59,0.0,0.0
2016-05-08,24.02,24.02,24.02,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2016-05-15,25.15,25.15,25.15,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2016-05-22,27.15,27.15,27.15,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.33,27.33,27.33,0.0,0.0
