Date,iShares Broad USD Investment Grade Corporate Bond_etf_Open_average,iShares Broad USD Investment Grade Corporate Bond_etf_Open_max,iShares Broad USD Investment Grade Corporate Bond_etf_Open_min,iShares Broad USD Investment Grade Corporate Bond_etf_Open_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_Open_change,iShares Broad USD Investment Grade Corporate Bond_etf_High_average,iShares Broad USD Investment Grade Corporate Bond_etf_High_max,iShares Broad USD Investment Grade Corporate Bond_etf_High_min,iShares Broad USD Investment Grade Corporate Bond_etf_High_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_High_change,iShares Broad USD Investment Grade Corporate Bond_etf_Low_average,iShares Broad USD Investment Grade Corporate Bond_etf_Low_max,iShares Broad USD Investment Grade Corporate Bond_etf_Low_min,iShares Broad USD Investment Grade Corporate Bond_etf_Low_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_Low_change,iShares Broad USD Investment Grade Corporate Bond_etf_Close_average,iShares Broad USD Investment Grade Corporate Bond_etf_Close_max,iShares Broad USD Investment Grade Corporate Bond_etf_Close_min,iShares Broad USD Investment Grade Corporate Bond_etf_Close_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_Close_change
2016-01-03,106.95,106.95,106.95,0.0,0.0,107.21,107.21,107.21,0.0,0.0,106.85,106.85,106.85,0.0,0.0,107.17,107.17,107.17,0.0,0.0
2016-01-10,106.85,106.85,106.85,0.0,0.0,107.21,107.21,107.21,0.0,0.0,106.38,106.38,106.38,0.0,0.0,106.51,106.51,106.51,0.0,0.0
2016-01-17,105.8,105.8,105.8,0.0,0.0,106.53,106.53,106.53,0.0,0.0,105.8,105.8,105.8,0.0,0.0,106.23,106.23,106.23,0.0,0.0
2016-01-24,107.11,107.11,107.11,0.0,0.0,107.11,107.11,107.11,0.0,0.0,106.81,106.81,106.81,0.0,0.0,106.93,106.93,106.93,0.0,0.0
2016-01-31,106.64,106.64,106.64,0.0,0.0,106.98,106.98,106.98,0.0,0.0,106.36,106.36,106.36,0.0,0.0,106.56,106.56,106.56,0.0,0.0
2016-02-07,106.84,106.84,106.84,0.0,0.0,107.15,107.15,107.15,0.0,0.0,106.75,106.75,106.75,0.0,0.0,106.99,106.99,106.99,0.0,0.0
2016-02-14,106.92,106.92,106.92,0.0,0.0,107.13,107.13,107.13,0.0,0.0,106.89,106.89,106.89,0.0,0.0,107.01,107.01,107.01,0.0,0.0
2016-02-21,107.4,107.4,107.4,0.0,0.0,107.64,107.64,107.64,0.0,0.0,107.38,107.38,107.38,0.0,0.0,107.64,107.64,107.64,0.0,0.0
2016-02-28,107.59,107.59,107.59,0.0,0.0,107.72,107.72,107.72,0.0,0.0,107.36,107.36,107.36,0.0,0.0,107.7,107.7,107.7,0.0,0.0
2016-03-06,108.16,108.16,108.16,0.0,0.0,108.27,108.27,108.27,0.0,0.0,107.99,107.99,107.99,0.0,0.0,108.09,108.09,108.09,0.0,0.0
2016-03-13,109.1,109.1,109.1,0.0,0.0,109.33,109.33,109.33,0.0,0.0,109.1,109.1,109.1,0.0,0.0,109.24,109.24,109.24,0.0,0.0
2016-03-20,109.65,109.65,109.65,0.0,0.0,109.66,109.66,109.66,0.0,0.0,109.31,109.31,109.31,0.0,0.0,109.41,109.41,109.41,0.0,0.0
2016-03-27,110.1,110.1,110.1,0.0,0.0,110.26,110.26,110.26,0.0,0.0,109.73,109.73,109.73,0.0,0.0,110.19,110.19,110.19,0.0,0.0
2016-04-03,110.86,110.86,110.86,0.0,0.0,110.88,110.88,110.88,0.0,0.0,110.62,110.62,110.62,0.0,0.0,110.62,110.62,110.62,0.0,0.0
2016-04-10,110.72,110.72,110.72,0.0,0.0,111.06,111.06,111.06,0.0,0.0,110.61,110.61,110.61,0.0,0.0,111.05,111.05,111.05,0.0,0.0
2016-04-17,111.12,111.12,111.12,0.0,0.0,111.14,111.14,111.14,0.0,0.0,110.97,110.97,110.97,0.0,0.0,111.08,111.08,111.08,0.0,0.0
2016-04-24,111.21,111.21,111.21,0.0,0.0,111.39,111.39,111.39,0.0,0.0,110.99,110.99,110.99,0.0,0.0,111.39,111.39,111.39,0.0,0.0
2016-05-01,111.32,111.32,111.32,0.0,0.0,111.4,111.4,111.4,0.0,0.0,111.19,111.19,111.19,0.0,0.0,111.26,111.26,111.26,0.0,0.0
2016-05-08,111.37,111.37,111.37,0.0,0.0,111.56,111.56,111.56,0.0,0.0,111.2,111.2,111.2,0.0,0.0,111.47,111.47,111.47,0.0,0.0
2016-05-15,110.69,110.69,110.69,0.0,0.0,110.91,110.91,110.91,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.67,110.67,110.67,0.0,0.0
2016-05-22,111.05,111.05,111.05,0.0,0.0,111.05,111.05,111.05,0.0,0.0,110.7,110.7,110.7,0.0,0.0,110.87,110.87,110.87,0.0,0.0
2016-05-29,111.76,111.76,111.76,0.0,0.0,111.76,111.76,111.76,0.0,0.0,111.44,111.44,111.44,0.0,0.0,111.56,111.56,111.56,0.0,0.0
2016-06-05,112.03,112.03,112.03,0.0,0.0,112.32,112.32,112.32,0.0,0.0,111.91,111.91,111.91,0.0,0.0,112.06,112.06,112.06,0.0,0.0
2016-06-12,112.16,112.16,112.16,0.0,0.0,112.28,112.28,112.28,0.0,0.0,112.01,112.01,112.01,0.0,0.0,112.07,112.07,112.07,0.0,0.0
2016-06-19,112.7,112.7,112.7,0.0,0.0,112.7,112.7,112.7,0.0,0.0,112.25,112.25,112.25,0.0,0.0,112.32,112.32,112.32,0.0,0.0
2016-06-26,113.59,113.59,113.59,0.0,0.0,113.69,113.69,113.69,0.0,0.0,113.24,113.24,113.24,0.0,0.0,113.59,113.59,113.59,0.0,0.0
2016-07-03,114.2,114.2,114.2,0.0,0.0,114.79,114.79,114.79,0.0,0.0,114.2,114.2,114.2,0.0,0.0,114.68,114.68,114.68,0.0,0.0
2016-07-10,56.94,56.94,56.94,0.0,0.0,56.98,56.98,56.98,0.0,0.0,56.71,56.71,56.71,0.0,0.0,56.73,56.73,56.73,0.0,0.0
2016-07-17,56.78,56.78,56.78,0.0,0.0,57.05,57.05,57.05,0.0,0.0,56.78,56.78,56.78,0.0,0.0,56.91,56.91,56.91,0.0,0.0
2016-07-24,57.14,57.14,57.14,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.09,57.09,57.09,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2016-07-31,56.9,56.9,56.9,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.64,56.64,56.64,0.0,0.0
2016-08-07,57.13,57.13,57.13,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.1,57.1,57.1,0.0,0.0
2016-08-14,57.03,57.03,57.03,0.0,0.0,57.12,57.12,57.12,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.0,57.0,57.0,0.0,0.0
2016-08-21,57.23,57.23,57.23,0.0,0.0,57.37,57.37,57.37,0.0,0.0,56.97,56.97,56.97,0.0,0.0,56.99,56.99,56.99,0.0,0.0
2016-08-28,57.02,57.02,57.02,0.0,0.0,57.05,57.05,57.05,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.97,56.97,56.97,0.0,0.0
2016-09-04,56.62,56.62,56.62,0.0,0.0,56.62,56.62,56.62,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2016-09-11,56.35,56.35,56.35,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.29,56.29,56.29,0.0,0.0,56.34,56.34,56.34,0.0,0.0
2016-09-18,56.77,56.77,56.77,0.0,0.0,56.87,56.87,56.87,0.0,0.0,56.74,56.74,56.74,0.0,0.0,56.84,56.84,56.84,0.0,0.0
2016-09-25,56.98,56.98,56.98,0.0,0.0,57.03,57.03,57.03,0.0,0.0,56.83,56.83,56.83,0.0,0.0,56.91,56.91,56.91,0.0,0.0
2016-10-02,56.48,56.48,56.48,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.31,56.31,56.31,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2016-10-09,56.37,56.37,56.37,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.33,56.33,56.33,0.0,0.0
2016-10-16,56.64,56.64,56.64,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.53,56.53,56.53,0.0,0.0,56.6,56.6,56.6,0.0,0.0
2016-10-23,56.09,56.09,56.09,0.0,0.0,56.16,56.16,56.16,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.09,56.09,56.09,0.0,0.0
2016-10-30,55.92,55.92,55.92,0.0,0.0,56.1,56.1,56.1,0.0,0.0,55.92,55.92,55.92,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2016-11-06,55.02,55.02,55.02,0.0,0.0,55.02,55.02,55.02,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.8,54.8,54.8,0.0,0.0
2016-11-13,54.7,54.7,54.7,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.4,54.4,54.4,0.0,0.0
2016-11-20,54.44,54.44,54.44,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.27,54.27,54.27,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2016-11-27,54.28,54.28,54.28,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2016-12-04,54.42,54.42,54.42,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.17,54.17,54.17,0.0,0.0
2016-12-11,54.07,54.07,54.07,0.0,0.0,54.2,54.2,54.2,0.0,0.0,53.98,53.98,53.98,0.0,0.0,54.02,54.02,54.02,0.0,0.0
2016-12-18,54.23,54.23,54.23,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.28,54.28,54.28,0.0,0.0
2016-12-25,54.39,54.39,54.39,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.39,54.39,54.39,0.0,0.0,54.61,54.61,54.61,0.0,0.0
2017-01-01,54.91,54.91,54.91,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2017-01-08,54.84,54.84,54.84,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.85,54.85,54.85,0.0,0.0
