Date,PTEStock_Open_average,PTEStock_Open_max,PTEStock_Open_min,PTEStock_Open_volatility,PTEStock_Open_change,PTEStock_High_average,PTEStock_High_max,PTEStock_High_min,PTEStock_High_volatility,PTEStock_High_change,PTEStock_Low_average,PTEStock_Low_max,PTEStock_Low_min,PTEStock_Low_volatility,PTEStock_Low_change,PTEStock_Close_average,PTEStock_Close_max,PTEStock_Close_min,PTEStock_Close_volatility,PTEStock_Close_change,PTEStock_Volume_average,PTEStock_Volume_max,PTEStock_Volume_min,PTEStock_Volume_volatility,PTEStock_Volume_change
2016-01-03,5.34,6.35,4.42,1.9299999999999997,1.0999999999999996,6.202,9.65,4.42,5.23,1.3499999999999996,4.75,5.17,4.15,1.0199999999999996,0.8099999999999996,5.352,6.91,4.32,2.59,1.3099999999999996,301511,1198895,705,1198190,64811
2016-01-10,6.0280000000000005,6.73,5.29,1.4400000000000004,-0.5499999999999998,6.458,7.07,5.53,1.54,-0.5699999999999994,5.318,5.89,4.66,1.2299999999999995,-0.6299999999999999,5.6739999999999995,6.22,4.83,1.3899999999999997,-0.5099999999999998,88119,162765,37875,124890,41994
2016-01-17,4.3375,4.81,3.96,0.8499999999999996,-0.3699999999999992,5.0825,5.82,4.25,1.5700000000000003,-0.1200000000000001,4.0525,4.38,3.67,0.71,0.17999999999999972,4.515000000000001,5.46,3.96,1.5,1.1399999999999997,44737,64837,25978,38859,-21897
2016-01-24,5.16,5.4,4.8,0.6000000000000005,-0.41999999999999993,5.506,6.12,4.98,1.1399999999999997,-1.1399999999999997,4.716,5.22,4.44,0.7799999999999994,-0.3600000000000003,4.878,5.22,4.56,0.6600000000000001,-0.6000000000000005,14207,23038,7796,15242,-11077
2016-01-31,4.632,4.79,4.4,0.3899999999999997,-0.08999999999999986,4.824,5.05,4.5,0.5499999999999998,0.019999999999999574,4.444,4.62,4.2,0.41999999999999993,-0.0600000000000005,4.584,4.92,4.24,0.6799999999999997,0.25,6450,8698,3347,5351,5351
2016-02-07,4.416,4.68,4.2,0.47999999999999954,-0.23999999999999932,4.712000000000001,4.92,4.44,0.47999999999999954,0.1899999999999995,4.344,4.68,4.2,0.47999999999999954,-0.23999999999999932,4.548,4.68,4.34,0.33999999999999986,0.0,8442,16366,3074,13292,10199
2016-02-14,4.51,4.54,4.5,0.040000000000000036,-0.040000000000000036,4.8,4.92,4.74,0.17999999999999972,-0.17999999999999972,4.5,4.5,4.5,0.0,0.0,4.61,4.74,4.5,0.2400000000000002,-0.1200000000000001,2235,3186,1219,1967,-406
2016-02-21,4.64,4.79,4.5,0.29000000000000004,0.16000000000000014,4.806,5.1,4.66,0.4399999999999995,-0.4399999999999995,4.5,4.62,4.38,0.2400000000000002,0.0,4.658,4.74,4.5,0.2400000000000002,-0.23000000000000043,1831,4711,148,4563,-4563
2016-02-28,4.68,4.8,4.55,0.25,0.1299999999999999,4.838,5.04,4.73,0.3099999999999996,0.3099999999999996,4.654,4.8,4.55,0.25,0.1299999999999999,4.71,4.83,4.57,0.2599999999999998,0.16000000000000014,2312,4197,1189,3008,1602
2016-03-06,4.8,4.86,4.75,0.11000000000000032,-0.04999999999999982,4.914,5.01,4.8,0.20999999999999996,-0.05999999999999961,4.728,4.8,4.62,0.17999999999999972,-0.1200000000000001,4.764,4.8,4.71,0.08999999999999986,-0.08999999999999986,2201,4570,522,4048,-2189
2016-03-13,4.646,4.81,4.5,0.3099999999999996,-0.3099999999999996,4.668,4.92,4.5,0.41999999999999993,-0.41999999999999993,4.488,4.62,4.32,0.2999999999999998,-0.2999999999999998,4.578,4.71,4.44,0.2699999999999996,-0.21999999999999975,1792,4492,481,4011,2580
2016-03-20,5.202500000000001,5.4,4.62,0.7800000000000002,0.7800000000000002,5.625,5.94,5.46,0.4800000000000004,-0.1200000000000001,4.9350000000000005,5.16,4.62,0.54,0.54,5.3525,5.4,5.28,0.1200000000000001,-0.0600000000000005,40599,77400,12194,65206,-65206
2016-03-27,5.481999999999999,5.52,5.34,0.17999999999999972,-0.17999999999999972,5.688,5.94,5.52,0.4200000000000008,-0.4200000000000008,5.244,5.34,5.1,0.2400000000000002,0.0,5.327999999999999,5.52,5.1,0.41999999999999993,-0.17999999999999972,15492,22689,10060,12629,-11154
2016-04-03,5.564,5.64,5.52,0.1200000000000001,0.0600000000000005,5.712,5.88,5.58,0.2999999999999998,-0.2999999999999998,5.388,5.4,5.34,0.0600000000000005,-0.0600000000000005,5.4,5.42,5.38,0.040000000000000036,-0.020000000000000462,12009,22517,7951,14566,-13089
