Date,ProShares Ultra MSCI Brazil CappedEtf_Open_average,ProShares Ultra MSCI Brazil CappedEtf_Open_max,ProShares Ultra MSCI Brazil CappedEtf_Open_min,ProShares Ultra MSCI Brazil CappedEtf_Open_volatility,ProShares Ultra MSCI Brazil CappedEtf_Open_change,ProShares Ultra MSCI Brazil CappedEtf_High_average,ProShares Ultra MSCI Brazil CappedEtf_High_max,ProShares Ultra MSCI Brazil CappedEtf_High_min,ProShares Ultra MSCI Brazil CappedEtf_High_volatility,ProShares Ultra MSCI Brazil CappedEtf_High_change,ProShares Ultra MSCI Brazil CappedEtf_Low_average,ProShares Ultra MSCI Brazil CappedEtf_Low_max,ProShares Ultra MSCI Brazil CappedEtf_Low_min,ProShares Ultra MSCI Brazil CappedEtf_Low_volatility,ProShares Ultra MSCI Brazil CappedEtf_Low_change,ProShares Ultra MSCI Brazil CappedEtf_Close_average,ProShares Ultra MSCI Brazil CappedEtf_Close_max,ProShares Ultra MSCI Brazil CappedEtf_Close_min,ProShares Ultra MSCI Brazil CappedEtf_Close_volatility,ProShares Ultra MSCI Brazil CappedEtf_Close_change
2016-01-03,22.68,22.68,22.68,0.0,0.0,22.68,22.68,22.68,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.62,21.62,21.62,0.0,0.0
2016-01-10,19.67,19.67,19.67,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.66,19.66,19.66,0.0,0.0
2016-01-17,18.67,18.67,18.67,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.76,18.76,18.76,0.0,0.0
2016-01-24,21.57,21.57,21.57,0.0,0.0,22.92,22.92,22.92,0.0,0.0,21.46,21.46,21.46,0.0,0.0,22.88,22.88,22.88,0.0,0.0
2016-01-31,23.03,23.03,23.03,0.0,0.0,23.03,23.03,23.03,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0
2016-02-07,21.42,21.42,21.42,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2016-02-14,21.79,21.79,21.79,0.0,0.0,22.83,22.83,22.83,0.0,0.0,21.79,21.79,21.79,0.0,0.0,22.83,22.83,22.83,0.0,0.0
2016-02-21,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2016-02-28,35.36,35.36,35.36,0.0,0.0,36.01,36.01,36.01,0.0,0.0,34.3,34.3,34.3,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2016-03-06,38.03,38.03,38.03,0.0,0.0,38.65,38.65,38.65,0.0,0.0,37.94,37.94,37.94,0.0,0.0,38.29,38.29,38.29,0.0,0.0
