Date,iShares MSCI WorldEtf_Open_average,iShares MSCI WorldEtf_Open_max,iShares MSCI WorldEtf_Open_min,iShares MSCI WorldEtf_Open_volatility,iShares MSCI WorldEtf_Open_change,iShares MSCI WorldEtf_High_average,iShares MSCI WorldEtf_High_max,iShares MSCI WorldEtf_High_min,iShares MSCI WorldEtf_High_volatility,iShares MSCI WorldEtf_High_change,iShares MSCI WorldEtf_Low_average,iShares MSCI WorldEtf_Low_max,iShares MSCI WorldEtf_Low_min,iShares MSCI WorldEtf_Low_volatility,iShares MSCI WorldEtf_Low_change,iShares MSCI WorldEtf_Close_average,iShares MSCI WorldEtf_Close_max,iShares MSCI WorldEtf_Close_min,iShares MSCI WorldEtf_Close_volatility,iShares MSCI WorldEtf_Close_change
2016-01-03,66.15,66.15,66.15,0.0,0.0,66.15,66.15,66.15,0.0,0.0,64.57,64.57,64.57,0.0,0.0,64.81,64.81,64.81,0.0,0.0
2016-01-10,62.5,62.5,62.5,0.0,0.0,63.72,63.72,63.72,0.0,0.0,62.43,62.43,62.43,0.0,0.0,62.94,62.94,62.94,0.0,0.0
2016-01-17,64.03,64.03,64.03,0.0,0.0,64.29,64.29,64.29,0.0,0.0,63.53,63.53,63.53,0.0,0.0,64.19,64.19,64.19,0.0,0.0
2016-01-24,64.28,64.28,64.28,0.0,0.0,65.35,65.35,65.35,0.0,0.0,64.28,64.28,64.28,0.0,0.0,65.35,65.35,65.35,0.0,0.0
2016-01-31,64.17,64.17,64.17,0.0,0.0,64.3,64.3,64.3,0.0,0.0,63.17,63.17,63.17,0.0,0.0,63.34,63.34,63.34,0.0,0.0
2016-02-07,61.79,61.79,61.79,0.0,0.0,62.31,62.31,62.31,0.0,0.0,61.15,61.15,61.15,0.0,0.0,62.13,62.13,62.13,0.0,0.0
2016-02-14,63.98,63.98,63.98,0.0,0.0,64.38,64.38,64.38,0.0,0.0,63.85,63.85,63.85,0.0,0.0,64.31,64.31,64.31,0.0,0.0
2016-02-21,65.79,65.79,65.79,0.0,0.0,65.81,65.81,65.81,0.0,0.0,65.08,65.08,65.08,0.0,0.0,65.08,65.08,65.08,0.0,0.0
2016-02-28,67.63,67.63,67.63,0.0,0.0,68.0,68.0,68.0,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.8,67.8,67.8,0.0,0.0
2016-03-06,67.94,67.94,67.94,0.0,0.0,68.68,68.68,68.68,0.0,0.0,67.94,67.94,67.94,0.0,0.0,68.62,68.62,68.62,0.0,0.0
