Date,Vanguard Emerging Markets Government BondEtf_Open_average,Vanguard Emerging Markets Government BondEtf_Open_max,Vanguard Emerging Markets Government BondEtf_Open_min,Vanguard Emerging Markets Government BondEtf_Open_volatility,Vanguard Emerging Markets Government BondEtf_Open_change,Vanguard Emerging Markets Government BondEtf_High_average,Vanguard Emerging Markets Government BondEtf_High_max,Vanguard Emerging Markets Government BondEtf_High_min,Vanguard Emerging Markets Government BondEtf_High_volatility,Vanguard Emerging Markets Government BondEtf_High_change,Vanguard Emerging Markets Government BondEtf_Low_average,Vanguard Emerging Markets Government BondEtf_Low_max,Vanguard Emerging Markets Government BondEtf_Low_min,Vanguard Emerging Markets Government BondEtf_Low_volatility,Vanguard Emerging Markets Government BondEtf_Low_change,Vanguard Emerging Markets Government BondEtf_Close_average,Vanguard Emerging Markets Government BondEtf_Close_max,Vanguard Emerging Markets Government BondEtf_Close_min,Vanguard Emerging Markets Government BondEtf_Close_volatility,Vanguard Emerging Markets Government BondEtf_Close_change
2016-01-03,74.02,74.02,74.02,0.0,0.0,74.02,74.02,74.02,0.0,0.0,73.67,73.67,73.67,0.0,0.0,73.83,73.83,73.83,0.0,0.0
2016-01-10,72.86,72.86,72.86,0.0,0.0,72.86,72.86,72.86,0.0,0.0,72.27,72.27,72.27,0.0,0.0,72.32,72.32,72.32,0.0,0.0
2016-01-17,72.76,72.76,72.76,0.0,0.0,73.0,73.0,73.0,0.0,0.0,72.54,72.54,72.54,0.0,0.0,72.95,72.95,72.95,0.0,0.0
2016-01-24,73.95,73.95,73.95,0.0,0.0,73.99,73.99,73.99,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.73,73.73,73.73,0.0,0.0
2016-01-31,73.71,73.71,73.71,0.0,0.0,74.0,74.0,74.0,0.0,0.0,73.49,73.49,73.49,0.0,0.0,73.71,73.71,73.71,0.0,0.0
2016-02-07,73.31,73.31,73.31,0.0,0.0,73.36,73.36,73.36,0.0,0.0,72.99,72.99,72.99,0.0,0.0,73.21,73.21,73.21,0.0,0.0
2016-02-14,75.0,75.0,75.0,0.0,0.0,75.0,75.0,75.0,0.0,0.0,73.89,73.89,73.89,0.0,0.0,74.18,74.18,74.18,0.0,0.0
2016-02-21,74.65,74.65,74.65,0.0,0.0,74.86,74.86,74.86,0.0,0.0,74.58,74.58,74.58,0.0,0.0,74.86,74.86,74.86,0.0,0.0
2016-02-28,75.57,75.57,75.57,0.0,0.0,75.63,75.63,75.63,0.0,0.0,75.42,75.42,75.42,0.0,0.0,75.54,75.54,75.54,0.0,0.0
2016-03-06,75.57,75.57,75.57,0.0,0.0,75.95,75.95,75.95,0.0,0.0,75.56,75.56,75.56,0.0,0.0,75.76,75.76,75.76,0.0,0.0
