Date,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Open_average,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Open_max,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Open_min,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Open_volatility,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Open_change,Victory CEMP US 500 Enhanced Volatility Weighted_etf_High_average,Victory CEMP US 500 Enhanced Volatility Weighted_etf_High_max,Victory CEMP US 500 Enhanced Volatility Weighted_etf_High_min,Victory CEMP US 500 Enhanced Volatility Weighted_etf_High_volatility,Victory CEMP US 500 Enhanced Volatility Weighted_etf_High_change,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Low_average,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Low_max,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Low_min,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Low_volatility,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Low_change,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Close_average,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Close_max,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Close_min,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Close_volatility,Victory CEMP US 500 Enhanced Volatility Weighted_etf_Close_change
2016-01-03,34.13,34.13,34.13,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2016-01-10,32.91,32.91,32.91,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2016-01-17,32.89,32.89,32.89,0.0,0.0,33.22,33.22,33.22,0.0,0.0,32.89,32.89,32.89,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2016-01-24,33.4,33.4,33.4,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2016-01-31,33.41,33.41,33.41,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.06,33.06,33.06,0.0,0.0
2016-02-07,32.5,32.5,32.5,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2016-02-14,33.64,33.64,33.64,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2016-02-21,34.73,34.73,34.73,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.61,34.61,34.61,0.0,0.0
2016-02-28,35.45,35.45,35.45,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2016-03-06,35.54,35.54,35.54,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2016-03-13,36.38,36.38,36.38,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.45,36.45,36.45,0.0,0.0
2016-03-20,35.95,35.95,35.95,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2016-03-27,36.96,36.96,36.96,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2016-04-03,36.46,36.46,36.46,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2016-04-10,36.76,36.76,36.76,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.91,36.91,36.91,0.0,0.0
