Date,FlexShares US Quality Large Cap_etf_Open_average,FlexShares US Quality Large Cap_etf_Open_max,FlexShares US Quality Large Cap_etf_Open_min,FlexShares US Quality Large Cap_etf_Open_volatility,FlexShares US Quality Large Cap_etf_Open_change,FlexShares US Quality Large Cap_etf_High_average,FlexShares US Quality Large Cap_etf_High_max,FlexShares US Quality Large Cap_etf_High_min,FlexShares US Quality Large Cap_etf_High_volatility,FlexShares US Quality Large Cap_etf_High_change,FlexShares US Quality Large Cap_etf_Low_average,FlexShares US Quality Large Cap_etf_Low_max,FlexShares US Quality Large Cap_etf_Low_min,FlexShares US Quality Large Cap_etf_Low_volatility,FlexShares US Quality Large Cap_etf_Low_change,FlexShares US Quality Large Cap_etf_Close_average,FlexShares US Quality Large Cap_etf_Close_max,FlexShares US Quality Large Cap_etf_Close_min,FlexShares US Quality Large Cap_etf_Close_volatility,FlexShares US Quality Large Cap_etf_Close_change
2016-01-03,25.01,25.01,25.01,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2016-01-10,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2016-01-17,23.18,23.18,23.18,0.0,0.0,23.52,23.52,23.52,0.0,0.0,23.18,23.18,23.18,0.0,0.0,23.52,23.52,23.52,0.0,0.0
2016-01-24,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0
2016-01-31,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.49,23.49,23.49,0.0,0.0
2016-02-07,24.1,24.1,24.1,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2016-02-14,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2016-02-21,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2016-02-28,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2016-03-06,24.88,24.88,24.88,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.88,24.88,24.88,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2016-03-13,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2016-03-20,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2016-03-27,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2016-04-03,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2016-04-10,26.43,26.43,26.43,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2016-04-17,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2016-04-24,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2016-05-01,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2016-05-08,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2016-05-15,25.39,25.39,25.39,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2016-05-22,26.02,26.02,26.02,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2016-05-29,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2016-06-05,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2016-06-12,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2016-06-19,25.39,25.39,25.39,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2016-06-26,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2016-07-03,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2016-07-10,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2016-07-17,26.81,26.81,26.81,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2016-07-24,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2016-07-31,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2016-08-07,26.92,26.92,26.92,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.94,26.94,26.94,0.0,0.0
2016-08-14,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2016-08-21,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2016-08-28,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2016-09-04,28.09,28.09,28.09,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0
2016-09-11,26.4,26.4,26.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2016-09-18,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2016-09-25,26.7,26.7,26.7,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2016-10-02,26.58,26.58,26.58,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2016-10-09,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2016-10-16,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2016-10-23,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2016-10-30,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2016-11-06,26.81,26.81,26.81,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2016-11-13,27.29,27.29,27.29,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2016-11-20,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.58,27.58,27.58,0.0,0.0
2016-11-27,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2016-12-04,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2016-12-11,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2016-12-18,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2016-12-25,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2017-01-01,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2017-01-08,28.07,28.07,28.07,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2017-01-15,28.24,28.24,28.24,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2017-01-22,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2017-01-29,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2017-02-05,28.6,28.6,28.6,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2017-02-12,29.22,29.22,29.22,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2017-02-19,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2017-02-26,29.58,29.58,29.58,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.62,29.62,29.62,0.0,0.0
