Date,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Open_average,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Open_max,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Open_min,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Open_volatility,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Open_change,PIMCO 15+ Year US TIPS Exchange-Traded_etf_High_average,PIMCO 15+ Year US TIPS Exchange-Traded_etf_High_max,PIMCO 15+ Year US TIPS Exchange-Traded_etf_High_min,PIMCO 15+ Year US TIPS Exchange-Traded_etf_High_volatility,PIMCO 15+ Year US TIPS Exchange-Traded_etf_High_change,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Low_average,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Low_max,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Low_min,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Low_volatility,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Low_change,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Close_average,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Close_max,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Close_min,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Close_volatility,PIMCO 15+ Year US TIPS Exchange-Traded_etf_Close_change
2016-01-03,60.98,60.98,60.98,0.0,0.0,61.0,61.0,61.0,0.0,0.0,60.84,60.84,60.84,0.0,0.0,61.0,61.0,61.0,0.0,0.0
2016-01-10,61.18,61.18,61.18,0.0,0.0,61.37,61.37,61.37,0.0,0.0,61.06,61.06,61.06,0.0,0.0,61.07,61.07,61.07,0.0,0.0
2016-01-17,60.26,60.26,60.26,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2016-01-24,62.54,62.54,62.54,0.0,0.0,62.7,62.7,62.7,0.0,0.0,62.41,62.41,62.41,0.0,0.0,62.44,62.44,62.44,0.0,0.0
2016-01-31,63.09,63.09,63.09,0.0,0.0,63.15,63.15,63.15,0.0,0.0,62.82,62.82,62.82,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2016-02-07,64.24,64.24,64.24,0.0,0.0,64.24,64.24,64.24,0.0,0.0,63.23,63.23,63.23,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2016-02-14,62.92,62.92,62.92,0.0,0.0,63.14,63.14,63.14,0.0,0.0,62.48,62.48,62.48,0.0,0.0,62.68,62.68,62.68,0.0,0.0
2016-02-21,63.41,63.41,63.41,0.0,0.0,63.72,63.72,63.72,0.0,0.0,63.38,63.38,63.38,0.0,0.0,63.57,63.57,63.57,0.0,0.0
2016-02-28,64.3,64.3,64.3,0.0,0.0,64.3,64.3,64.3,0.0,0.0,63.58,63.58,63.58,0.0,0.0,64.0,64.0,64.0,0.0,0.0
2016-03-06,63.43,63.43,63.43,0.0,0.0,63.45,63.45,63.45,0.0,0.0,62.88,62.88,62.88,0.0,0.0,62.99,62.99,62.99,0.0,0.0
