Date,First Trust NASDAQ SmartphoneEtf_Open_average,First Trust NASDAQ SmartphoneEtf_Open_max,First Trust NASDAQ SmartphoneEtf_Open_min,First Trust NASDAQ SmartphoneEtf_Open_volatility,First Trust NASDAQ SmartphoneEtf_Open_change,First Trust NASDAQ SmartphoneEtf_High_average,First Trust NASDAQ SmartphoneEtf_High_max,First Trust NASDAQ SmartphoneEtf_High_min,First Trust NASDAQ SmartphoneEtf_High_volatility,First Trust NASDAQ SmartphoneEtf_High_change,First Trust NASDAQ SmartphoneEtf_Low_average,First Trust NASDAQ SmartphoneEtf_Low_max,First Trust NASDAQ SmartphoneEtf_Low_min,First Trust NASDAQ SmartphoneEtf_Low_volatility,First Trust NASDAQ SmartphoneEtf_Low_change,First Trust NASDAQ SmartphoneEtf_Close_average,First Trust NASDAQ SmartphoneEtf_Close_max,First Trust NASDAQ SmartphoneEtf_Close_min,First Trust NASDAQ SmartphoneEtf_Close_volatility,First Trust NASDAQ SmartphoneEtf_Close_change
2016-01-03,34.25,34.25,34.25,0.0,0.0,34.31,34.31,34.31,0.0,0.0,33.83,33.83,33.83,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2016-01-10,32.12,32.12,32.12,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2016-01-17,33.31,33.31,33.31,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2016-01-24,33.59,33.59,33.59,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2016-01-31,33.03,33.03,33.03,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2016-02-07,32.34,32.34,32.34,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2016-02-14,34.33,34.33,34.33,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2016-02-21,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2016-02-28,36.06,36.06,36.06,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2016-03-06,36.64,36.64,36.64,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2016-03-13,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2016-03-20,36.15,36.15,36.15,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2016-03-27,36.72,36.72,36.72,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.53,36.53,36.53,0.0,0.0
2016-04-03,36.39,36.39,36.39,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2016-04-10,37.07,37.07,37.07,0.0,0.0,37.18,37.18,37.18,0.0,0.0,36.9,36.9,36.9,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2016-04-17,37.0,37.0,37.0,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2016-04-24,35.66,35.66,35.66,0.0,0.0,36.02,36.02,36.02,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.89,35.89,35.89,0.0,0.0
