Date,Hartford Global Small Cap_etf_Open_average,Hartford Global Small Cap_etf_Open_max,Hartford Global Small Cap_etf_Open_min,Hartford Global Small Cap_etf_Open_volatility,Hartford Global Small Cap_etf_Open_change,Hartford Global Small Cap_etf_High_average,Hartford Global Small Cap_etf_High_max,Hartford Global Small Cap_etf_High_min,Hartford Global Small Cap_etf_High_volatility,Hartford Global Small Cap_etf_High_change,Hartford Global Small Cap_etf_Low_average,Hartford Global Small Cap_etf_Low_max,Hartford Global Small Cap_etf_Low_min,Hartford Global Small Cap_etf_Low_volatility,Hartford Global Small Cap_etf_Low_change,Hartford Global Small Cap_etf_Close_average,Hartford Global Small Cap_etf_Close_max,Hartford Global Small Cap_etf_Close_min,Hartford Global Small Cap_etf_Close_volatility,Hartford Global Small Cap_etf_Close_change
2016-01-03,22.35,22.35,22.35,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.35,22.35,22.35,0.0,0.0
2016-01-10,20.29,20.29,20.29,0.0,0.0,20.29,20.29,20.29,0.0,0.0,20.29,20.29,20.29,0.0,0.0,20.29,20.29,20.29,0.0,0.0
2016-01-17,20.66,20.66,20.66,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.56,20.56,20.56,0.0,0.0,20.56,20.56,20.56,0.0,0.0
2016-01-24,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.46,21.46,21.46,0.0,0.0
2016-01-31,21.07,21.07,21.07,0.0,0.0,21.07,21.07,21.07,0.0,0.0,21.06,21.06,21.06,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2016-02-07,20.58,20.58,20.58,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2016-02-14,21.07,21.07,21.07,0.0,0.0,21.07,21.07,21.07,0.0,0.0,21.07,21.07,21.07,0.0,0.0,21.07,21.07,21.07,0.0,0.0
2016-02-21,21.93,21.93,21.93,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.93,21.93,21.93,0.0,0.0,21.94,21.94,21.94,0.0,0.0
2016-02-28,22.4,22.4,22.4,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2016-03-06,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0
