Date,iShares Global High Yield Corporate BondEtf_Open_average,iShares Global High Yield Corporate BondEtf_Open_max,iShares Global High Yield Corporate BondEtf_Open_min,iShares Global High Yield Corporate BondEtf_Open_volatility,iShares Global High Yield Corporate BondEtf_Open_change,iShares Global High Yield Corporate BondEtf_High_average,iShares Global High Yield Corporate BondEtf_High_max,iShares Global High Yield Corporate BondEtf_High_min,iShares Global High Yield Corporate BondEtf_High_volatility,iShares Global High Yield Corporate BondEtf_High_change,iShares Global High Yield Corporate BondEtf_Low_average,iShares Global High Yield Corporate BondEtf_Low_max,iShares Global High Yield Corporate BondEtf_Low_min,iShares Global High Yield Corporate BondEtf_Low_volatility,iShares Global High Yield Corporate BondEtf_Low_change,iShares Global High Yield Corporate BondEtf_Close_average,iShares Global High Yield Corporate BondEtf_Close_max,iShares Global High Yield Corporate BondEtf_Close_min,iShares Global High Yield Corporate BondEtf_Close_volatility,iShares Global High Yield Corporate BondEtf_Close_change
2016-01-03,44.7,44.7,44.7,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2016-01-10,44.87,44.87,44.87,0.0,0.0,44.87,44.87,44.87,0.0,0.0,43.71,43.71,43.71,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2016-01-17,43.46,43.46,43.46,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.76,43.76,43.76,0.0,0.0
2016-01-24,44.3,44.3,44.3,0.0,0.0,44.44,44.44,44.44,0.0,0.0,43.94,43.94,43.94,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2016-01-31,44.15,44.15,44.15,0.0,0.0,44.17,44.17,44.17,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.96,43.96,43.96,0.0,0.0
2016-02-07,42.95,42.95,42.95,0.0,0.0,43.31,43.31,43.31,0.0,0.0,42.95,42.95,42.95,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2016-02-14,43.53,43.53,43.53,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.36,43.36,43.36,0.0,0.0
2016-02-21,43.9,43.9,43.9,0.0,0.0,44.16,44.16,44.16,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2016-02-28,45.39,45.39,45.39,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.18,45.18,45.18,0.0,0.0,45.37,45.37,45.37,0.0,0.0
2016-03-06,46.32,46.32,46.32,0.0,0.0,46.43,46.43,46.43,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.43,46.43,46.43,0.0,0.0
2016-03-13,46.64,46.64,46.64,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.43,46.43,46.43,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2016-03-20,45.86,45.86,45.86,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.8,45.8,45.8,0.0,0.0
2016-03-27,45.9,45.9,45.9,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.9,45.9,45.9,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2016-04-03,46.45,46.45,46.45,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2016-04-10,47.06,47.06,47.06,0.0,0.0,47.15,47.15,47.15,0.0,0.0,46.71,46.71,46.71,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2016-04-17,47.43,47.43,47.43,0.0,0.0,47.48,47.48,47.48,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2016-04-24,47.6,47.6,47.6,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2016-05-01,47.21,47.21,47.21,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.17,47.17,47.17,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2016-05-08,47.47,47.47,47.47,0.0,0.0,47.47,47.47,47.47,0.0,0.0,46.94,46.94,46.94,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2016-05-15,47.07,47.07,47.07,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.29,47.29,47.29,0.0,0.0
2016-05-22,47.65,47.65,47.65,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.14,47.14,47.14,0.0,0.0,47.14,47.14,47.14,0.0,0.0
2016-05-29,47.32,47.32,47.32,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.5,47.5,47.5,0.0,0.0
2016-06-05,47.91,47.91,47.91,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2016-06-12,47.24,47.24,47.24,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2016-06-19,46.93,46.93,46.93,0.0,0.0,47.42,47.42,47.42,0.0,0.0,46.89,46.89,46.89,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2016-06-26,47.65,47.65,47.65,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2016-07-03,47.94,47.94,47.94,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.94,47.94,47.94,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2016-07-10,48.53,48.53,48.53,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2016-07-17,48.5,48.5,48.5,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2016-07-24,48.41,48.41,48.41,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.4,48.4,48.4,0.0,0.0
2016-07-31,48.43,48.43,48.43,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.51,48.51,48.51,0.0,0.0
2016-08-07,48.73,48.73,48.73,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2016-08-14,49.25,49.25,49.25,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2016-08-21,49.35,49.35,49.35,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2016-08-28,49.28,49.28,49.28,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2016-09-04,49.12,49.12,49.12,0.0,0.0,49.18,49.18,49.18,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2016-09-11,48.65,48.65,48.65,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2016-09-18,49.13,49.13,49.13,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.38,49.38,49.38,0.0,0.0
