Date,PWStock_Open_average,PWStock_Open_max,PWStock_Open_min,PWStock_Open_volatility,PWStock_Open_change,PWStock_High_average,PWStock_High_max,PWStock_High_min,PWStock_High_volatility,PWStock_High_change,PWStock_Low_average,PWStock_Low_max,PWStock_Low_min,PWStock_Low_volatility,PWStock_Low_change,PWStock_Close_average,PWStock_Close_max,PWStock_Close_min,PWStock_Close_volatility,PWStock_Close_change,PWStock_Volume_average,PWStock_Volume_max,PWStock_Volume_min,PWStock_Volume_volatility,PWStock_Volume_change
2016-01-03,4.274,4.38,4.22,0.16000000000000014,0.0,4.294,4.38,4.26,0.1200000000000001,0.0,4.24,4.26,4.22,0.040000000000000036,0.009999999999999787,4.26,4.29,4.22,0.07000000000000028,0.009999999999999787,630,1493,100,1393,-448
2016-01-10,4.1975,4.32,4.06,0.2600000000000007,-0.16999999999999993,4.2275,4.33,4.11,0.21999999999999975,-0.17999999999999972,4.165,4.29,4.06,0.23000000000000043,-0.1900000000000004,4.2,4.33,4.11,0.21999999999999975,-0.17999999999999972,658,1015,307,708,315
2016-01-17,4.35,4.35,4.35,0.0,0.0,4.35,4.35,4.35,0.0,0.0,4.25,4.25,4.25,0.0,0.0,4.25,4.25,4.25,0.0,0.0,423,423,423,0,0
2016-01-24,4.255,4.34,4.17,0.16999999999999993,-0.16999999999999993,4.255,4.34,4.17,0.16999999999999993,-0.16999999999999993,4.1850000000000005,4.2,4.17,0.03000000000000025,-0.03000000000000025,4.1850000000000005,4.2,4.17,0.03000000000000025,-0.03000000000000025,352,601,103,498,-498
2016-01-31,4.29,4.29,4.29,0.0,0.0,4.29,4.29,4.29,0.0,0.0,4.29,4.29,4.29,0.0,0.0,4.29,4.29,4.29,0.0,0.0,800,800,800,0,0
2016-02-07,4.04,4.04,4.04,0.0,0.0,4.3,4.3,4.3,0.0,0.0,4.04,4.04,4.04,0.0,0.0,4.3,4.3,4.3,0.0,0.0,17660,17660,17660,0,0
2016-02-14,4.25,4.25,4.25,0.0,0.0,4.25,4.25,4.25,0.0,0.0,4.25,4.25,4.25,0.0,0.0,4.25,4.25,4.25,0.0,0.0,539,539,539,0,0
2016-02-21,4.37,4.37,4.37,0.0,0.0,4.37,4.37,4.37,0.0,0.0,4.37,4.37,4.37,0.0,0.0,4.37,4.37,4.37,0.0,0.0,100,100,100,0,0
2016-02-28,4.36,4.36,4.36,0.0,0.0,4.37,4.37,4.37,0.0,0.0,4.36,4.36,4.36,0.0,0.0,4.37,4.37,4.37,0.0,0.0,780,780,780,0,0
2016-03-06,4.3,4.3,4.3,0.0,0.0,4.36,4.36,4.36,0.0,0.0,4.3,4.3,4.3,0.0,0.0,4.36,4.36,4.36,0.0,0.0,400,400,400,0,0
