Date,iShares Core MSCI Total International StockEtf_Open_average,iShares Core MSCI Total International StockEtf_Open_max,iShares Core MSCI Total International StockEtf_Open_min,iShares Core MSCI Total International StockEtf_Open_volatility,iShares Core MSCI Total International StockEtf_Open_change,iShares Core MSCI Total International StockEtf_High_average,iShares Core MSCI Total International StockEtf_High_max,iShares Core MSCI Total International StockEtf_High_min,iShares Core MSCI Total International StockEtf_High_volatility,iShares Core MSCI Total International StockEtf_High_change,iShares Core MSCI Total International StockEtf_Low_average,iShares Core MSCI Total International StockEtf_Low_max,iShares Core MSCI Total International StockEtf_Low_min,iShares Core MSCI Total International StockEtf_Low_volatility,iShares Core MSCI Total International StockEtf_Low_change,iShares Core MSCI Total International StockEtf_Close_average,iShares Core MSCI Total International StockEtf_Close_max,iShares Core MSCI Total International StockEtf_Close_min,iShares Core MSCI Total International StockEtf_Close_volatility,iShares Core MSCI Total International StockEtf_Close_change
2016-01-03,46.76,46.76,46.76,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2016-01-10,44.72,44.72,44.72,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2016-01-17,45.31,45.31,45.31,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2016-01-24,46.02,46.02,46.02,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.02,46.02,46.02,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2016-01-31,46.12,46.12,46.12,0.0,0.0,46.17,46.17,46.17,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2016-02-07,43.89,43.89,43.89,0.0,0.0,44.28,44.28,44.28,0.0,0.0,43.62,43.62,43.62,0.0,0.0,44.17,44.17,44.17,0.0,0.0
2016-02-14,45.59,45.59,45.59,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.77,45.77,45.77,0.0,0.0
2016-02-21,46.27,46.27,46.27,0.0,0.0,46.34,46.34,46.34,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.82,45.82,45.82,0.0,0.0
2016-02-28,48.08,48.08,48.08,0.0,0.0,48.51,48.51,48.51,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2016-03-06,48.6,48.6,48.6,0.0,0.0,49.09,49.09,49.09,0.0,0.0,48.6,48.6,48.6,0.0,0.0,49.09,49.09,49.09,0.0,0.0
