Date,PowerShares International BuyBack Achievers_etf_Open_average,PowerShares International BuyBack Achievers_etf_Open_max,PowerShares International BuyBack Achievers_etf_Open_min,PowerShares International BuyBack Achievers_etf_Open_volatility,PowerShares International BuyBack Achievers_etf_Open_change,PowerShares International BuyBack Achievers_etf_High_average,PowerShares International BuyBack Achievers_etf_High_max,PowerShares International BuyBack Achievers_etf_High_min,PowerShares International BuyBack Achievers_etf_High_volatility,PowerShares International BuyBack Achievers_etf_High_change,PowerShares International BuyBack Achievers_etf_Low_average,PowerShares International BuyBack Achievers_etf_Low_max,PowerShares International BuyBack Achievers_etf_Low_min,PowerShares International BuyBack Achievers_etf_Low_volatility,PowerShares International BuyBack Achievers_etf_Low_change,PowerShares International BuyBack Achievers_etf_Close_average,PowerShares International BuyBack Achievers_etf_Close_max,PowerShares International BuyBack Achievers_etf_Close_min,PowerShares International BuyBack Achievers_etf_Close_volatility,PowerShares International BuyBack Achievers_etf_Close_change
2016-01-03,24.75,24.75,24.75,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.38,24.38,24.38,0.0,0.0
2016-01-10,23.81,23.81,23.81,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.57,23.57,23.57,0.0,0.0
2016-01-17,23.77,23.77,23.77,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2016-01-24,24.35,24.35,24.35,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.72,24.72,24.72,0.0,0.0
2016-01-31,24.6,24.6,24.6,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2016-02-07,24.02,24.02,24.02,0.0,0.0,24.21,24.21,24.21,0.0,0.0,23.79,23.79,23.79,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2016-02-14,24.71,24.71,24.71,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.74,24.74,24.74,0.0,0.0
2016-02-21,25.3,25.3,25.3,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2016-02-28,26.1,26.1,26.1,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2016-03-06,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2016-03-13,27.13,27.13,27.13,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.22,27.22,27.22,0.0,0.0
2016-03-20,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2016-03-27,26.96,26.96,26.96,0.0,0.0,27.18,27.18,27.18,0.0,0.0,26.93,26.93,26.93,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2016-04-03,27.15,27.15,27.15,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.29,27.29,27.29,0.0,0.0
2016-04-10,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2016-04-17,28.61,28.61,28.61,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2016-04-24,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2016-05-01,27.71,27.71,27.71,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.83,27.83,27.83,0.0,0.0
2016-05-08,27.4,27.4,27.4,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2016-05-15,27.0,27.0,27.0,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2016-05-22,27.26,27.26,27.26,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2016-05-29,27.43,27.43,27.43,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2016-06-05,27.43,27.43,27.43,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2016-06-12,26.02,26.02,26.02,0.0,0.0,26.14,26.14,26.14,0.0,0.0,25.98,25.98,25.98,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2016-06-19,25.63,25.63,25.63,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2016-06-26,25.98,25.98,25.98,0.0,0.0,26.34,26.34,26.34,0.0,0.0,25.98,25.98,25.98,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2016-07-03,25.96,25.96,25.96,0.0,0.0,26.21,26.21,26.21,0.0,0.0,25.96,25.96,25.96,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2016-07-10,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2016-07-17,27.12,27.12,27.12,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2016-07-24,27.43,27.43,27.43,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2016-07-31,27.5,27.5,27.5,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2016-08-07,27.96,27.96,27.96,0.0,0.0,28.12,28.12,28.12,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2016-08-14,27.84,27.84,27.84,0.0,0.0,28.04,28.04,28.04,0.0,0.0,27.84,27.84,27.84,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2016-08-21,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2016-08-28,27.91,27.91,27.91,0.0,0.0,28.29,28.29,28.29,0.0,0.0,27.91,27.91,27.91,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2016-09-04,28.45,28.45,28.45,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2016-09-11,27.78,27.78,27.78,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.78,27.78,27.78,0.0,0.0
2016-09-18,28.46,28.46,28.46,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2016-09-25,28.39,28.39,28.39,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2016-10-02,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2016-10-09,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2016-10-16,28.11,28.11,28.11,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2016-10-23,27.96,27.96,27.96,0.0,0.0,28.05,28.05,28.05,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2016-10-30,27.49,27.49,27.49,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.29,27.29,27.29,0.0,0.0
2016-11-06,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2016-11-13,27.45,27.45,27.45,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2016-11-20,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2016-11-27,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.67,27.67,27.67,0.0,0.0
2016-12-04,28.31,28.31,28.31,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2016-12-11,28.02,28.02,28.02,0.0,0.0,28.04,28.04,28.04,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.93,27.93,27.93,0.0,0.0
2016-12-18,28.05,28.05,28.05,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2016-12-25,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2017-01-01,28.94,28.94,28.94,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2017-01-08,29.17,29.17,29.17,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2017-01-15,29.12,29.12,29.12,0.0,0.0,29.14,29.14,29.14,0.0,0.0,28.96,28.96,28.96,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2017-01-22,30.28,30.28,30.28,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2017-01-29,30.38,30.38,30.38,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2017-02-05,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.44,30.44,30.44,0.0,0.0
